"Smiles","Class_HH","Class_WL"
"Clc1cc2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl",1,
"Cc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl",,1
"Cc1cc(Cl)cc2c1oc3cc(Cl)cc(Cl)c23",1,1
"CC(C)(C)c1cc(Cl)cc2c1oc3cc(Cl)cc(Cl)c23",,1
"CCCC[Sn](CCCC)CCCC",1,1
"O(|[Sn](CCCC)(CCCC)CCCC)|[Sn](CCCC)(CCCC)CCCC",1,1
"Cc1ccc(cc1)[N+]([O-])=O",1,
"COc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3CCc2c1",1,1
"COc1cc(\C=C\C(O)=O)ccc1O",0,
"OC(=O)/C=C/c1ccc(O)cc1",1,
"COc1ccc(cc1)C2=COc3cc(O)ccc3C2=O",0,0
"COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O",1,
"CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)[S](N)(=O)=O)[N+]([O-])=O",0,
"COC(=O)[C@@]1(O)OC[C@@]23[C@H](C[C@@H](OC(C)=O)[C@]4(CO[C@@H]([C@@H](O)[C@](C)([C@H]12)[C@]56O[C@@]5(C)[C@H]7C[C@@H]6O[C@@H]8OC=C[C@]78O)[C@H]34)C(=O)OC)OC(=O)C(/C)=C/C",0,
"OC(=O)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2",1,1
"ClC=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2",1,
"c1ccc2cc3c(ccc4ccccc34)cc2c1",1,1
"COC(C)(C)C",1,1
"Clc1cc2Oc3cc(Cl)c(Br)cc3Oc2cc1Cl",,1
"CCOC(=O)C(S[P](=S)(OC)OC)c1ccccc1",,1
"CO[P](=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O",1,1
"CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3",1,
"CCCCCCCCc1ccc(O)cc1",1,1
"[F]|[Sn](CCCC)(CCCC)CCCC",1,1
"CCCC[Sn](|[O]C(=O)C(C)=C)(CCCC)CCCC",1,1
"CCCCC/C=C\C\C=C/CCCCCCCC([O]|[Sn](CCCC)(CCCC)CCCC)=O",1,1
"[K+].CCCCCCCCCc1ccccc1[O-]",1,1
"CCCCCCCCc1ccc(OCCO)cc1",1,1
"CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C",1,
"CC(C)(C)CC(C)(C)c1ccccc1O",1,1
"CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C",1,
"CCCCCCCC\C=C/CCCCCCCC([O]|[Sn](CCCC)(CCCC)CCCC)=O",1,1
"CCCC[Sn](|[O]C(=O)c1ccccc1O)(CCCC)CCCC",1,1
"CCCC[Sn](|[O]C(=O)c1ccccc1)(CCCC)CCCC",1,1
"CCCC[Sn](|[O]C(=O)c1ccccc1C([O]|[Sn](CCCC)(CCCC)CCCC)=O)(CCCC)CCCC",1,1
"Brc1cc2Oc3cc(Br)c(Br)cc3Oc2cc1Br",1,1
"CN(C)C=Nc1ccc(Cl)cc1C",1,
"CCO[P](=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl",0,
