"Smiles","CSCL-ISHL—S9_AMES","CSCL-ISHL+S9_AMES","CSCL-ISHLoverall_AMES","Kirkland et al 2005 & 2011 [1, 2]*_AMES","US NTP_AMES","ECHA_AMES","Kirkland et al 2005 & 2011 [1, 2]*MLA_invitro","US NTP_MLA_invitro","SCCS_MLA_invitro","CosE_MLA_invitro","ECHA_MLA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_MN_invitro","SCCS_MN_invitro","CosE_MN_invitro","CSCL-ISHL—S9_CA_invitro","CSCL-ISHL+S9_CA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_CA_invitro","US NTP_CA_invitro","EFSA_CA_invitro","SCCS_CA_invitro","CosE_CA_invitro","ECHA_CA_invitro","CSCL-ISHL_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_MN_invivo","US NTP_MN_invivo","EFSA_MN_invivo","SCCS_MN_invivo","CosE_MN_invivo","ECHA_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_CA_invivo","US NTP_CA_invivo","Kirkland et al 2005 & 2011 [1, 2]*_UDS_invivo","Kirkland et al 2005 & 2011 [1, 2]*-transgenic","Kirkland et al 2005 & 2011 [1, 2]*_DNAdmg_invivo","Kirkland et al 2005 & 2011 [1, 2]*_Carc","NTP_Carc","EFSA_Carc","ECHA_Carc"
"Nc1ccc(cc1)N(CCO)CCO.O[S](O)(=O)=O",,,,,,,,,0,0,,,,1,,,,,,1,1,,,,,,0,0,,,,,,,,,,
"OCCNc1ccc(NCCO)c(c1)[N+]([O-])=O",,,,,,,,,0,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,
"CC(O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c1nc(nc(N)c1C)C(CC(N)=O)NCC(N)C(N)=O)C(O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]3O)c4[nH]cnc4)C(=O)NCCc5scc(n5)c6scc(n6)C(=O)NCCC[S+](C)C.O[S]([O-])(=O)=O",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,1,1,1,,,
"[Na+].CCN(CC)c1ccc(cc1)[C+](c2ccc(cc2)N(CC)CC)c3ccc(cc3[S]([O-])(=O)=O)[S]([O-])(=O)=O",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"[K+].[O-][Br](=O)=O",,,,1,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,1,1,,,
"OC(=O)C(Cl)Br",,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,
"ClCCCBr",1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
"ClC(Cl)Br",,,,,0,,,1,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,1,,
"CCBr",,,,1,1,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1,1,,
"OCCBr",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Cc1c2ccccc2c(CBr)c3ccc4ccccc4c13",,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CN(C)N=Nc1ccc(Br)cc1",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"CCCBr",,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,1
"CC(C)Br",1,1,1,,1,,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,,,,,,
"CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"C=CC=C",,,,1,1,,,0,,,,,,,,,,,,,,,,1,1,,,,,1,1,0,1,0,1,1,,
"C=CC1CO1",,,,,,,,,,,,0,,,,,0,,,,,,,1,,,,,,1,,,1,1,,,,
"CCCCOCC1CO1",,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"CCCCN(CCCCO)N=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CCCCN(N=O)C(N)=O",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"CC1CC(=O)O1",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
"C[S](=O)(=O)OCCCCO[S](C)(=O)=O",,,,1,1,,1,1,,,,1,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,
"[Cl-].[Cl-].[Cd++]",,,,1,0,,,1,,,,1,,,,,1,1,,,,,,1,1,,,,,1,,,,,1,,,
"[Ca++].[O-][Cr]([O-])(=O)=O",,,,1,,,1,1,,,,,,,,,1,0,,,,,,0,,,,,,,,,,,1,,,
"[Ca++].NC#N",,,,1,,,1,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,
"COc1cc(CNC(=O)CCCC\C=C\C(C)C)ccc1O",,,,1,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,
"ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O",,,,1,1,,1,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,1,1,,
"COC(=O)N=NC=C1C=[N+]([O-])c2ccccc2N1O",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,
"CNC(=O)Oc1cccc2ccccc12",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"COC(=O)Nc1[nH]c2ccccc2n1",,,,,1,,1,,,,,1,,,,,,,0,,,,,1,,1,,,,,,,,,,,1,
"ClCCNC(=O)N(CCCl)N=O",,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
"[Cl-].[Cs+]",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,
"OC(O)C(Cl)(Cl)Cl",,,,1,1,,1,,,,,1,,,,,1,1,,,,,,0,0,,,,,,,,,,1,1,,
