Compound Id	XLogP
82783	5.336
37000	5.336
39198	5.336
56765	5.336
46285	5.451
4938407	0.839
46284	5.24
82806	5.240
19722	5.065
34116	3.059
34668	5.24
34851	5.336
56773	5.24
82798	7.143
29282	2.461
47913	5.24
5772	4.355
28827	3.231
26915	4.419
6066	-0.96
32952	5.24
48518	1.586
84347	5.336
75956	1.128
102857	4.308
43353	5.240
83414	5.432
2940	3.005
18445	2.851
25304	4.914
102787	4.308
18444	2.043
15010	4.763
82823	5.432
83411	4.706
102742	4.308
34190	5.336
56761	5.336
47914	5.336
102743	4.308
66326	4.832
56559	8.756
35529	4.042
36710	5.336
7991	2.777
33832	5.655
34852	5.336
2927	6.515
154866	4.308
35588	1.797
59833	3.439
12730	1.551
8243	6.172
15699	1.320
64559	0.499
56023	6.036
56782	5.432
549017	5.547
97240	4.308
33282	5.240
20545	8.647
36977	5.432
4066	6.578
2457	4.160
77706	3.239
4813314	5.422
56770	5.24
29847	4.412
56763	5.336
56757	5.336
102834	4.308
7928	8.817
4939096	0.839
36771	5.336
56764	5.336
9817	4.983
36978	5.336
34191	5.336
84348	5.432
45678	4.08
7929	11.720
82738	5.432
37994	5.55
106356	4.308
36979	5.432
10085	4.159
39407	4.998
11369	3.735
56762	5.336
37745	5.336
36981	5.432
56758	5.336
4744	1.492
36980	5.432
11359	4.003
6057	6.367
56775	5.240
6640	5.078
37004	5.432
4956170	4.277
34853	5.336
56783	5.432
4941232	3.806
82736	5.336
47915	5.432
4060	3.613
16139	2.770
2635909	4.856
15822	5.399
13338	0.681
12543	7.231
36983	5.432
96868	4.404
96864	4.404
56759	5.336
6058	10.069
36982	5.432
33983	5.336
36984	5.336
82831	7.502
45447	5.432
33407	5.528
2271976	2.496
4575338	0.796
24388	4.011
3171	4.978
12367	2.933
15637	5.528
82821	5.528
34860	5.432
11936	3.277
72522	9.386
82786	4.296
6542	5.647
97224	4.404
97234	4.404
5148	0.999
34854	5.336
3534	3.538
46137	5.432
12536	5.399
77887	2.297
6559	7.038
33984	5.336
26325084	13.088
11897	12.289
9242615	4.215
97233	4.404
26325083	11.948
46525	6.008
7988	6.939
46136	5.336
33142	2.010
33141	1.202
34418	2.312
5739	9.690
97142	4.404
2928	7.020
8817	9.690
36986	5.432
82834	6.179
47916	5.432
8078	5.068
4617	5.664
550258	5.432
35205	5.528
36985	5.528
46739	4.545
3326	3.164
35566	5.432
55075	3.035
2908	3.852
4913	2.208
4777	4.053
2181	2.817
6528	7.310
5557	3.336
97257	4.404
6639	5.4
33986	5.432
45448	5.528
33316	5.336
36988	5.528
105648	5.734
82679	6.321
35912	5.528
102923	4.404
8004	4.178
11898	9.955
36987	5.528
20390	6.957
3972	5.94
5590	3.765
11899	12.858
154958	4.373
3513	-1.263
7970	6.110
154062	4.404
4629	4.192
36990	5.528
85876	6.42
26916	5.295
77764	3.781
33985	5.432
35108	5.432
82751	5.624
5660	4.039
36989	5.624
6519	5.990
11917	14.789
2925	4.120
16576	3.663
4447447	1.315
2284017	5.758
5554	4.646
39394	4.433
509179	0.938
77874	7.847
4444070	2.643
4228778	1.148
82822	5.528
43456	4.317
24247	3.322
4445165	9.566
34192	5.528
37764	5.707
2342810	5.457
2075	8.275
12017	13.427
6367	4.901
77933	3.991
2768	4.566
11283	7.773
5791	3.635
96965	4.5
33198	4.5
91304	4.978
35206	5.624
6281	7.908
82759	6.289
66316	2.912
154959	4.469
8804	10.212
8799	10.212
82870	7.812
5376	0.394
5553	4.045
15484	5.720
135795	6.854
49560	4.174
2246	10.212
12072	13.996
21106505	9.042
36968	7.313
2625	4.457
33255	6.854
4444102	1.033
5198	3.920
82852	7.621
2699	5.129
5773	4.826
4444107	3.768
11900	14.565
26325089	7.157
77730	4.124
39145	7.364
8103122	0.950
11901	15.134
