Compound Id	ChiPath [VP-0]
2849146	5.443
8674	6.126
13869480	5.295
12635	7.941
65523	5.443
6999	7.155
2441	7.607
7662	6.634
13856352	5.378
7506	7.762
6897	6.410
8186	6.218
15431	6.558
58234	7.723
21106146	5.425
15387	7.234
8574	7.104
1015	4.574
26325090	6.598
13842573	5.721
9564	5.126
221226	5.632
8912	7.290
7848	7.914
13875441	5.721
13863774	5.425
13871718	5.955
10179239	6.812
10227261	9.876
776	4.964
906	5.619
21168813	6.218
4366810	7.515
7170	8.464
12821	4.704
13619	8.364
392	4.334
8097	6.138
299166	5.425
21106013	5.559
13869414	5.295
21111817	6.259
7511	8.266
24641	7.352
21106020	5.559
17131	9.111
10756	7.723
7984	5.117
10404	7.215
13853953	5.559
12218	7.858
21105897	6.780
13862559	6.634
5593	4.834
123	4.742
11773	5.204
13846663	7.257
10451	19.541
7852	7.291
7872	8.266
13662	4.632
12637	6.954
376	6.246
6780	5.489
6794	7.248
21106018	5.813
72551	7.352
15427	6.085
13859497	5.741
11576	6.588
6635	8.803
21111781	5.703
11080	4.334
13835630	6.031
105291	4.534
14846	8.266
13868640	7.237
21105859	5.872
11862	8.171
8910	7.071
14227	6.352
10437210	5.112
11589	6.372
64699	6.412
8098	5.489
589165	6.189
6781	5.833
12933	10.545
13853758	6.464
9893	6.709
6621	5.333
558878	7.555
8855	5.359
10980	6.629
206561	5.833
15855	7.184
13835126	6.352
5882	5.780
13864445	6.634
21170967	5.833
12478	4.704
21105870	5.696
13229	7.872
13849989	7.723
24535	7.334
18019	21.133
73390	6.150
6674	6.629
11591	5.650
67360	7.604
553578	7.555
10437335	6.150
14593	6.625
10432	6.292
7745	4.385
21159695	6.301
7891	8.648
10972	6.629
11557190	17.794
8183	5.780
12219	8.621
880	5.795
1446	5.482
2923	6.447
6775	5.204
12954	7.545
8576	7.941
21105848	6.073
68109	17.493
7882	7.811
120548	5.964
10181339	6.156
6788	6.541
13853943	5.002
11672	5.204
57726	6.922
10892	6.073
6898	6.910
1905	7.121
21106470	5.359
6950	4.651
13860434	6.073
12972	8.565
21106148	5.833
10664	4.872
7890	9.071
71876	8.766
7176	6.073
15965	7.117
67653	7.925
13487	7.922
9088156	15.015
7871	8.565
68224	16.771
18	5.482
4511751	8.698
10181338	6.073
10756390	16.771
84971	5.382
388391	5.382
13871489	8.096
11629	6.073
2241	4.872
21106519	7.008
11460	5.795
7189	5.665
8521	21.133
13876103	7.079
11510	7.607
14349	7.998
7211	5.540
2937774	6.540
11584	7.590
21105998	7.257
6736	6.541
4963	5.242
6789	6.675
6737	6.675
59482	7.416
81814	11.323
14021447	21.702
71	5.482
80863	7.402
955	4.872
7145	5.002
917	7.402
3350	5.482
10616	5.780
7172	5.540
10257	5.540
953	5.242
1151	5.313
21106571	7.690
6827	8.226
11422	6.742
21106163	7.690
10025	6.954
13835344	6.626
