Compound Id	ChiPath [SP-2]
10488	2.743
4514549	0.0
11193	3.497
4512361	2.414
11739	3.664
8552	2.890
8908	2.475
28986	2.683
10526	2.061
17443	2.912
68832	3.143
21800	3.239
10179173	3.365
81815	3.289
29016	3.719
7003	3.364
59447	2.743
13839109	3.243
13865426	3.523
7678	2.743
13842613	3.377
71430	3.362
7760	2.890
971	2.743
10420	3.036
11695	2.683
12643	2.743
7219	2.912
11784	2.743
7482	3.036
13838404	1.732
7679	2.743
15443	2.912
11434292	N/A
65936	2.912
13835209	1.707
7677	2.743
6342	2.488
15438	2.939
1348	2.390
11216	3.268
68328	5.212
4517338	1.922
11194	3.497
11819	3.365
13402	2.914
20843	3.239
55091	3.521
10487	2.743
15954	3.010
11045	3.009
11210	2.871
7521	3.365
7641	3.377
11543	3.010
13638	2.828
11752	2.183
7242	2.912
11843	3.243
7530	3.365
15765	3.239
10101	2.871
16791	2.414
11029	2.683
9633	2.768
28992	3.365
18717	3.675
6106	0.707
99440	4.159
7838	2.414
120621	3.023
9581	3.546
15413	4.061
7710	1.354
7536	3.009
7689	2.743
10710415	3.263
14751	2.912
7073	4.192
24533	2.912
7238	2.912
13835293	2.871
13866593	2.061
13875196	3.534
120489	2.912
10197150	3.365
374462	2.532
13839575	2.768
8569	2.768
11600	3.192
5889	2.743
191367	2.890
6967	3.239
192642	2.630
1078	3.365
23101	7.639
17558	3.243
55123	2.768
68179	2.768
733	1.922
11042	3.365
21132380	3.377
9349	3.365
73412	1.707
235	2.912
7827	2.061
68156	2.061
773	1.768
17880	2.768
20119	2.536
70714	2.743
7225	2.912
7786	1.707
7224	2.912
13448	5.621
7673	2.743
10940	3.239
10939	3.239
13842993	4.5
29025	2.768
1664	2.743
7128	3.642
455420	2.768
11866	2.414
21105905	2.912
10772050	3.521
26765	2.302
7681	2.743
7837	2.414
553642	2.828
21106560	2.912
11830	1.707
7810	2.061
7815	2.061
13842001	2.471
21169510	4.056
11930	3.347
10437135	3.293
7835	2.414
19956441	2.414
78	2.912
67991	5.298
455353	2.768
13875281	3.239
2039535	3.293
13837686	3.239
7240	2.912
123993	2.962
7849	2.768
7803	3.243
11783	2.743
13839441	2.061
18219	1.354
83866	3.239
13875160	3.365
11865	2.414
11077	3.377
21106586	3.869
13835772	3.239
83850	3.239
7221	2.912
11699	3.036
7385	3.293
7391	3.293
