Compound Id	APol
13860335	18.456
19231	17.505
29005	26.353
7443	16.598
22191	21.926
7802	25.551
7389	17.556
7241	15.427
6179	15.087
7694	26.353
24972	21.188
62489	17.130
6286	26.598
7528	22.095
11660	23.842
62230	26.884
8568	26.353
7129	22.508
69371	36.222
10784857	63.655
21105871	18.456
13839082	18.456
63889	15.549
21109330	21.499
10937	19.421
7236	19.797
1577	9.920
122090	49.587
8909	24.749
11716	26.353
12231	17.130
10384035	18.896
6270	36.004
156255	19.002
7659	23.842
11409	23.842
6402	28.269
11919	32.796
7856	27.849
13257	17.130
21106036	16.378
13840690	19.168
7765	18.474
7538	26.353
71787	16.178
441	25.551
2606	13.664
11795	18.037
6287	27.4
14692	29.602
7223	19.421
7685	15.617
123860	27.686
7672	20.945
9970	22.457
13857694	17.587
16159	16.914
7088	26.935
28969	21.018
12069	21.932
11265	22.897
13648	18.890
13876539	20.216
7533	26.884
7131	21.550
7434	26.884
13866817	17.587
6977	23.842
13854136	19.421
447	19.258
13837760	16.165
13835151	19.421
191	20.436
7234	19.421
71628	23.855
7132	20.216
11087	19.244
18801	22.464
13837988	17.587
10696	54.811
76894	55.343
12456	29.602
12445	21.130
69569	44.666
12809	30.936
7138	16.598
10236	23.842
13863618	17.925
4446445	24.217
3954	18.088
55205	21.130
11021	21.550
14198	28.269
29026	25.182
5976	14.313
13875258	20.038
9903	22.508
7183	26.935
21181	21.130
13839416	21.499
7851	27.849
18410	30.936
13865680	21.550
21112023	20.107
503239	19.861
4878	16.165
932	26.884
12010	24.578
63908	17.932
5830	21.550
13839308	19.848
14680	25.889
28682	17.563
14169248	22.897
63310	19.698
11671339	46.388
391428	28.269
122446	21.130
238	17.925
7239	20.554
11863	25.372
2041618	58.436
13851576	20.038
13854248	17.841
10437215	21.990
8070	21.018
370	26.353
455090	19.861
11632	22.897
14840	32.269
2656	30.404
78828	51.347
10422	25.026
20939	28.269
69914	46.388
9976	28.644
73479	19.692
924	22.515
6883	21.018
5979	16.6
577	15.143
13658	24.282
21106366	23.310
7419	26.935
14299946	52.519
331	18.727
7448	26.935
7509	29.446
12632	28.644
61001	22.981
28982	21.550
11604	21.550
62534	20.650
62408	20.650
123207	16.419
75951	25.019
13837787	17.4
13839123	21.550
59483	44.003
18724	25.608
7850	27.595
13875432	16.876
8665	19.258
13839128	21.550
13875219	16.876
456015	17.901
55084	29.446
6974	17.746
8657	19.258
13849981	30.404
26824	61.530
72793	25.019
21106014	18.636
6296	25.977
14256731	33.768
13860775	20.223
7140	21.018
13869339	17.841
13647	20.599
764	16.165
7800	29.446
8071	19.438
13835932	16.916
7809	21.568
4449	22.095
13839110	21.550
29029	28.644
21106525	22.515
7142	18.727
132	18.727
12220	33.071
20570	21.188
21106144	19.692
7190	21.018
8140	18.389
13869451	17.841
15461	30.029
76394	16.229
7518	18.457
8520	61.530
8883	28.269
6079	19.438
2931	22.906
10536	28.982
25552	24.282
13848808	21.820
10181341	21.018
10328	20.046
15846	28.275
5596	17.130
4962	19.258
13869462	22.515
11871	25.695
10265270	29.602
222538	18.365
768	17.336
2849146	18.365
8674	22.352
13869480	20.223
12635	34.029
65523	18.365
6999	26.935
2441	29.071
7662	19.1
13856352	22.515
7506	30.404
6897	24.112
8186	23.310
15431	21.798
58234	30.404
21106146	19.692
15387	30.943
8574	29.978
1015	15.867
26325090	25.991
13842573	17.746
9564	19.258
221226	21.025
8912	27.957
7848	28.465
13875441	17.746
13863774	19.692
13871718	24.644
10179239	29.602
10227261	36.330
776	19.848
906	22.934
21168813	23.310
4366810	28.119
7170	33.122
12821	17.556
13619	35.363
392	17.130
8097	25.602
299166	19.692
21106013	18.111
13869414	20.223
21111817	19.506
7511	32.540
24641	28.113
21106020	18.111
17131	32.961
10756	30.404
7984	20.010
10404	30.029
13853953	18.111
12218	31.738
21105897	24.914
13862559	19.1
5593	18.521
123	17.925
11773	18.947
13846663	27.737
10451	68.514
7852	28.982
7872	32.540
13662	16.073
12637	25.886
376	23.530
6780	21.608
6794	28.702
21106018	19.970
72551	28.113
15427	25.608
13859497	20.487
11576	24.112
6635	20.12
21111781	21.018
11080	17.130
13835630	24.068
105291	13.951
14846	32.540
13868640	19.327
21105859	22.352
11862	24.662
8910	30.936
14227	21.730
10437210	18.365
11589	24.112
64699	17.191
8098	21.608
589165	22.754
6781	20.494
12933	40.062
13853758	25.608
9893	26.404
6621	19.685
558878	29.071
8855	20.281
10980	20.308
206561	20.494
15855	27.737
13835126	21.730
5882	19.962
13864445	19.1
21170967	20.494
12478	17.556
21105870	23.310
13229	29.084
13849989	30.404
24535	27.375
18019	75.233
73390	21.458
6674	20.308
11591	20.487
67360	31.369
553578	29.071
10437335	21.458
14593	23.168
10432	20.046
7745	16.178
21159695	25.608
7891	37.123
10972	20.308
11557190	65.050
8183	19.962
12219	31.559
880	21.983
1446	19.529
2923	19.780
6775	18.947
12954	29.084
8576	34.036
21105848	21.820
68109	58.369
7882	33.071
120548	21.990
10181339	24.112
6788	26.028
13853943	18.365
11672	18.947
57726	29.071
10892	21.820
6898	25.872
1905	23.744
21106470	20.281
6950	16.527
13860434	21.820
12972	34.831
21106148	20.494
10664	17.4
7890	38.457
71876	34.3
7176	21.820
15965	27.206
67653	29.109
13487	33.122
9088156	55.781
7871	34.831
68224	61.851
18	19.529
4511751	29.430
10181338	21.820
10756390	61.851
84971	20.812
388391	20.812
13871489	28.227
11629	21.820
2241	18.890
21106519	28.702
11460	21.983
7189	21.018
8521	75.233
13876103	27.206
11510	20.129
14349	32.076
7211	18.635
2937774	23.587
11584	23.402
21105998	27.737
6736	26.028
4963	19.692
6789	24.448
6737	24.448
59482	29.497
81814	41.291
14021447	78.753
71	19.529
80863	29.135
955	17.4
7145	18.365
917	29.135
3350	19.529
10616	19.962
7172	18.635
10257	18.635
953	19.692
1151	17.471
21106571	20.614
6827	35.789
11422	25.077
21106163	20.614
10025	26.623
13835344	24.112
15853	34.463
21106140	30.299
10801109	40.489
86394	23.594
21106145	22.254
62310	28.008
13835706	29.987
7092	20.832
1448	19.437
8182	21.289
21106518	21.983
10437239	17.045
13848793	21.445
68676	24.045
16180	40.217
7600	32.540
13846959	18.365
6773	23.645
7340	40.223
13837329	27.476
21106581	22.254
16475	20.494
7146	19.529
185	17.634
6828	27.788
11488212	22.118
6646	20.812
10801842	28.089
16387	38.566
11586	23.056
62472	23.056
16388	40.326
21108576	21.983
6480	22.274
23083	28.972
10628694	17.996
7892	36.165
71437	30.652
5644	25.752
10909	29.122
10918	29.122
8935	29.504
4510206	22.172
7757	38.727
13846749	24.914
2298886	31.528
6550	20.118
8341	23.736
