Compound Id	ALOGP [ALogP]
14349	-1.442
7211	1.320
2937774	-0.130
11584	0.9
21105998	0.755
6736	0.642
4963	-1.095
6789	0.744
6737	0.744
59482	-0.754
81814	0.455
14021447	7.364
71	-1.160
80863	-0.499
955	0.2
7145	-0.090
917	-0.499
3350	-1.160
10616	0.420
7172	1.320
10257	1.320
953	-0.990
1151	-1.341
21106571	2.977
6827	-1.318
11422	-0.430
21106163	2.977
10025	-1.562
13835344	-0.306
15853	-2.183
21106140	0.925
10801109	0.678
86394	-0.296
21106145	0.406
62310	-0.776
13835706	-0.271
7092	-0.936
1448	0.860
8182	-0.480
21106518	-1.004
10437239	1.026
13848793	-0.091
68676	1.5
16180	-1.578
7600	0.333
13846959	-0.797
6773	-0.628
7340	-1.526
13837329	0.022
21106581	0.406
16475	0.842
7146	-1.160
185	-1.170
6828	0.0
11488212	-1.025
6646	-2.430
10801842	1.330
16387	0.227
11586	0.671
62472	0.671
16388	1.625
21108576	-1.004
6480	0.642
23083	-0.032
10628694	-0.447
7892	-2.989
71437	0.060
5644	1.238
10909	1.284
10918	1.284
8935	-0.828
4510206	0.756
7757	-1.668
13846749	-0.199
2298886	1.409
6550	-0.758
8341	-0.460
7208	-0.480
11882	-3.065
4611	-0.431
13835351	-0.628
8374	-0.604
70682	0.073
13492	-1.326
13677	0.307
6739	-0.460
17347	-0.323
7875	-2.322
11777	1.317
7310	0.269
11465	-0.282
2157	-0.321
8150	1.962
7302	-0.154
7202	1.416
7042	-0.040
6035	-0.638
11776	2.666
10908	1.284
10850	1.284
556589	0.117
7299	0.456
8577	-1.730
21106900	-0.766
17652	0.534
5915	-0.628
10106	-0.774
63518	-1.042
17868	0.0
6706	0.189
10851	1.284
11588	1.180
79969	-0.702
6675	1.180
71193	-0.834
2206	-0.631
13867714	0.0
4445317	2.252
10849	1.284
11595	-0.022
1906	-1.085
6193	-0.310
67270	-0.294
16177	-2.471
6033	-0.294
6478	0.125
15517	-0.796
10841	1.284
13574	-0.070
8319	-0.750
7964	-0.022
15789876	-1.021
21105699	0.0
13622	-1.866
10829	1.284
11507	2.666
7585	1.181
6790	-0.750
15495	-1.064
13860	-0.419
10831	1.284
56515	0.685
20124	0.889
744	-1.805
10343	1.502
218253	0.744
454319	11.045
76154	-0.732
33084	1.962
67414	2.993
220998	-1.716
15867	1.408
7901	-3.277
14627	-0.392
21106570	3.722
10449	6.071
10813	1.284
199342	1.980
15755	1.489
15702	0.675
62484	1.431
4522053	-0.073
8273	-0.484
11883	-3.353
8262	-0.484
642951	1.416
15747	-1.614
15524	1.489
13837303	0.523
305	-1.395
230	-1.759
14995	1.489
10733068	7.435
256210	-0.392
33421	1.489
67470	1.489
33416	-0.654
14994	1.489
15756	1.489
12938	1.631
6588	0.660
15475	1.489
7279	-0.423
23886	1.489
14472	1.883
15476	1.489
42330	-1.112
2991	-0.264
12682	1.926
4762	-0.040
361	-1.621
6592	0.456
11884	-2.759
15488	0.744
15478	1.489
21106573	3.637
11003	-0.420
15489	0.744
15861	1.926
7155	1.080
64155	0.229
2627	0.713
24142	-2.154
8073	2.622
44152	0.091
26325080	8.376
8916	2.472
4267	2.875
33455	1.489
15619	1.926
96749	-2.791
18336	-0.789
5236	-0.533
440	-2.940
2973	0.829
3173	0.920
2185	0.0
1361549	-0.671
7915	-3.565
30600	1.489
1438	2.206
15477	1.489
10437836	0.970
8120	0.989
26010	1.489
7152	1.399
13846658	-0.460
8470	0.321
3544	0.949
15621	1.926
33934	1.489
7913	-2.898
7994	2.204
2468	0.779
6840	0.302
12133	-0.187
11632871	-0.942
34863	2.233
63968	-0.392
61739	-0.921
68437	1.926
66895	-1.618
26260	1.926
33932	1.489
33933	1.489
5027	0.164
192748	1.331
8282	-0.921
5004	-2.138
34188	2.233
13114	0.766
18280	2.979
12024	2.530
2068	-0.967
6835	-0.750
78998	-3.335
72056	-3.777
4626	3.013
2169	-0.136
23115	2.131
6492	-0.921
4103087	0.110
9824	-0.264
15473	1.489
34664	2.233
9053802	-2.212
37904	2.233
13856959	-0.080
12586	-2.476
5368	1.981
707	4.163
34665	2.233
17098	1.489
17099	1.489
84188	2.233
15620	1.926
8111	0.0
3210	3.572
49469	0.893
967	3.261
158870	2.233
2915	0.591
83330	0.985
157093	2.233
4768	-0.437
34864	2.233
14993	3.670
8329	-0.528
970	0.0
7917	-3.853
136000	2.233
34866	2.233
83374	2.233
2297538	1.006
20848	0.845
457145	2.233
8067	4.466
37918	2.233
457140	2.233
34865	2.233
8241	-0.632
14620	-0.488
6593	-0.420
21782117	2.338
135983	2.233
10540	-3.929
25472	0.963
25605	2.233
6464	4.382
25677	2.977
136001	2.233
136003	2.233
34666	2.233
82753	0.459
10438331	0.405
2121	-0.165
1278	0.0
4457	0.519
62265	0.181
11974	3.555
31991	0.973
481441	7.293
34867	2.233
84235	2.233
13087	1.188
2079	-0.047
2424	-0.431
5256	3.156
7315	0.460
15474	1.489
37915	2.233
40191	2.977
29348	1.420
26011	2.233
28287	1.466
62632	-3.623
30932	-1.869
22172	-0.424
5899	0.018
2297441	-2.142
37905	2.233
3987	1.665
33617	0.494
2283071	2.568
34830	0.967
16568	0.883
108106	3.991
69223	3.231
35581	2.977
23912	3.694
13302	0.007
4932499	2.568
3006	3.031
56793	2.977
13090	-0.521
34868	2.233
10243	2.972
13850879	0.109
56791	2.977
14674	1.065
15729	0.979
8060	-0.540
