Compound Id	KierHallSmarts [khs.dssC]
9192	1
6554	2
4575	3
13133	1
12858	0
6221	3
6767	1
62751	1
62493	0
28947	1
6371	0
9002	0
2079	3
15702	1
6515	2
65700	1
5145	0
77916	0
31144	1
6505	2
8846	0
2951	1
7407	1
58587	0
20277	1
11359	0
56177	0
10243	0
15403	2
5026	0
59971	6
9394	1
86894	1
9438	0
70319	3
21106111	1
26691	0
5363	0
7177	1
21106574	0
2607	1
12018	0
11308	0
2181	1
74123	1
25957	0
13959	0
11276	0
60100	1
6514	2
142204	0
11618	0
2387	3
17967090	0
8183	1
11202219	1
120096	2
6080	0
10616	1
14952	0
8799	0
16359	1
4599	3
11178542	1
7044	1
62381	0
2457	1
2075	1
6447	2
6927	0
2283	0
8067	0
13909	1
9832	2
9522	0
8181	1
7289	0
149513	1
46739	1
59020	0
62963	1
3345	1
59928	1
60047	0
10490	1
85216	1
63738	2
21106506	0
3871	0
6369	0
55194	1
65061	0
15089	1
3009396	1
224468	1
2626	1
5304	1
5507	1
194210	1
9189	1
9697	1
11338	0
62252	0
5138	0
10871	1
5632	4
2849	0
1611	0
3218	2
7152	0
62362	2
5376	0
8253	1
4268	2
7042	1
62477	1
62098	0
6454	2
7108	0
7259	0
9894	0
6389	0
2629	0
15596	0
10542	0
79719	0
27183	0
22739	0
12310	0
69703	0
10257	0
62663	0
4735	0
68030	2
62525	0
16358	1
7168	1
4024	1
4317	2
7975	3
6453	2
6215	0
3762	1
1991	1
6442	1
10081	4
2246	0
21360	0
2117	1
65974	0
8105	0
1998	1
8235	2
8274	1
8804	0
9795	2
5134	0
8788	0
70514	3
63117	0
18924	0
62965	1
10452	0
455964	0
642951	1
67593	1
6214	0
48119	1
62966	1
8252	1
7258	1
6373	0
9190	0
11200	0
27486	0
12549	0
2297301	4
10554	4
13985	0
4444448	1
8151	0
13329	3
3987	0
7370	2
5786	1
4582	0
12336	4
6057	0
66909	0
11274	0
11297	1
24722	0
525308	2
7211	0
5571	1
5163	0
18716	1
4742	1
6433	2
62265	2
6517	6
11269	0
19663	1
29150	2
62754	3
4444926	1
15020	1
8163	0
11320	0
8150	0
64045	0
59976	0
63122	2
13777	1
28425	2
63119	0
4453	1
6764	1
14285	1
11286	2
8023	2
7358	2
66396	1
7988	0
11906	0
60886	0
7172	0
6216	0
64830	2
69366	4
13352	0
58910	0
62338	2
3208	2
49895	1
5302	1
60518	1
3765	0
63757	0
2034	1
21106037	0
11390	0
15010	0
2447	0
4617	2
64003	1
77934	1
4518	0
5740	0
11571	0
5131	2
5165	0
7045	0
5531	2
10442628	1
4444935	1
10085	1
13868426	0
6520	2
3228	1
6830	2
3508	1
2928	0
