Compound Id	AutocorrelationCharge [ATSc1]
67268	0.293
16913	0.012
67803	0.249
11573	0.302
11895	0.0
21278	0.159
21159579	0.117
6585	0.095
65704	0.284
6957	0.086
55242	0.121
11353	0.122
124512	0.095
61790	0.183
21106584	0.124
10966	0.075
13669	0.315
21106577	0.220
73763	0.477
59691	0.146
12047	0.0
21108577	0.445
6748	0.027
21105998	0.075
510851	0.475
10621	0.376
60092	0.480
62483	0.165
11003	0.061
6835	0.027
72918	0.027
15016	0.030
12259	0.0
63503	0.029
10539	0.192
11354	0.149
11488	0.120
62656	0.101
21111840	0.217
13029	0.231
66663	0.215
13839012	0.075
7928	0.083
60259	0.233
5966	0.131
73125	0.180
32882	0.214
11450	0.095
12586	0.121
13668	0.062
77230	0.128
7001	0.220
31264	0.083
14948	0.363
62390	0.481
12830	0.218
14690	0.295
60900	0.085
2972	0.452
11009	0.212
11584	0.301
8381	0.053
58331	0.239
13854242	0.294
10897	0.095
72141	0.316
3637837	0.191
63495	0.278
73626	0.366
72466	0.216
13846663	0.075
72148	0.280
68265	0.411
73512	0.376
61199	0.478
62698	0.147
15093	0.232
376	0.384
15244	0.138
10298355	0.177
11484	0.128
21106900	0.380
1583	0.173
50	0.554
8127	0.342
67229	0.219
13846749	0.342
61279	0.239
15663	0.439
9574	0.276
9547	0.285
284794	0.170
5622	0.342
9965	0.267
7805	0.418
6175	0.325
7279	0.244
11628	0.355
63512	0.392
121262	0.190
13476	0.191
222	0.222
6032	0.416
63328	0.459
6658	0.167
331	0.275
6675	0.201
14560	0.253
20861	0.171
7399	0.198
7141	0.218
79400	0.085
6246	0.349
10411	0.211
15753	0.171
11563	0.199
62357	0.142
7142	0.267
8155	0.449
68899	0.240
21185	0.219
11591	0.321
12055	0.450
61257	0.716
6270	0.655
7170	0.0
452969	0.0
452968	0.0
7116	0.294
6179	0.249
72051	0.0
13835108	0.537
11424	0.0
4436353	0.548
6296	0.124
15494	0.027
9425	0.251
14530	0.0
21159425	0.437
20124	0.094
15488	0.040
21171393	0.027
29024	0.277
64152	0.468
7926	0.029
77127	0.212
83365	0.363
8277	0.098
62583	0.197
21106529	0.207
7929	0.0
11434	0.101
62453	0.563
61418	0.294
1346	0.1
63533	0.163
60462	0.221
63208	0.470
12697	0.026
1688	0.075
60937	0.277
68404	0.193
21106540	0.188
70085	0.401
10237273	0.174
14340	0.202
7114	0.120
68709	0.083
21106585	0.188
55806	0.273
2973	0.499
13249	0.192
7364	0.0
6855	0.120
13272	0.233
6898	0.253
66847	0.027
15886	0.192
12840	0.061
38364	0.123
14559	0.406
12861	0.021
6620	0.314
1615	0.279
63956	0.370
27488	0.122
61381	0.055
71213	0.348
71964	0.157
15435	0.474
13848793	0.263
10446934	0.091
61542	0.246
6906	0.293
6864	0.265
15489	0.040
13490	0.290
61594	0.092
23083	0.314
70988	0.355
78578	0.104
11449	0.170
14413	0.091
6478	0.0
15418	0.543
54970	0.491
61599	0.205
6907	0.342
25276	0.170
21170959	0.224
6222	0.303
11446	0.0
7174	0.192
63319	0.253
8333	0.576
79481	0.3
60631	0.260
61749	0.313
1278	0.128
91500	0.367
8861	0.335
28829	0.414
8282	0.154
11624	0.267
15517	0.349
18799	0.201
68816	0.373
11399	0.190
4590	0.335
62467	0.186
8071	0.237
62328	0.191
1675	0.450
10025	0.384
84565	0.411
11476	0.268
13048	0.228
29091	0.252
62795	0.126
71934	0.341
7092	0.167
6707	0.275
531832	0.341
434	0.231
66572	0.302
70021	0.176
24438	0.432
6824	0.167
14869	0.287
72291	0.210
9929	0.190
5584	0.275
6854	0.541
61739	0.151
66716	0.375
2632	0.350
655	0.128
34195	0.266
8055	0.103
8111	0.0
84452	0.151
5027	0.346
