Compound Id	ChiChain [SCH-6]
7628	0.0
7694	0.0
7065	0.0
13837280	0.0
16383	0.0
8568	0.0
7794	0.0
24634	0.088
21105900	0.083
8514	0.0
14205	0.083
11660	0.083
19110	0.102
15432	0.083
11741	0.0
21896	0.0
13875230	0.083
6406	0.0
13840690	0.102
11041	0.083
17474	0.236
13875392	0.083
7891	0.0
12067	0.0
13402	0.0
16486	0.102
6252	0.0
6135	0.0
10236	0.068
9228	0.083
5730	0.0
8160	0.417
13673	0.102
13875180	0.083
7013	0.0
7224	0.102
11180	0.0
12221	0.0
7392	0.102
7903	0.0
63871	0.0
11882	0.0
21106525	0.083
13851576	0.102
7893	0.0
7894	0.0
19108	0.0
13869480	0.083
924	0.102
13840647	0.068
13875160	0.083
6409	0.289
6654	0.083
11057	0.0
6630	0.068
62314	0.068
59426	0.083
370	0.0
7007	0.0
17221	0.102
14890	0.0
7901	0.0
78543	0.213
13875258	0.083
7241	0.102
13849	0.083
9563	0.068
15708	0.0
13875432	0.083
21111781	0.083
14436	0.0
13875219	0.083
7795	0.0
21106513	0.0
28982	0.083
18685	0.0
13839174	0.068
78	0.102
13860491	0.068
62877	0.083
13868660	0.083
8665	0.083
13869414	0.083
11021	0.083
7519	0.083
13842573	0.083
11242	0.0
333	0.068
7480	0.0
13869339	0.083
62226	0.0
13839151	0.068
59439	0.083
7236	0.102
11038	0.083
6991	0.068
16257	0.083
13646	0.102
11350	0.068
7634	0.236
9849	0.083
10955	0.236
6983	0.068
10251740	0.083
6652	0.083
1131173	0.236
9546	0.083
7632	0.236
1013196	0.144
23718	0.0
11179	0.0
10795	0.0
10445	0.0
10742	0.0
7657	0.0
6338	0.0
8659	0.0
7248	0.083
8531	0.083
11818	0.0
61026	0.0
10428	0.0
10253	0.083
11911	0.0
11790	0.0
13040	0.068
7509	0.0
13473	0.083
12829	0.068
21242799	0.083
13451	0.0
14888	0.068
6176	0.0
8013	0.0
13032	0.068
21106562	0.083
7448	0.083
21168731	0.083
13875381	0.068
61200	0.083
7879	0.0
11607	0.083
13839308	0.102
7129	0.102
16887	0.068
8579	0.0
7900	0.0
7744	0.0
11879	0.0
6628	0.068
21106155	0.083
21111850	0.083
11883	0.0
7866	0.0
13881571	0.083
9360	0.083
14787	0.102
12451	0.0
13856009	0.102
13848467	0.102
8138	0.316
9326	0.083
13644	0.102
6677	0.083
70682	0.0
72625	0.083
7132	0.102
13835630	0.0
12060	0.083
66344	0.083
6990	0.068
21105859	0.083
6985	0.068
66551	0.0
8098	0.167
74169	0.068
191427	0.083
21106167	0.083
7135	0.102
11091	0.0
6277	0.088
207215	0.167
7915	0.0
6177	0.0
13861	0.083
21168837	0.083
15526	0.0
13033	0.068
67466	0.083
7388	0.102
14165	0.068
10649	0.0
13866817	0.083
7635	0.236
14163	0.068
21111896	0.083
4642	0.083
11500	0.083
25942	0.068
21105878	0.083
5704	0.167
8911	0.0
25757	0.083
65689	0.068
13836283	0.083
16011	0.068
6253	0.25
24133	0.316
16237	0.083
60497	0.0
11651	0.083
7518	0.083
21106018	0.068
60662	0.083
73531	0.083
63882	0.289
12823	0.083
34095	0.0
56234	0.083
63307	0.083
87265	0.083
21844	0.068
12821	0.083
11181	0.0
521915	0.201
22006	0.068
12822	0.083
13868640	0.083
63180	0.068
9964	0.083
8852	0.167
10471	0.236
16931	0.068
13837582	0.083
13837760	0.083
5975	0.236
4878	0.083
12478	0.083
123	0.083
11022	0.083
8528	0.083
11080	0.083
68939	0.083
68309	0.0
63658	0.083
14346	0.102
68282	0.316
5408	0.083
5596	0.083
11489	0.316
62546	0.0
1017	0.102
13421	0.0
26065	0.0
21998	0.0
26066	0.0
7581	0.0
17976	0.0
26068	0.0
7580	0.0
15532	0.083
9478	0.0
13231	0.0
21106102	0.0
63017	0.0
9903	0.25
73565	0.0
7511	0.0
