Compound Id	BCUT [BCUTp-1l]
10239201	2.67537
6780	6.56545
12230	6.66443
13848808	4.41552
13063	5.61149
9844	6.31734
24142	5.12396
6949	6.85179
13861158	4.50625
16377	4.43052
7916	5.12707
21105936	4.79799
13875212	7.40975
62402	4.47221
21171515	6.23590
61797	6.33691
67462	4.92669
21105889	3.81755
10540	5.11728
13848341	3.96677
21153	4.11402
29031	3.44795
25119	4.74114
13858096	4.49296
11650	5.91015
14507	3.97624
75479	4.91459
10648	4.96621
7888	3.72052
1072	4.73554
21106470	6.39772
211145	4.01086
60136	6.02664
15310	5.02734
61428	7.85387
11556	5.52734
21168838	5.70431
81705	5.69737
12465	4.27938
21105848	3.90174
21109330	5.32390
13837787	3.54941
4209	4.51458
9327	4.39210
11891	3.94559
21111804	4.85799
8855	6.20517
25968	4.02893
13013	4.37696
65745	4.27684
10333	4.16024
21111842	4.15789
21394	5.11567
13864445	6.61869
70868	5.87516
14390	4.88437
221355	4.11379
62582	4.36088
7185	4.75137
124526	4.13330
62368	4.45442
28973	4.69727
16094	6.20842
26799	4.51809
21111774	4.90437
61036	2.83025
6852	4.82449
62581	6.89312
6999	6.31270
17687	4.34574
65682	4.66272
10831	6.49730
13860434	3.85719
72056	3.94505
7143	4.88262
70511	4.17356
16095	5.95871
61585	5.91422
32002	3.882
11413	4.19940
72416	4.09163
10892	4.17974
11185	6.69408
59433	3.83999
10004	4.23913
8867	6.35759
21105795	3.80263
1668	4.77524
97850	4.39052
10298354	4.27039
21105699	6.10469
4489	4.37150
11673	3.81729
238	4.04234
2241	4.35209
7951	4.06977
911	4.31040
13262	4.12562
993	3.95896
6995	4.98413
21125563	6.80499
6674	4.43146
69983	5.14680
8066	4.08606
2015070	3.40280
62423	4.46209
58489	7.14655
1078	3.61309
70865	4.15374
11477	4.22120
11672	4.13404
913	4.00065
3268	4.10852
10796	6.15806
26070	6.37932
12199	2.74957
387	3.24859
7073	4.35050
15468	5.64308
13439	6.53666
7670	4.74399
21105987	3.76182
6656	3.56284
13885245	4.35360
13837281	6.75458
7876	5.12691
13882337	6.53951
21106517	6.13493
11412	5.81009
26801	5.71616
21159680	6.04335
9078	4.49071
83703	5.90703
13876103	4.86221
59482	4.98599
6657	5.37596
12044	6.55721
21105867	5.22293
11889	5.12404
21106014	4.03959
21106112	4.65015
21111819	3.89642
21108245	4.57155
67835	4.73157
17019	5.12701
60586	4.21904
21111817	4.18422
21171496	6.68381
11892	5.11732
10800462	3.53648
10771160	3.72085
61434	4.82849
21105932	4.34628
69057	8.51855
16685	4.76335
6862	4.97574
63909	4.39281
11510	5.56309
85185	3.94027
21865	4.28744
6479	4.63787
64147	6.36616
21106008	3.87704
8140	5.20543
3756	3.72113
62236	5.42423
20548	4.29925
12818	4.38509
15622	6.02323
71784	5.95435
13869655	6.14045
18707	5.27344
4611	3.76182
11778	5.89118
69628	6.57456
13873600	6.00513
15440	4.52972
9900	4.34490
68896	6.80209
10772050	4.54387
65	5.32768
15317	6.37143
6954	5.95731
13667	4.92972
11970	6.59794
60848	7.49666
13860817	6.01367
12229	4.06197
12675	5.64299
11083	5.07855
10881	5.97457
97904	3.87984
6481	4.28409
13875161	6.43430
6621	4.24186
11327	4.58697
1847	5.16191
14836	5.13822
8154	3.87704
11509	6.37583
13869661	4.76305
63459	6.29980
65701	4.60468
10322	4.31404
71655	5.03056
62466	4.43068
6739	5.24542
6480	6.21084
723	3.66692
21106518	4.50396
64111	3.88331
7189	4.45054
11417	6.01633
7140	4.12093
67879	4.52696
11263	3.977
21106017	5.02608
10895	5.70873
8341	4.91705
63931	6.03721
7589	4.58743
13835557	4.76519
6943	3.84720
62682	3.67289
7797	3.47017
29129	4.463
62532	3.79829
3708	3.95908
8438	3.83920
64644	3.95694
58563	4.36679
62485	4.39139
7190	4.08164
68568	4.38615
953	4.07640
6787	4.42168
132	4.05704
571424	5.03663
58968	5.56268
9128	4.34446
11588	4.21118
452568	6.37921
7090	3.42150
21171506	4.05712
10245	6.16114
13865630	4.14360
11246	4.83959
7430	5.12825
13448	6.45794
21111758	4.48808
12831	4.82439
14942	5.12839
6735	7.09352
62359	5.06459
21108549	3.79371
7847	4.03550
12674	6.64691
62938	6.47707
20140	4.78951
10273	4.82018
15644	4.63040
11824	4.01804
61196	3.98406
21723	5.12408
66365	3.98581
62618	3.70480
73658	4.84192
7921	5.12701
13867055	4.44869
11304	6.63099
13835126	4.49697
69792	6.04167
21111776	4.10254
13881395	6.56571
78722	4.82657
21170125	6.32525
33137	4.02307
11145	5.11734
6574	5.05511
73537	4.84275
14309	6.39756
7175	4.39601
13859497	3.86640
14956	4.45697
1306	5.04058
13835344	4.47019
13258	4.21948
17720	6.39545
33621	4.90509
66385	7.05182
11507	7.62687
12013	3.72144
6023	5.21409
7186	4.53312
776	6.62161
21111723	4.78879
62471	4.69439
10303	4.92484
14348	3.94565
