Compound Id	L
13622	6.513
10829	6.516
11507	6.53
7585	6.54
6790	6.54
15495	6.541
13860	6.545
10831	6.545
56515	6.55
20124	6.551
744	6.566
10343	6.58
218253	6.58
454319	6.59
76154	6.594
33084	6.6
67414	6.607
220998	6.617
15867	6.62
7901	6.62
14627	6.626
21106570	6.63
10449	6.63
10813	6.653
199342	6.654
15755	6.675
15702	6.68
62484	6.685
4522053	6.69
8273	6.691
11883	6.705
8262	6.706
642951	6.709
15747	6.714
15524	6.74
13837303	6.75
305	6.753
230	6.757
14995	6.757
10733068	6.759
256210	6.764
33421	6.765
67470	6.768
33416	6.779
14994	6.78
15756	6.785
12938	6.8
6588	6.8
15475	6.807
7279	6.812
23886	6.815
14472	6.82
15476	6.835
42330	6.838
2991	6.852
12682	6.854
4762	6.9
361	6.911
6592	6.922
11884	6.924
15488	6.93
15478	6.932
21106573	6.94
11003	6.96
15489	6.96
15861	6.967
7155	6.984
64155	6.99
2627	7
24142	7.006
8073	7.01
44152	7.01
26325080	7.02
8916	7.04
4267	7.04
33455	7.042
15619	7.043
96749	7.066
18336	7.071
5236	7.078
440	7.079
2973	7.1
3173	7.12
2185	7.12
1361549	7.133
7915	7.137
30600	7.146
1438	7.15
15477	7.152
10437836	7.156
8120	7.16
26010	7.168
7152	7.17
13846658	7.18
8470	7.18
3544	7.184
15621	7.191
33934	7.197
7913	7.219
7994	7.22
2468	7.23
6840	7.23
12133	7.269
11632871	7.276
34863	7.284
63968	7.293
61739	7.3
68437	7.322
66895	7.335
26260	7.344
33932	7.36
33933	7.365
5027	7.37
192748	7.373
8282	7.376
5004	7.378
34188	7.39
13114	7.4
18280	7.4
12024	7.4
2068	7.4
6835	7.4
78998	7.403
72056	7.43
4626	7.44
2169	7.44
23115	7.45
6492	7.453
4103087	7.466
9824	7.47
15473	7.477
34664	7.48
9053802	7.48
37904	7.487
13856959	7.499
12586	7.505
5368	7.51
707	7.51
34665	7.521
17098	7.528
17099	7.531
84188	7.537
15620	7.562
8111	7.568
3210	7.57
49469	7.57
967	7.58
158870	7.585
2915	7.588
83330	7.59
157093	7.595
4768	7.6
34864	7.608
14993	7.61
8329	7.611
970	7.632
7917	7.636
136000	7.644
34866	7.647
83374	7.649
2297538	7.65
20848	7.65
457145	7.651
8067	7.66
37918	7.66
457140	7.665
34865	7.667
8241	7.67
14620	7.67
6593	7.68
21782117	7.694
135983	7.703
10540	7.714
25472	7.72
25605	7.722
6464	7.73
25677	7.753
136001	7.757
136003	7.757
34666	7.758
82753	7.76
10438331	7.76
2121	7.764
1278	7.777
4457	7.78
62265	7.78
11974	7.78
31991	7.79
481441	7.8
34867	7.81
84235	7.813
13087	7.82
2079	7.825
2424	7.838
5256	7.84
7315	7.843
15474	7.85
37915	7.852
40191	7.854
29348	7.86
26011	7.862
28287	7.88
62632	7.881
30932	7.89
22172	7.89
5899	7.9
2297441	7.902
37905	7.907
3987	7.92
33617	7.924
2283071	7.925
34830	7.93
16568	7.93
108106	7.938
69223	7.94
35581	7.949
23912	7.95
13302	7.95
4932499	7.957
3006	7.96
56793	7.966
13090	7.972
34868	7.978
10243	7.98
13850879	7.98
56791	7.99
14674	8
15729	8
8060	8
9040	8.01
34870	8.01
30881	8.014
17587	8.02
34869	8.03
457144	8.041
5807	8.05
9026	8.06
3008	8.06
4575	8.064
135925	8.07
4759	8.08
82777	8.096
34871	8.102
454495	8.116
6688	8.128
36319	8.13
533188	8.139
34872	8.14
10169	8.14
11891	8.146
56792	8.147
26325081	8.15
8058	8.174
20493	8.18
36278	8.18
35580	8.186
82755	8.189
82842	8.2
15417	8.2
46262	8.201
136002	8.206
28941	8.22
56123	8.22
5342	8.22
56784	8.223
16182	8.227
56785	8.227
56790	8.228
26563	8.228
13303	8.231
82765	8.244
82767	8.25
12705	8.25
14826	8.26
30816	8.27
16481	8.27
97173	8.273
102720	8.273
7051	8.28
21924	8.28
102721	8.281
33458	8.288
82818	8.29
3548	8.31
35579	8.312
38839	8.33
27749	8.34
34667	8.341
56795	8.348
56788	8.354
1994	8.36
8939	8.36
16482	8.36
36972	8.386
21106365	8.389
4760	8.39
34873	8.392
7967	8.41
559096	8.41
35582	8.422
56771	8.429
13520	8.43
56774	8.435
9873	8.436
3463	8.45
37744	8.459
12874	8.46
46893	8.464
82807	8.47
35081	8.471
56769	8.478
35584	8.479
3864	8.48
13300034	8.48
10292746	8.489
33829	8.51
102833	8.522
47912	8.522
13844817	8.53
82817	8.532
82762	8.533
2839	8.54
6842	8.541
82754	8.541
157094	8.544
3229	8.55
5237	8.55
82840	8.56
34189	8.56
16736498	8.563
7968	8.57
29117	8.577
33304	8.583
56794	8.59
13837319	8.59
457138	8.591
39406	8.597
56780	8.608
27793	8.621
106355	8.624
6767	8.63
34847	8.631
102897	8.65
2581	8.654
6417	8.66
103011	8.662
82712	8.669
56781	8.67
45444	8.672
102947	8.674
102933	8.674
33457	8.687
8287	8.69
33280	8.694
36029	8.7
46263	8.709
56777	8.71
33666	8.715
56787	8.717
16736486	8.73
102801	8.736
82873	8.74
8288	8.75
4025	8.75
17339596	8.75
33456	8.757
2629	8.76
33386	8.769
2003	8.77
6514	8.781
36973	8.798
97172	8.799
36974	8.804
82819	8.809
15572	8.81
102856	8.819
13115	8.82
8800	8.827
29153	8.833
35583	8.842
82820	8.842
45445	8.845
4886542	8.85
103066	8.855
46894	8.855
32873	8.86
35563	8.86
17684	8.86
44885	8.87
46710	8.88
33326	8.89
4745	8.9
26325088	8.9
56772	8.909
34848	8.91
56760	8.916
84346	8.928
26325085	8.93
28552	8.937
12364	8.94
56755	8.947
82796	8.95
35265	8.95
56789	8.952
4599	8.956
24638	8.96
56768	8.96
13328	8.96
4437893	8.963
6371	8.97
56778	8.971
3277	8.975
4526760	8.98
21568	8.98
96948	8.984
16415	8.998
193215	9
26325087	9
37779	9.006
56779	9.029
11274	9.03
35585	9.033
84344	9.039
56786	9.039
82797	9.06
5363	9.06
541032	9.066
31129	9.07
37749	9.08
56776	9.082
46264	9.084
83413	9.089
43354	9.092
457139	9.097
21429023	9.11
97055	9.112
4927801	9.115
34859	9.117
7260	9.12
19939	9.12
56756	9.124
4719431	9.13
102798	9.135
36976	9.142
45446	9.143
56767	9.151
8093	9.159
29631	9.16
34850	9.161
14348	9.164
559213	9.17
6453	9.171
84345	9.171
56766	9.182
102722	9.196
33281	9.205
1262	9.207
36975	9.218
154865	9.222
102741	9.225
26325082	9.24
32555	9.249
82740	9.257
215802	9.27
30459	9.27
23977588	9.275
4333	9.277
18941	9.279
97198	9.28
37019	9.29
82783	9.292
37000	9.31
39198	9.316
56765	9.317
46285	9.329
4938407	9.33
46284	9.334
82806	9.349
19722	9.35
34116	9.35
34668	9.35
34851	9.352
56773	9.367
82798	9.37
29282	9.381
47913	9.388
5772	9.39
28827	9.39
26915	9.39
6066	9.391
32952	9.396
48518	9.4
84347	9.402
75956	9.403
102857	9.404
43353	9.408
83414	9.409
2940	9.41
18445	9.41
25304	9.41
102787	9.411
18444	9.42
15010	9.42
82823	9.428
83411	9.43
102742	9.462
34190	9.463
56761	9.475
47914	9.492
102743	9.496
66326	9.5
56559	9.5
35529	9.52
36710	9.527
7991	9.53
33832	9.53
34852	9.537
2927	9.54
154866	9.543
35588	9.55
59833	9.55
12730	9.55
8243	9.55
15699	9.56
64559	9.57
56023	9.59
56782	9.59
549017	9.59
97240	9.594
33282	9.594
20545	9.6
36977	9.609
4066	9.62
2457	9.62
77706	9.63
4813314	9.64
56770	9.645
29847	9.65
56763	9.652
56757	9.654
102834	9.656
7928	9.662
4939096	9.67
36771	9.67
56764	9.673
9817	9.69
36978	9.71
34191	9.712
84348	9.728
45678	9.73
7929	9.731
82738	9.783
37994	9.79
106356	9.792
36979	9.808
10085	9.82
39407	9.82
11369	9.823
56762	9.827
37745	9.838
36981	9.849
56758	9.853
4744	9.86
36980	9.864
11359	9.88
6057	9.88
56775	9.884
6640	9.9
37004	9.924
4956170	9.94
34853	9.957
56783	9.958
4941232	9.96
82736	9.962
47915	9.965
4060	9.97
16139	9.98
2635909	9.98
15822	9.98
13338	10
12543	10.03
36983	10.031
96868	10.039
96864	10.039
56759	10.039
6058	10.06
36982	10.069
33983	10.08
36984	10.088
82831	10.09
45447	10.092
33407	10.104
2271976	10.11
4575338	10.12
24388	10.13
3171	10.14
12367	10.14
15637	10.141
82821	10.143
34860	10.159
11936	10.16
72522	10.163
82786	10.17
6542	10.18
97224	10.181
97234	10.181
5148	10.19
34854	10.2
3534	10.2
46137	10.204
12536	10.21
77887	10.21
6559	10.22
33984	10.22
26325084	10.232
11897	10.236
9242615	10.24
97233	10.242
26325083	10.26
46525	10.27
7988	10.27
46136	10.273
33142	10.28
33141	10.28
34418	10.29
5739	10.291
97142	10.295
2928	10.3
8817	10.33
36986	10.33
82834	10.34
47916	10.346
8078	10.36
4617	10.36
550258	10.365
35205	10.386
36985	10.41
46739	10.42
3326	10.43
35566	10.454
55075	10.462
2908	10.48
4913	10.49
4777	10.502
2181	10.51
6528	10.52
5557	10.53
97257	10.536
6639	10.57
33986	10.577
45448	10.583
33316	10.609
36988	10.625
105648	10.63
82679	10.64
35912	10.65
102923	10.657
8004	10.66
11898	10.667
36987	10.668
20390	10.67
3972	10.68
5590	10.7
11899	10.74
154958	10.76
3513	10.761
7970	10.77
154062	10.771
4629	10.83
36990	10.83
85876	10.84
26916	10.87
77764	10.87
33985	10.89
35108	10.893
82751	10.904
5660	10.91
36989	10.922
6519	11
11917	11.02
2925	11.025
16576	11.04
4447447	11.04
2284017	11.05
5554	11.05
39394	11.07
509179	11.076
77874	11.08
4444070	11.08
4228778	11.1
82822	11.146
43456	11.15
24247	11.16
4445165	11.18
34192	11.186
37764	11.2
2342810	11.21
2075	11.238
12017	11.252
6367	11.28
77933	11.3
2768	11.34
11283	11.372
5791	11.38
96965	11.387
33198	11.414
91304	11.45
35206	11.45
6281	11.55
82759	11.58
66316	11.59
154959	11.6
8804	11.607
8799	11.632
82870	11.64
5376	11.64
5553	11.66
15484	11.703
135795	11.71
49560	11.72
2246	11.736
12072	11.758
21106505	11.79
36968	11.83
2625	11.84
33255	11.9
4444102	11.91
5198	11.959
82852	12.04
2699	12.11
5773	12.12
4444107	12.21
11900	12.264
26325089	12.3
77730	12.58
39145	12.61
8103122	12.7
11901	12.77
6366	12.82
5932	12.85
15827	12.877
136695	12.95
29089	12.96
5678	12.96
5768	13.07
8763	13.26
11146	13.276
5113	13.3
17499	13.37
24722	13.384
94701	13.66
11902	13.78
6013	13.86
31006	13.99
34697	14.32
18949	15.11
10162	15.145
48085	15.459
49179	15.551
10542	15.79
