Compound Id	ChiChain [VCH-7]
67653	0.0
21106032	0.0
1348	0.0
66896	0.016
62534	0.040
62408	0.040
7389	0.014
38364	0.102
12045	0.058
2003	2.540
17784	0.0
12637	0.0
21106524	0.044
13875212	0.109
19475	0.0
13647	0.072
21168826	0.044
6780	0.053
10841	0.096
25889	0.0
25890	0.0
10227261	0.0
220998	0.0
12954	0.0
13851576	0.023
12047	0.058
16736498	2.010
6478	0.221
8912	0.0
10849	0.102
11038	0.125
89076	0.042
199342	0.034
19477	0.0
6287	0.0
13811	0.0
14169248	0.0
10437074	0.022
21105878	0.023
21168813	0.042
235	0.019
8186	0.042
13872122	0.023
8098	0.057
6737	0.085
6789	0.087
15861	0.116
4445317	0.149
11632	0.0
13885245	0.023
8674	0.023
7132	0.016
11783	0.049
27488	0.102
10813	0.1
7202	0.039
30516	0.0
26325090	0.0
21112023	0.024
13876539	0.023
68676	0.067
551	0.136
11776	0.142
66895	0.016
66887	0.016
9893	0.016
63518	0.016
59482	0.016
6881	0.016
13839308	0.023
10586285	0.104
218253	0.061
7689	0.028
63310	0.047
7299	0.045
10829	0.094
12957	0.0
84036	0.0
68152	0.0
24041	0.0
19953955	0.0
14556	0.012
21106140	0.037
1361549	0.019
10831	0.1
23886	0.091
33421	0.083
70714	0.038
15755	0.101
14995	0.099
14994	0.106
67470	0.108
15476	0.108
15756	0.110
6592	0.214
21943	0.0
