Compound Id	ChiPath [SP-1]
11586	6.147
1278	6.949
62472	6.147
26563	9.0
36975	8.020
56778	8.003
43354	8.003
37779	8.020
45445	7.986
36974	7.986
35585	8.003
34848	7.986
84344	8.003
34850	8.003
82819	8.003
56772	7.986
82820	8.003
16415	8.037
56779	8.003
56768	7.986
56777	7.969
84345	8.003
34668	7.986
16736486	8.114
8111	6.933
642951	6.558
13300034	7.488
96965	7.858
33198	7.858
82783	8.430
34852	8.430
37000	8.430
37019	8.414
56765	8.414
39198	8.414
82740	8.447
56761	8.430
56756	8.414
56766	8.414
83413	8.397
34851	8.414
36976	8.414
56767	8.397
56763	8.397
5775	13.254
21106145	5.609
11422351	5.427
56787	7.592
35583	7.592
82807	7.575
56794	7.575
33386	7.592
33457	7.609
47912	7.575
82817	7.575
46893	7.559
33280	7.575
35582	7.559
33304	7.575
46263	7.592
553171	4.702
10488	3.394
34667	7.165
34871	7.148
34873	7.165
56784	7.182
34872	7.148
970	6.949
556589	5.881
29153	7.933
11917	12.421
204209	8.254
21106581	5.609
15827	8.285
70806	7.898
4437893	8.843
9824	6.877
2908	9.665
33407	9.252
36985	9.269
35205	9.252
15637	9.252
82821	9.252
8329	7.788
2625	10.148
86007	8.506
13835344	5.236
76154	5.549
73390	5.343
11773	4.864
11582	5.236
7172	5.609
2991	6.877
34853	8.430
37745	8.430
36978	8.414
34190	8.397
34191	8.414
36771	8.414
36710	8.397
56757	8.414
549017	8.430
84347	8.397
56764	8.414
56758	8.414
47914	8.397
56762	8.430
33984	8.414
33983	8.397
34860	8.841
82738	8.824
36982	8.841
36979	8.824
47915	8.841
56783	8.824
36981	8.824
37004	8.841
36980	8.824
222538	4.843
13848793	5.360
7176	5.236
7211	5.609
65523	4.843
13090	6.877
82751	9.679
36989	9.679
8800	7.949
62060	9.462
2975965	9.165
33282	8.003
46285	8.003
46284	7.986
82806	7.986
56776	7.969
47913	8.003
32952	7.986
45446	7.969
43353	7.986
56773	7.986
26325089	13.224
6588	6.288
2849146	4.843
10437335	5.343
33281	7.575
56786	7.575
56789	7.559
33456	7.542
46264	7.575
9187483	9.326
5978	2.0
10257	5.626
2699	10.648
5739	8.916
6577	7.415
8816	8.949
659	1.732
13835294	7.788
8817	8.933
526	5.236
7199	5.236
6514	8.720
36990	9.269
35912	9.252
45448	9.252
36987	9.252
36988	9.252
13860	4.305
33986	8.841
36983	8.841
36986	8.824
45447	8.858
35566	8.841
47916	8.824
46137	8.824
550258	8.824
33985	8.824
2928	8.876
8788	9.933
15484	10.107
20132	8.381
7315	7.843
6453	8.198
6753	7.360
9797	9.648
192748	7.452
8799	9.933
10437836	6.092
2121	6.698
