Compound Id	ChiCluster [SC-3]
2699	1.439
5739	0.939
6577	0.469
8816	0.816
659	0.577
13835294	0.929
8817	0.878
526	0.704
7199	0.704
6514	1.133
36990	1.830
35912	1.917
45448	1.926
36987	1.917
36988	1.917
13860	0.5
33986	1.706
36983	1.724
36986	1.802
45447	1.638
35566	1.711
47916	1.798
46137	1.817
550258	1.798
33985	1.792
2928	2.373
8788	1.1
15484	2.147
20132	0.612
7315	0.697
6453	1.140
6753	0.798
9797	1.439
192748	1.402
8799	1.094
10437836	1.112
2121	0.942
34854	1.587
46136	1.587
82736	1.693
56759	1.683
36984	1.674
6621	0.538
17347	1.510
15517	0.850
56775	1.469
56770	1.575
11283	0.611
36029	2.328
35206	2.022
64155	0.902
34192	1.898
82822	1.904
8763	1.383
8804	1.155
5557	1.411
75956	0.333
6775	0.333
2246	1.161
5113	2.012
26325182	1.413
11672	0.408
105291	0.789
35108	1.780
29117	1.199
33316	1.661
5678	1.211
156255	0.471
18336	1.963
4449	0.471
12549	1.029
374462	0.471
13662	0.789
10437239	0.704
8351654	0.789
83191	2.743
5774	2.623
5145918	2.027
58496	4.763
92468	2.623
11439687	0.997
92494	2.623
91432	1.525
8124942	1.468
24722	0.667
133166	2.335
8101973	1.468
509179	0.333
67594	1.199
4228778	0.333
10162	2.028
4444479	3.297
4444107	2.075
21108577	0.606
5552	3.170
21486195	5.121
4911	2.327
75995	0.667
2424	1.253
4444362	3.795
14441700	1.561
23055	1.561
14829	2.0
6093	0.0
13848808	0.607
21105897	0.607
6898	0.811
4268	1.389
8058	0.812
8060	0.812
7566	0.0
62310	0.607
6338	0.408
10498	0.0
6057	1.355
21105848	0.526
518	N/A
7546	0.204
7013	0.289
10292746	2.897
13835550	0.0
6128	0.577
175	0.577
6745	0.636
10343	1.398
2041618	N/A
10784857	N/A
274	0.0
6106	0.0
62826	1.339
8543	0.0
6630	0.664
13837787	0.705
10772140	0.408
6148	2.0
62589	0.289
7686	0.289
56144	2.366
7791	0.0
6105	0.0
13837537	0.0
21106570	1.049
6135	0.577
2927	1.355
8262	0.675
3548	1.1
11434292	N/A
7624	0.816
38403	1.978
2282428	1.655
9251	1.655
13571291	0.0
71312	1.655
11153	0.0
3973	1.339
75951	0.697
68832	0.697
92731	1.488
6102	0.0
76894	N/A
4624	1.6
7794	0.816
70850	0.408
11811	0.0
7777	0.0
15482	0.0
7856	0.0
8562	0.0
7730	0.0
654	0.0
2062437	1.655
13837280	0.408
72551	0.697
7630	0.816
23208	0.0
11864	0.0
11845	0.0
454215	1.655
9254	1.655
9253	1.655
83734	1.655
553742	0.0
15077490	1.655
2018460	1.570
22191	0.697
72793	0.577
12442	0.0
2018165	0.408
7406	0.816
2271976	1.479
1448	1.205
21782117	2.897
12209	0.0
9286	0.667
391	0.0
4514529	0.0
16641	0.0
6125	0.577
6104	0.0
11911	1.561
6119	0.577
7551	0.0
15427	0.204
9256	1.655
4444553	2.363
10652594	N/A
21106179	0.577
71390	0.577
107412	1.339
558928	0.0
24641	0.577
2916	0.0
558875	0.0
2297441	1.021
29282	1.181
9120	1.205
12730	1.021
4471584	2.075
9088156	4.048
12456	0.0
17880	0.0
11806	0.0
7558	0.0
6095	0.0
6086	0.0
2293678	1.655
10364	0.204
29036	0.577
21111822	0.577
7681	0.289
13863618	0.402
12874	2.173
59483	3.621
2056044	3.065
3441	1.655
13638	0.0
11154	0.0
6326	0.408
10801842	0.402
4768	1.513
6774	0.526
20848	2.258
5932	2.544
10756	1.380
61149	2.232
6130	0.577
5977	0.577
13838404	0.577
7223	0.204
15495	0.607
5198	1.484
21105594	1.838
58234	1.803
21105591	3.194
12577	1.561
6145	2.0
6310	0.408
7606	0.408
23255	0.408
6123	0.577
8576	0.0
7851	0.0
15387	0.0
7811	0.0
7835	0.0
7769	0.0
7716	0.0
7564	0.0
6101	0.0
6089	0.0
217	0.0
13835977	0.0
7703	0.408
60329	0.0
7727	0.0
1609	0.0
6342	0.667
13869414	0.493
21106077	2.127
10481872	5.121
6179	1.655
7234	0.204
18941	1.429
4760	1.429
12705	1.021
11003	0.408
2169	1.105
10837	1.131
6916	0.691
8093	0.718
8030	0.778
12197	0.0
30713	0.667
6790	0.622
5027	0.697
552744	0.408
21112738	0.0
7677	0.289
48024	0.289
8319	0.538
26286843	1.423
29040	1.655
6132	0.577
6301	1.615
13850142	1.799
390927	1.799
19709	0.811
60121	0.402
13869434	0.760
13869462	0.760
13840647	0.664
13860491	0.760
9349	0.577
14620	1.021
14916	1.231
992	0.939
9016	1.655
8935	0.595
21106519	0.493
12133	0.612
4103087	1.398
5376	1.365
2760	3.579
9786472	3.459
196288	3.459
139025	3.459
60858	0.718
12933	0.707
10181341	0.612
7736	0.0
447	0.402
4759	1.429
33617	2.173
30881	0.901
4447447	1.859
28552	1.904
3438	2.131
3544	1.305
4444102	1.843
21106059	4.499
10675065	0.977
4514586	0.0
13854944	0.408
13860641	0.402
13853758	0.789
21159695	0.493
21106525	0.493
13854136	0.471
13835151	0.577
10991	0.493
13860692	0.577
29008	0.0
13860775	0.402
4745	0.895
13303	0.612
7466	0.289
11699	0.289
4366810	0.697
10422	0.697
11695	0.289
13869480	0.493
10892	0.636
13849981	1.615
15093	0.901
206493	1.020
13842001	0.204
13854248	0.471
11961	0.953
6002	3.041
7480	0.289
21106058	2.990
13836399	0.0
5889	0.289
299166	0.789
6835	0.622
3534	1.268
5162	2.382
75662	3.779
21106365	0.667
499714	1.502
558917	0.697
11629	0.606
14627	0.538
512621	N/A
3693	1.218
5026296	1.803
13836021	0.0
1087	0.0
4514549	0.0
13302	1.021
256210	0.622
13849989	0.697
15016	0.0
13836591	0.0
2654	0.606
13856352	0.204
15520	2.067
3841535	1.218
18717	1.570
455353	0.0
16778	0.0
7705	0.408
7728	0.0
59447	0.289
7528	0.577
13835459	0.0
13848467	0.204
13869451	0.577
13871489	0.856
13869339	0.577
13860817	0.760
21111772	0.943
13853943	0.705
21106518	0.789
6658	1.720
11369	0.953
11180	1.655
11739	1.561
11056	1.561
6146	2.0
11194	1.339
6165	1.561
11216	1.207
62230	0.927
11210	0.927
11732	1.561
7459	0.289
11024	0.289
5830	0.204
57726	1.539
72556	0.204
11610	0.493
124	0.901
238	0.5
15803	0.994
7026	0.289
7678	0.289
9970	0.289
13837686	0.471
10008	0.289
6807	0.805
21108576	0.789
11488212	0.994
27749	1.176
3216	1.840
4470736	3.428
4343	2.290
8103122	1.990
3652	2.123
49179	3.141
5791	2.394
70660	2.258
15954	0.569
11819	0.816
7622	0.816
99440	1.969
11239	0.667
11543	0.569
10790	0.569
15486	0.289
18920	0.408
11861	0.408
123993	0.402
11036	0.289
11029	0.289
11794	0.408
10511	0.408
21011	0.408
11678	0.289
3644	0.577
6320	0.408
10947	0.289
10787	0.569
11793	0.408
7236	0.204
55443	0.204
453675	0.204
69340	0.204
10992	0.493
5439	0.408
71193	1.195
2700	1.599
10251740	0.5
7190	0.789
11525	0.289
4481813	0.0
13871721	0.0
6974	0.471
16804	1.155
11778	0.866
11954	0.856
13860720	0.760
76394	0.493
7131	0.5
13876103	0.606
13871718	0.204
4575338	1.928
2937774	0.691
206561	0.691
7310	0.493
5233	1.429
197564	2.956
193441	3.170
9579	0.789
7533	0.612
6164	1.561
56559	0.408
9053802	0.408
29000	0.408
7434	0.204
6312	0.408
8398	0.289
11898	0.0
72522	0.0
7928	0.0
14348	0.0
2581	0.0
11891	0.0
7917	0.0
7915	0.0
7901	0.0
7892	0.0
7882	0.0
8574	0.0
932	0.0
7812	0.0
7837	0.0
6040	0.0
258	0.0
1004	0.0
682	0.0
9391	1.655
63156	0.0
12626	0.0
60524	0.408
59674	0.0
10248	0.953
16119	0.856
12643	0.289
11752	0.408
21106900	0.902
15753	1.016
3210	0.986
392447	0.612
13854242	0.691
7600	1.849
13872989	0.0
62597	0.0
4937830	0.0
69177	1.049
10244	1.049
8733	0.0
7568	0.0
6633	0.664
12229	0.289
31006	2.939
13860434	0.606
5551	3.170
13866593	0.0
21106015	0.0
13839174	0.664
11021	0.493
8960	0.0
11465	0.402
4590	0.816
2157	1.044
11809	0.0
748	0.0
12823	0.493
10328	0.471
120621	0.816
12445	1.969
20119	0.408
6334	0.408
55205	0.408
13816	0.289
26765	0.289
192642	0.569
122446	1.570
21181	0.289
28994	0.0
11460	0.402
7145	0.789
6550	0.744
106796	2.327
5550	2.758
5633	2.590
13860335	0.204
24099	0.0
15702	2.284
10996	1.062
7279	0.773
5091	0.408
1262	1.230
880	0.612
13837702	0.0
21106535	0.289
12225	0.289
773	0.0
864	0.0
415	0.0
1141	0.577
1664	0.289
21361761	0.811
21105998	0.994
12640	0.289
6480	0.538
10437210	0.676
776	0.333
8273	0.662
7397	0.612
71787	0.697
4777	1.166
9219586	1.433
2457	1.050
1266393	0.408
7021	0.289
11694	0.289
11244	0.667
13850879	1.584
6600	0.878
62964	3.660
3322	2.560
13047	1.049
10438331	0.867
5976	0.866
13846959	0.789
6688	1.631
5542	3.579
19232037	3.459
19232038	3.459
18547147	3.459
21587143	3.459
11286	1.188
8070	0.705
55091	1.655
733	0.289
25472	1.245
18801	0.0
68156	0.0
10857	0.664
589165	0.612
6610	0.812
8470	1.062
953	0.789
6593	0.605
21105870	0.204
63889	0.577
123207	0.577
123	0.493
2241	0.5
62466	0.789
62485	0.789
63968	0.622
13839128	0.760
83866	0.471
18707	0.760
7961	1.561
4450907	1.928
10254	0.705
62467	0.789
5236	1.147
5660	1.878
305	1.908
3741	1.225
12244	0.953
13839151	0.664
13257	0.577
32555	1.343
13835336	0.0
13835861	1.561
73479	0.676
13839123	0.760
9911	0.943
13865680	0.402
11604	0.493
13835772	0.471
61538	0.856
194092	0.692
8528	0.577
3008	1.245
7140	0.789
4611	0.612
21105859	0.408
13846658	0.622
66567	3.25
8140	0.760
1019	0.0
67465	1.190
79280	0.493
5807	1.348
11595	1.0
2068	1.042
6646	0.664
7443	0.493
83850	0.471
12060	0.493
14678	0.493
61411	1.049
28982	0.493
6330	0.408
11795	0.408
173	0.577
67270	1.799
6033	1.799
7092	1.510
58563	0.789
2925	1.349
8341	0.622
13839105	0.760
65	0.760
