Compound Id	EccentricConnectivityIndex
9574	80
6674	76
10972	80
11563	80
693	6
10411	115
11625	103
331	76
7018	29
768	79
6586	130
64699	63
191058	112
5593	70
6739	99
10986	126
392	58
28947	141
21106018	67
13835630	81
13875219	58
13842573	58
6950	70
14299946	160
13030	76
9360	54
8071	76
10432	58
11294	108
4963	76
13875432	54
434	80
5139	354
19766	89
9547	76
13835293	34
13875441	54
11769	54
65272	647
191	100
10181338	113
7151	110
5541	530
592	24
13839441	54
13835209	38
13839416	74
63908	77
221226	102
26325085	258
61765	90
7001	80
6675	76
21105795	71
17339596	237
11080	54
4380	405
16359	123
63054	89
72056	254
34095	182
18685	150
62628	122
11875	96
48085	609
5026	268
1906	115
278	6
10606755	55
13839553	24
18177	155
5882	126
763	2
1015	70
12499	102
5915	92
7189	88
10664	80
7044	123
12478	77
68568	88
89258	158
10205670	19
26325087	256
26325088	252
6035	113
6013	481
937	0
13835604	54
21106172	76
7042	123
10628694	87
10616	98
955	88
1143	9
61191	99
12821	71
7098	89
9564	67
84971	79
388391	79
1710	250
6079	88
5554	336
13837760	54
132	88
2005981	9
10771217	24
18	87
1151	95
185	79
11083	63
8182	112
6988	67
6492	108
913	69
78467	115
9965	144
1577	29
440	114
120548	88
3513	194
744	95
7745	56
1078	56
11366	76
844	38
6371	262
10772050	29
7208	126
61739	117
11489	87
63863	52
5142	99
13835932	52
10975	123
1446	95
5553	355
6066	195
3350	89
40130	150
4878	54
8282	117
376	126
10025	156
5004	224
7142	80
10870	117
20198	123
1253	101
71	99
65234	405
6665	126
29400	919
1043	490
4067	806
62265	139
7150	135
55075	102
4444100	338
789	63
541032	89
96749	114
7984	48
3102535	45
64016	308
7146	91
361	110
6045	2583
10197150	56
4599	210
472932	73
5768	367
