Compound Id	PetitjeanShapeIndex [topoShape]
56785	0.75
56792	0.8
34189	0.75
34859	0.75
84346	1.0
56760	1.0
56755	0.75
33666	0.8
13867413	0.667
6781	0.667
13865630	0.8
7241	0.667
12061	0.75
15473	0.75
17099	1.0
17098	1.0
33933	0.75
15474	0.8
34868	0.75
37905	1.0
34869	1.0
37918	0.75
37915	1.0
34867	0.75
25605	1.0
26011	1.0
34870	1.0
34666	0.75
21924	0.8
36973	0.75
37744	1.0
46894	1.0
45444	1.0
56769	0.75
56780	0.75
34847	0.75
39406	1.0
35081	0.8
56781	1.0
56771	1.0
6842	0.75
10101	1.0
13835351	1.0
6773	1.0
102834	0.5
102722	0.75
154865	0.75
96948	0.75
102743	0.5
102857	0.75
154866	0.75
106356	0.75
102787	0.75
97240	1.0
102742	1.0
136966	1.0
13054	0.75
7636	1.0
21105699	0.75
29107	0.5
7029	0.5
19231	0.667
67460	1.0
9873	0.75
17868	0.75
6524	0.833
8243	0.875
6528	0.889
13837319	0.857
8241	0.833
11422	1.0
6855	0.75
69982	0.667
97257	0.75
97224	0.75
102923	0.5
96868	0.75
96864	0.75
97234	0.75
97233	0.75
154062	0.75
97142	0.75
2075	0.8
21106148	0.75
6023	1.0
65763	1.0
56782	1.0
36977	0.75
83414	0.8
84348	1.0
82823	1.0
11586	1.0
1278	0.75
62472	0.75
26563	0.0
36975	1.0
56778	0.75
43354	0.8
37779	1.0
45445	1.0
36974	0.75
35585	1.0
34848	0.8
84344	1.0
34850	1.0
82819	0.75
56772	0.75
82820	0.8
16415	1.0
56779	1.0
56768	0.8
56777	1.0
84345	1.0
34668	1.0
16736486	0.5
8111	0.75
642951	0.75
13300034	0.8
96965	0.75
33198	0.75
82783	1.0
34852	1.0
37000	0.75
37019	0.75
56765	0.8
39198	0.8
82740	1.0
56761	1.0
56756	1.0
56766	1.0
83413	1.0
34851	1.0
36976	0.75
56767	0.8
56763	0.8
5775	0.875
21106145	1.0
11422351	0.667
56787	1.0
35583	1.0
82807	0.75
56794	0.75
33386	0.8
33457	1.0
47912	1.0
82817	1.0
46893	1.0
33280	1.0
35582	0.75
33304	0.8
46263	1.0
553171	0.75
10488	0.333
34667	1.0
34871	0.75
34873	0.8
56784	1.0
34872	1.0
970	0.75
556589	0.75
29153	0.75
11917	1.0
204209	0.833
21106581	0.75
15827	0.75
70806	0.75
4437893	1.0
9824	0.5
2908	1.0
33407	0.8
36985	1.0
35205	1.0
15637	0.75
82821	0.8
8329	0.8
2625	0.8
86007	0.833
13835344	0.75
76154	1.0
73390	0.75
11773	1.0
11582	1.0
7172	1.0
2991	1.0
34853	0.8
37745	1.0
36978	1.0
34190	0.75
34191	0.8
36771	1.0
36710	1.0
56757	0.8
549017	1.0
84347	1.0
56764	1.0
56758	1.0
47914	0.75
56762	0.8
33984	0.8
33983	0.8
34860	1.0
82738	1.0
36982	1.0
36979	0.75
47915	0.8
56783	0.8
36981	0.8
37004	1.0
36980	1.0
222538	1.0
13848793	1.0
7176	0.75
7211	0.75
65523	1.0
13090	1.0
82751	0.8
36989	1.0
8800	0.5
62060	0.75
2975965	0.8
33282	0.8
46285	1.0
46284	1.0
82806	1.0
56776	0.75
47913	0.8
32952	0.8
45446	1.0
43353	0.8
56773	1.0
26325089	1.0
6588	1.0
2849146	1.0
10437335	0.75
33281	0.8
56786	1.0
56789	1.0
33456	0.75
46264	0.8
9187483	1.0
5978	1.0
10257	0.667
2699	0.8
5739	0.8
6577	1.0
8816	0.4
659	1.0
13835294	0.75
8817	0.8
526	0.75
7199	0.75
6514	0.8
36990	0.8
35912	0.8
45448	1.0
36987	1.0
36988	0.8
13860	0.667
33986	0.8
36983	0.8
36986	1.0
45447	1.0
35566	0.8
47916	0.8
46137	1.0
550258	1.0
33985	0.8
2928	1.0
8788	0.4
15484	0.8
20132	1.0
7315	1.0
6453	0.75
6753	0.75
9797	0.8
192748	0.75
8799	0.6
10437836	1.0
2121	0.75
34854	0.8
46136	0.8
82736	1.0
56759	1.0
36984	0.8
6621	0.667
17347	0.667
15517	0.667
56775	0.8
56770	1.0
11283	1.0
36029	0.8
35206	0.8
64155	1.0
34192	0.8
82822	0.8
8763	0.4
8804	0.6
5557	1.0
75956	0.286
6775	0.667
2246	0.8
5113	1.0
26325182	0.75
11672	0.75
105291	0.667
35108	0.8
29117	1.0
33316	0.8
5678	0.833
156255	0.5
18336	0.75
4449	0.333
12549	1.0
374462	0.5
13662	1.0
10437239	1.0
8351654	0.667
83191	1.0
5774	0.857
5145918	1.0
58496	1.0
92468	0.875
11439687	1.0
92494	1.0
91432	0.8
8124942	1.0
24722	0.444
133166	1.0
8101973	1.0
509179	0.222
67594	1.0
4228778	0.889
10162	0.833
4444479	1.0
4444107	0.833
21108577	1.0
5552	1.0
21486195	1.0
4911	0.833
75995	0.333
2424	0.5
4444362	0.889
14441700	0.5
23055	0.5
14829	1.0
6093	1.0
13848808	1.0
21105897	0.75
6898	0.75
4268	1.0
8058	0.8
8060	1.0
7566	0.5
62310	1.0
6338	0.5
10498	1.0
6057	1.0
21105848	1.0
518	N/A
7546	0.5
7013	1.0
10292746	0.5
13835550	0.5
6128	1.0
175	1.0
6745	1.0
10343	0.5
2041618	1.0
10784857	0.167
274	1.0
6106	1.0
62826	1.0
8543	1.0
6630	0.333
13837787	0.667
10772140	0.5
6148	1.0
62589	0.333
7686	0.333
56144	1.0
7791	0.0
6105	1.0
13837537	0.0
21106570	0.667
6135	1.0
2927	1.0
8262	1.0
3548	0.8
11434292	1.0
7624	1.0
38403	0.667
2282428	0.5
9251	0.5
13571291	0.5
