Compound Id	ZagrebIndex
82820	88.0
16415	88.0
56779	88.0
56768	88.0
56777	88.0
84345	88.0
34668	88.0
16736486	114.0
8111	76.0
642951	66.0
13300034	84.0
96965	92.0
33198	92.0
82783	94.0
34852	94.0
37000	94.0
37019	94.0
56765	94.0
39198	94.0
82740	94.0
56761	94.0
56756	94.0
56766	94.0
83413	94.0
34851	94.0
36976	94.0
56767	94.0
56763	94.0
5775	158.0
21106145	56.0
11422351	60.0
56787	82.0
35583	82.0
82807	82.0
56794	82.0
33386	82.0
33457	82.0
47912	82.0
82817	82.0
46893	82.0
33280	82.0
35582	82.0
33304	82.0
46263	82.0
553171	38.0
10488	30.0
34667	76.0
34871	76.0
34873	76.0
56784	76.0
34872	76.0
970	76.0
556589	52.0
29153	94.0
11917	132.0
204209	82.0
21106581	56.0
15827	98.0
70806	86.0
4437893	84.0
9824	78.0
2908	106.0
33407	106.0
36985	106.0
35205	106.0
15637	106.0
82821	106.0
8329	78.0
2625	110.0
86007	84.0
13835344	50.0
76154	58.0
73390	48.0
11773	44.0
11582	50.0
7172	56.0
2991	68.0
34853	94.0
37745	94.0
36978	94.0
34190	94.0
34191	94.0
36771	94.0
36710	94.0
56757	94.0
549017	94.0
84347	94.0
56764	94.0
56758	94.0
47914	94.0
56762	94.0
33984	94.0
33983	94.0
34860	100.0
82738	100.0
36982	100.0
36979	100.0
47915	100.0
56783	100.0
36981	100.0
37004	100.0
36980	100.0
222538	44.0
13848793	56.0
7176	50.0
7211	56.0
65523	44.0
13090	68.0
82751	112.0
36989	112.0
8800	94.0
62060	122.0
2975965	102.0
33282	88.0
46285	88.0
46284	88.0
82806	88.0
56776	88.0
47913	88.0
32952	88.0
45446	88.0
43353	88.0
56773	88.0
26325089	134.0
6588	66.0
2849146	44.0
10437335	48.0
33281	82.0
56786	82.0
56789	82.0
33456	82.0
46264	82.0
9187483	98.0
5978	20.0
10257	56.0
2699	114.0
5739	102.0
6577	72.0
8816	102.0
659	12.0
13835294	88.0
8817	102.0
526	50.0
7199	50.0
6514	98.0
36990	106.0
35912	106.0
45448	106.0
36987	106.0
36988	106.0
13860	40.0
33986	100.0
36983	100.0
36986	100.0
45447	100.0
35566	100.0
47916	100.0
46137	100.0
550258	100.0
33985	100.0
2928	98.0
8788	120.0
15484	118.0
20132	80.0
7315	76.0
6453	94.0
6753	82.0
9797	106.0
192748	76.0
8799	120.0
10437836	60.0
2121	72.0
34854	94.0
46136	94.0
82736	94.0
56759	94.0
36984	94.0
6621	52.0
17347	48.0
15517	64.0
56775	88.0
56770	88.0
11283	96.0
36029	102.0
35206	112.0
64155	60.0
34192	106.0
82822	106.0
8763	138.0
8804	120.0
5557	116.0
75956	86.0
6775	44.0
2246	120.0
5113	164.0
26325182	84.0
11672	44.0
105291	42.0
35108	100.0
29117	76.0
33316	94.0
5678	128.0
156255	32.0
18336	62.0
4449	36.0
12549	104.0
374462	28.0
13662	46.0
10437239	46.0
8351654	42.0
83191	140.0
5774	144.0
5145918	132.0
58496	202.0
92468	152.0
11439687	76.0
92494	148.0
91432	110.0
8124942	126.0
24722	124.0
133166	134.0
8101973	118.0
509179	98.0
67594	76.0
4228778	92.0
10162	170.0
4444479	184.0
4444107	124.0
21108577	54.0
5552	154.0
21486195	186.0
4911	118.0
75995	148.0
2424	76.0
4444362	236.0
14441700	24.0
23055	24.0
14829	20.0
6093	6.0
13848808	50.0
21105897	54.0
6898	54.0
4268	88.0
8058	78.0
8060	82.0
7566	10.0
62310	58.0
6338	16.0
10498	14.0
6057	90.0
21105848	50.0
518	0.0
7546	22.0
7013	20.0
10292746	134.0
13835550	10.0
6128	12.0
175	12.0
6745	54.0
10343	68.0
2041618	78.0
10784857	90.0
274	6.0
6106	6.0
62826	34.0
8543	14.0
6630	42.0
13837787	46.0
10772140	16.0
6148	20.0
62589	30.0
7686	30.0
56144	48.0
7791	24.0
6105	6.0
13837537	24.0
21106570	54.0
6135	12.0
2927	90.0
8262	66.0
3548	78.0
11434292	56.0
7624	26.0
38403	44.0
2282428	30.0
9251	30.0
13571291	10.0
71312	30.0
11153	6.0
3973	34.0
75951	38.0
68832	30.0
92731	40.0
6102	6.0
76894	70.0
4624	100.0
7794	34.0
70850	16.0
11811	14.0
7777	18.0
15482	38.0
7856	30.0
8562	22.0
7730	14.0
654	6.0
2062437	30.0
13837280	16.0
72551	42.0
7630	26.0
23208	6.0
11864	26.0
11845	22.0
454215	30.0
9254	30.0
9253	30.0
83734	30.0
553742	10.0
15077490	30.0
2018460	34.0
22191	34.0
72793	38.0
12442	10.0
2018165	16.0
7406	54.0
2271976	124.0
1448	62.0
21782117	134.0
12209	18.0
9286	22.0
391	0.0
4514529	0.0
16641	6.0
6125	12.0
6104	6.0
11911	24.0
6119	12.0
7551	10.0
15427	42.0
9256	30.0
4444553	126.0
10652594	74.0
21106179	12.0
71390	12.0
107412	34.0
558928	10.0
24641	42.0
2916	6.0
558875	10.0
2297441	68.0
29282	78.0
9120	62.0
12730	80.0
4471584	120.0
9088156	76.0
12456	34.0
17880	30.0
11806	14.0
7558	10.0
6095	6.0
6086	2.0
2293678	30.0
10364	34.0
29036	12.0
21111822	36.0
7681	30.0
13863618	40.0
12874	76.0
59483	66.0
2056044	58.0
3441	30.0
13638	32.0
11154	6.0
6326	16.0
10801842	38.0
4768	70.0
6774	50.0
20848	72.0
5932	140.0
10756	54.0
61149	58.0
6130	12.0
5977	12.0
13838404	12.0
7223	34.0
15495	62.0
5198	112.0
21105594	198.0
58234	66.0
21105591	184.0
12577	24.0
6145	20.0
6310	16.0
7606	20.0
23255	16.0
6123	12.0
8576	38.0
7851	30.0
15387	34.0
7811	22.0
7835	26.0
7769	18.0
7716	14.0
7564	10.0
6101	6.0
6089	2.0
217	0.0
13835977	10.0
7703	24.0
60329	18.0
7727	14.0
1609	18.0
6342	22.0
13869414	40.0
21106077	208.0
10481872	188.0
6179	30.0
7234	34.0
18941	78.0
4760	74.0
12705	68.0
11003	62.0
2169	64.0
10837	62.0
6916	62.0
8093	78.0
8030	78.0
12197	10.0
30713	22.0
6790	56.0
5027	58.0
552744	20.0
21112738	10.0
7677	30.0
48024	30.0
8319	56.0
26286843	100.0
29040	30.0
6132	12.0
6301	46.0
13850142	54.0
390927	54.0
19709	50.0
60121	44.0
13869434	42.0
13869462	42.0
13840647	42.0
13860491	42.0
9349	36.0
14620	68.0
14916	90.0
992	56.0
9016	30.0
8935	54.0
21106519	48.0
12133	62.0
4103087	68.0
5376	104.0
2760	168.0
9786472	176.0
196288	184.0
139025	192.0
60858	78.0
12933	56.0
10181341	44.0
7736	20.0
447	40.0
4759	74.0
33617	76.0
30881	72.0
4447447	136.0
28552	76.0
3438	134.0
3544	70.0
4444102	114.0
21106059	160.0
10675065	36.0
4514586	0.0
13854944	20.0
13860641	40.0
13853758	46.0
21159695	44.0
21106525	40.0
13854136	36.0
13835151	36.0
10991	40.0
13860692	36.0
29008	20.0
13860775	40.0
4745	76.0
13303	62.0
7466	24.0
11699	32.0
4366810	42.0
10422	38.0
11695	28.0
13869480	40.0
10892	50.0
13849981	46.0
15093	50.0
206493	64.0
13842001	28.0
13854248	36.0
11961	48.0
6002	144.0
7480	34.0
21106058	176.0
13836399	26.0
5889	30.0
299166	46.0
6835	64.0
3534	110.0
5162	116.0
75662	216.0
21106365	76.0
499714	42.0
558917	42.0
11629	50.0
14627	56.0
512621	40.0
3693	94.0
5026296	66.0
13836021	14.0
1087	6.0
4514549	0.0
13302	64.0
256210	56.0
13849989	42.0
15016	70.0
13836591	18.0
2654	74.0
13856352	38.0
15520	182.0
3841535	94.0
18717	34.0
455353	30.0
16778	22.0
7705	24.0
7728	14.0
59447	30.0
7528	36.0
13835459	24.0
13848467	42.0
13869451	36.0
13871489	58.0
13869339	36.0
13860817	42.0
21111772	48.0
13853943	46.0
21106518	46.0
6658	54.0
11369	48.0
11180	30.0
11739	32.0
11056	28.0
6146	20.0
11194	34.0
6165	24.0
11216	32.0
62230	36.0
11210	32.0
11732	28.0
7459	24.0
11024	24.0
5830	38.0
57726	68.0
72556	46.0
11610	48.0
124	50.0
238	40.0
15803	52.0
7026	26.0
7678	30.0
9970	34.0
13837686	36.0
10008	30.0
6807	70.0
21108576	46.0
11488212	52.0
27749	70.0
3216	126.0
4470736	164.0
4343	140.0
8103122	122.0
3652	142.0
49179	158.0
5791	126.0
70660	52.0
15954	30.0
11819	30.0
7622	26.0
99440	34.0
11239	22.0
11543	30.0
10790	26.0
15486	40.0
18920	32.0
11861	36.0
123993	34.0
11036	28.0
11029	28.0
11794	24.0
10511	28.0
21011	20.0
11678	24.0
3644	12.0
6320	16.0
10947	20.0
10787	26.0
11793	24.0
7236	34.0
55443	50.0
453675	54.0
69340	46.0
10992	40.0
5439	20.0
71193	52.0
2700	116.0
10251740	36.0
7190	46.0
11525	20.0
4481813	10.0
13871721	14.0
6974	36.0
16804	60.0
11778	42.0
11954	48.0
13860720	42.0
76394	40.0
7131	40.0
13876103	54.0
13871718	42.0
4575338	132.0
2937774	54.0
206561	50.0
7310	52.0
5233	104.0
197564	148.0
193441	154.0
9579	46.0
7533	34.0
6164	24.0
56559	72.0
9053802	56.0
29000	20.0
7434	32.0
6312	16.0
8398	20.0
11898	78.0
72522	74.0
7928	70.0
14348	66.0
2581	62.0
11891	58.0
7917	54.0
7915	50.0
7901	46.0
7892	42.0
7882	38.0
8574	34.0
932	30.0
7812	22.0
7837	26.0
6040	18.0
258	14.0
1004	10.0
682	6.0
9391	30.0
63156	22.0
12626	18.0
60524	16.0
59674	18.0
10248	48.0
16119	48.0
12643	30.0
11752	20.0
21106900	56.0
15753	56.0
3210	64.0
392447	48.0
13854242	54.0
7600	50.0
13872989	10.0
62597	14.0
4937830	10.0
69177	54.0
10244	54.0
8733	14.0
7568	10.0
6633	42.0
12229	30.0
31006	138.0
13860434	50.0
5551	154.0
13866593	22.0
21106015	10.0
