Compound Id	HybridizationRatio
25677	0.0
67991	1.0
15803	1.0
502245	0.2
10227261	0.667
44152	0.444
12809	0.8
15387	1.0
8470	0.222
5027	0.571
21106365	0.0
21106091	0.455
16804	0.455
55443	0.455
67653	1.0
2185	0.0
2991	0.0
137720	0.214
11919	1.0
26010	0.0
30600	0.0
33455	0.0
33934	0.0
33932	0.0
6600	0.083
2121	0.182
13849989	0.6
13849981	0.6
7506	0.7
18685	1.0
3741	0.0
8374	0.364
247721	0.364
15409	0.364
79969	0.364
13871489	0.75
23150	1.0
6807	0.0
15620	0.231
15621	0.231
26260	0.231
68437	0.231
15619	0.231
15861	0.231
12682	0.231
42330	0.667
15413	1.0
34866	0.0
34665	0.0
34664	0.0
37904	0.0
34864	0.0
34188	0.0
34865	0.0
14840	1.0
13448	1.0
14866	0.333
20132	0.143
10400	0.0
13835294	0.0
67360	1.0
12218	0.9
55075	0.0
9873	0.0
14349	1.0
6842	0.0
6066	0.182
512621	1.0
13090	0.0
15702	0.3
11369	0.0
12219	1.0
56793	0.0
454495	0.0
40191	0.0
56791	0.0
35581	0.0
15495	0.364
466305	0.364
65785	0.364
6916	0.364
70652	0.364
12133	0.625
17131	0.333
13487	0.5
7170	0.5
553649	0.0
8816	0.0
15473	0.0
17099	0.0
17098	0.0
33933	0.0
15474	0.0
82755	0.0
82712	0.0
157094	0.0
103011	0.0
102798	0.0
82762	0.0
27793	0.0
82754	0.0
457138	0.0
102897	0.0
457139	0.0
102947	0.0
97173	0.0
102720	0.0
102801	0.0
102833	0.0
102721	0.0
102856	0.0
102933	0.0
103066	0.0
97172	0.0
106355	0.0
15486	1.0
12220	1.0
7882	1.0
63518	0.417
707	1.0
8067	0.0
6827	1.0
5807	0.556
8800	0.0
29153	0.0
70682	1.0
11439687	0.556
56774	0.0
82765	0.0
7511	0.9
7872	0.9
14846	0.9
2863	0.9
7600	0.9
12699	0.067
8058	0.0
3918	0.533
24326358	0.25
3008	0.222
13835706	0.667
66655	0.714
34868	0.0
37905	0.0
34869	0.0
37918	0.0
37915	0.0
34867	0.0
25605	0.0
26011	0.0
34870	0.0
34666	0.0
21924	0.0
29117	0.0
8241	0.429
69371	1.0
70806	0.0
1710	0.067
12635	0.818
8576	1.0
25472	0.3
2169	0.625
453675	0.5
40130	0.778
2297441	0.571
34095	1.0
8329	0.0
60858	0.0
6610	0.0
34874	0.0
36972	0.0
56788	0.0
533188	0.0
35579	0.0
16182	0.0
46262	0.0
35580	0.0
82818	0.0
56790	0.0
56795	0.0
33458	0.0
82777	0.0
35584	0.0
56785	0.0
56792	0.0
34189	0.0
2283071	0.286
4932499	0.286
6453	0.0
13249	0.933
4450907	0.529
7964	1.0
13619	1.0
13303	0.625
13302	0.625
5004	0.8
15853	1.0
12972	0.909
7871	0.909
36973	0.0
37744	0.0
46894	0.0
45444	0.0
56769	0.0
56780	0.0
34847	0.0
39406	0.0
35081	0.0
56781	0.0
56771	0.0
56232	1.0
27749	0.3
8030	0.071
8093	0.071
13856959	0.071
8577	1.0
71876	0.727
34667	0.0
34871	0.0
34873	0.0
56784	0.0
34872	0.0
14620	0.667
102741	0.0
97055	0.0
97198	0.0
102834	0.0
102722	0.0
154865	0.0
96948	0.0
102743	0.0
102857	0.0
154866	0.0
106356	0.0
102787	0.0
97240	0.0
102742	0.0
68328	0.5
4268	0.25
4599	0.25
33416	1.0
13492	0.538
13837303	0.333
34859	0.0
84346	0.0
56760	0.0
56755	0.0
33666	0.0
6838	0.0
6270	1.0
7892	1.0
66887	0.462
89076	0.071
5026	0.0
36975	0.0
56778	0.0
56787	0.0
35583	0.0
82807	0.0
56794	0.0
33386	0.0
33457	0.0
47912	0.0
82817	0.0
46893	0.0
33280	0.0
35582	0.0
33304	0.0
46263	0.0
67594	0.077
3513	0.143
220998	1.0
17339596	1.0
8060	0.071
