Compound Id	ALOGP [AMR]
7199	49.649
26516	23.110
27296	17.706
72556	16.520
19709	19.379
391428	44.991
14198	43.317
6402	44.539
14680	33.861
6478	9.731
8262	4.008
8273	4.008
7888	40.96
6735	8.599
6588	3.89
7420	18.105
10343	15.847
19766	25.027
13047	25.027
11294	8.180
75951	36.937
72793	39.049
7076	37.155
10422	37.763
11863	33.768
13846749	18.847
21108577	19.304
7406	19.084
21106008	20.926
65701	24.717
21105897	18.847
11596	18.829
21106900	20.651
9965	19.199
10410	19.022
7419	16.587
8356	17.346
6999	22.008
7088	19.127
7448	20.701
7183	19.770
7155	14.999
11871	42.632
13835351	20.385
6773	20.385
6852	7.316
2157	18.935
6604	11.231
17880	33.086
99681	57.070
67460	18.525
18920	32.318
11841	39.579
8569	34.487
455420	32.485
7533	38.023
7434	35.064
932	30.645
123993	35.196
62230	35.750
9893	18.706
10586285	13.876
6688	14.235
109705	19.304
7151	23.653
9724	42.305
10265270	35.059
10179239	35.059
6586	7.219
13872122	21.088
11862	38.269
440	38.404
7694	36.085
11716	36.085
29005	35.465
8568	33.973
7538	34.083
370	32.225
7073	40.358
26325090	33.326
6898	20.666
556589	23.853
13854242	20.504
7310	18.783
11595	21.511
6593	3.3
2441	43.763
56117	35.111
68676	23.220
6635	50.696
62265	18.329
20939	46.015
6828	0.0
6577	8.657
13104	44.569
21106570	28.078
18177	20.085
15755	11.231
67470	11.231
15756	11.231
15524	11.231
14995	11.231
14994	11.231
15475	11.231
15478	11.231
15476	11.231
15477	11.231
62484	25.935
29025	35.056
7851	32.303
7856	36.168
454638	65.353
1406720	63.146
21105998	22.335
61411	24.573
69177	24.573
10244	24.573
15855	46.593
24535	24.866
14678	19.152
13846663	21.691
69340	17.965
63863	30.531
63968	1.945
70660	40.075
62628	32.023
123860	39.708
4611	19.546
13885245	20.831
6745	19.651
13876103	24.782
7279	21.336
6592	4.601
3756	43.872
13850082	58.905
1266019	60.449
7850	33.696
541032	30.927
58234	44.282
218253	5.616
8912	44.174
2424	34.872
66656	30.517
71437	48.503
10831	11.004
10829	11.004
10851	11.004
10813	11.004
13677	10.351
10849	11.004
10850	11.004
10909	11.004
10918	11.004
10841	11.004
10908	11.004
642951	21.494
917	22.528
9824	5.346
1278	0.0
10437836	28.680
2206	43.147
7849	32.179
17558	36.265
13439	42.855
13402	44.023
76154	22.535
2915	7.794
6794	22.879
21106519	20.809
65750	19.499
12637	35.580
20198	49.125
7302	1.619
10903	2.565
13839012	2.565
6855	10.770
7315	7.643
13846658	2.565
26325182	32.896
10025	35.183
967	30.643
28993	48.494
15846	34.116
29029	34.211
7670	42.98
9976	37.888
12632	35.776
6287	40.980
23886	11.231
33421	11.231
67465	23.870
15753	23.870
79280	20.618
28973	20.618
7852	36.772
72551	39.848
24641	41.960
18410	36.615
8910	29.116
4366810	40.675
7848	36.680
14256731	55.131
6907	22.379
8860	0.0
62310	22.379
70988	23.378
86435	23.950
6840	6.220
10801842	47.905
11974	34.396
15461	23.975
10404	19.499
89258	20.501
192748	19.768
6835	4.222
11003	3.3
10756	47.919
2656	44.033
13837329	23.977
502855	23.704
34863	16.847
6753	6.965
14692	40.844
12456	35.998
10438331	12.607
8574	33.557
18336	24.246
59482	21.617
8935	24.256
60886	6.98
66675	34.677
15488	5.616
15489	5.616
558878	50.239
553578	50.239
55084	38.997
7509	38.377
7800	36.994
12954	41.525
13229	46.617
158870	16.847
157093	16.847
83374	16.847
457144	16.847
135925	16.847
457145	16.847
84188	16.847
136000	16.847
135983	16.847
136001	16.847
136002	16.847
136003	16.847
84235	16.847
457140	16.847
12674	20.441
64155	26.280
970	0.0
4590	24.476
8111	0.0
12013	46.783
12044	5.502
12045	5.502
12047	5.502
7299	4.601
21106140	29.533
25677	22.462
67991	37.606
15803	44.924
502245	24.854
10227261	59.528
44152	47.698
12809	37.967
15387	35.214
8470	26.952
5027	32.573
21106365	11.093
21106091	26.540
16804	30.075
55443	20.877
67653	38.125
2185	0.0
2991	5.346
137720	23.889
11919	38.972
26010	11.231
30600	11.231
33455	11.231
33934	11.231
33932	11.231
6600	11.991
2121	31.340
13849989	51.297
13849981	49.754
7506	48.385
18685	34.935
3741	19.675
8374	22.726
247721	24.315
15409	25.697
79969	23.807
13871489	44.339
23150	36.296
6807	8.180
15620	16.506
15621	16.506
26260	16.506
68437	16.506
15619	16.506
15861	16.506
12682	16.506
42330	46.472
15413	40.154
34866	16.847
34665	16.847
34664	16.847
37904	16.847
34864	16.847
34188	16.847
34865	16.847
14840	35.090
13448	47.984
14866	29.274
20132	18.082
10400	7.551
13835294	10.692
67360	37.028
12218	38.688
55075	39.526
9873	13.140
14349	39.684
6842	15.587
6066	22.930
512621	37.492
13090	9.165
15702	27.771
11369	44.403
12219	39.591
56793	22.462
454495	22.462
40191	22.462
56791	22.462
35581	22.462
15495	25.290
466305	28.339
65785	25.273
6916	25.290
70652	26.861
12133	33.897
17131	21.947
13487	22.411
7170	28.536
553649	10.319
8816	0.0
15473	11.231
17099	11.231
17098	11.231
33933	11.231
15474	11.231
82755	22.462
82712	22.462
