Compound Id	Highest positive partial charge on the molecule
PCDE-148	0.347027
PCDE-150	0.252957
PCDE-151	0.289089
PCDE-152	0.295779
PCDE-155	0.19416
PCDE-158	0.332071
PCDE-159	0.364702
PCDE-160	0.346132
PCDE-161	0.383987
PCDE-162	0.343792
PCDE-164	0.366665
PCDE-165	0.379888
PCDE-168	0.36863
PCDE-169	0.341193
PCDE-171	0.272195
PCDE-172	0.315426
PCDE-173	0.287205
PCDE-175	0.331364
PCDE-176	0.248119
PCDE-178	0.324636
PCDE-179	0.284981
PCDE-182	0.326845
PCDE-183	0.27114
PCDE-184	0.2301
PCDE-185	0.286225
PCDE-186	0.272433
PCDE-188	0.290788
PCDE-191	0.363821
PCDE-192	0.378814
PCDE-193	0.359267
PCDE-196	0.320572
PCDE-197	0.224434
PCDE-198	0.323957
PCDE-200	0.260798
PCDE-201	0.283963
PCDE-202	0.276523
PCDE-204	0.267065
PCDE-205	0.358222
PCDE-207	0.25816
PCDE-208	0.275873
PCDF-001	0.261358
PCDF-002	0.236086
PCDF-003	0.257454
PCDF-004	0.232143
PCDF-005	0.235854
PCDF-006	0.287347
PCDF-007	0.221885
PCDF-008	0.26357
PCDF-009	0.254152
PCDF-010	0.267596
PCDF-011	0.25042
PCDF-012	0.23247
PCDF-013	0.238563
PCDF-014	0.205194
PCDF-015	0.26346
PCDF-017	0.22527
PCDF-018	0.259564
PCDF-019	0.250231
PCDF-020	0.179716
PCDF-021	0.263575
PCDF-022	0.228259
PCDF-023	0.238046
PCDF-024	0.253384
PCDF-025	0.241995
PCDF-026	0.256271
PCDF-027	0.238337
PCDF-028	0.289675
PCDF-029	0.280393
PCDF-030	0.293685
PCDF-031	0.276693
PCDF-032	0.212341
PCDF-033	0.249517
PCDF-034	0.216332
PCDF-035	0.252597
PCDF-036	0.2568
PCDF-037	0.270197
PCDF-038	0.260614
PCDF-039	0.231678
PCDF-040	0.234623
PCDF-041	0.256485
PCDF-042	0.238327
PCDF-043	0.190508
PCDF-044	0.266023
PCDF-045	0.211431
PCDF-046	0.213407
PCDF-047	0.20949
PCDF-048	0.252812
PCDF-049	0.221421
PCDF-050	0.265928
PCDF-051	0.256016
PCDF-052	0.269866
PCDF-053	0.252557
PCDF-054	0.19123
PCDF-055	0.255947
PCDF-056	0.200659
PCDF-057	0.258833
PCDF-058	0.230683
PCDF-059	0.244625
PCDF-060	0.226717
PCDF-061	0.23445
PCDF-062	0.282626
PCDF-063	0.230357
PCDF-064	0.24059
PCDF-065	0.242799
PCDF-066	0.24474
PCDF-067	0.245714
PCDF-068	0.283122
PCDF-069	0.296382
PCDF-070	0.279008
PCDF-071	0.28693
PCDF-072	0.269696
PCDF-073	0.204797
PCDF-074	0.218983
PCDF-075	0.20025
PCDF-076	0.224033
PCDF-077	0.26342
PCDF-078	0.184534
PCDF-079	0.259273
PCDF-080	0.204052
PCDF-081	0.227317
PCDF-082	0.240976
PCDF-084	0.215961
PCDF-085	0.191252
PCDF-086	0.202002
PCDF-087	0.216441
PCDF-088	0.249196
PCDF-089	0.220484
PCDF-090	0.251967
PCDF-091	0.258798
PCDF-092	0.272634
PCDF-093	0.254886
PCDF-094	0.262552
PCDF-095	0.275781
PCDF-096	0.258434
PCDF-097	0.205182
PCDF-098	0.193544
PCDF-099	0.206533
PCDF-100	0.230373
PCDF-101	0.28533
PCDF-102	0.232929
PCDF-103	0.237317
PCDF-104	0.232598
PCDF-105	0.233269
PCDF-106	0.247411
PCDF-107	0.228827
PCDF-108	0.237177
PCDF-109	0.272332
PCDF-110	0.289813
PCDF-111	0.211489
PCDF-112	0.208524
PCDF-113	0.192141
PCDF-115	0.208492
PCDF-116	0.223221
PCDF-117	0.204277
PCDF-119	0.278644
PCDF-120	0.225563
PCDF-121	0.265538
PCDF-122	0.247637
PCDF-123	0.261209
PCDF-124	0.251083
PCDF-125	0.192764
PCDF-126	0.235251
PCDF-127	0.192576
PCDF-128	0.240108
PCDF-129	0.221402
PCDF-130	0.183101
PCDF-132	0.227857
PCDF-133	0.210676
PCDF-134	0.254025
PCN-00	0.149863
PCN-04	0.19283
PCN-06	0.171668
PCN-07	0.179099
PCN-08	0.186742
PCN-09	0.174895
PCN-10	0.175923
PCN-11	0.175749
PCN-12	0.179544
PCN-14	0.193544
PCN-15	0.176363
PCN-16	0.179123
PCN-17	0.189485
PCN-18	0.175487
PCN-19	0.193137
PCN-20	0.195286
PCN-21	0.193732
PCN-22	0.196473
PCN-23	0.178647
PCN-24	0.190512
PCN-25	0.18769
PCN-26	0.180414
PCN-29	0.185229
PCN-30	0.189216
PCN-31	0.184592
PCN-32	0.197315
PCN-33	0.194379
PCN-35	0.193887
PCN-36	0.176888
PCN-37	0.195193
PCN-38	0.179096
PCN-39	0.190344
PCN-40	0.196786
PCN-41	0.174695
PCN-42	0.193925
PCN-43	0.196761
PCN-44	0.195665
PCN-45	0.198626
PCN-46	0.179127
PCN-47	0.19129
PCN-48	0.180321
PCN-49	0.177828
PCN-51	0.195173
PCN-54	0.189976
PCN-55	0.198565
PCN-56	0.184475
PCN-57	0.197568
PCN-58	0.199347
PCN-59	0.197739
PCN-60	0.196185
PCN-61	0.196989
PCN-62	0.195845
PCN-63	0.178835
PCN-64	0.198502
PCN-65	0.181075
PCN-68	0.199244
PCN-70	0.187935
PCN-72	0.199509
PCN-74	0.199376
PCN-75	0.015428
