Compound Id	Molecular volume
PCDF-075	284.3
PCDF-076	286.74
PCDF-077	286.07
PCDF-078	286.24
PCDF-079	286.82
PCDF-080	287.32
PCDF-081	287.21
PCDF-082	289.26
PCDF-084	288.17
PCDF-085	290.18
PCDF-086	287.39
PCDF-087	305.37
PCDF-088	305.94
PCDF-089	306.4
PCDF-090	301.66
PCDF-091	306.59
PCDF-092	308.48
PCDF-093	303.78
PCDF-094	307
PCDF-095	304.31
PCDF-096	302.58
PCDF-097	307.48
PCDF-098	309.44
PCDF-099	305.02
PCDF-100	307.59
PCDF-101	305.15
PCDF-102	303.31
PCDF-103	307.2
PCDF-104	304.51
PCDF-105	307.65
PCDF-106	309.53
PCDF-107	305.62
PCDF-108	307.99
PCDF-109	305.71
PCDF-110	308.41
PCDF-111	307.87
PCDF-112	308.1
PCDF-113	310.13
PCDF-115	327.35
PCDF-116	329.26
PCDF-117	325.17
PCDF-119	325.09
PCDF-120	323.3
PCDF-121	328.09
PCDF-122	325.68
PCDF-123	325.24
PCDF-124	324.17
PCDF-125	329.24
PCDF-126	327.07
PCDF-127	326.54
PCDF-128	329.1
PCDF-129	327.54
PCDF-130	329.88
PCDF-132	347.19
PCDF-133	346.68
PCDF-134	344.89
PCN-00	165.99
PCN-04	209.55
PCN-06	207.68
PCN-07	209.74
PCN-08	209.82
PCN-09	206.11
PCN-10	209.26
PCN-11	211.4
PCN-12	211.32
PCN-14	228.51
PCN-15	229.05
PCN-16	230.97
PCN-17	231.04
PCN-18	226.77
PCN-19	230.63
PCN-20	232.49
PCN-21	232.65
PCN-22	228.96
PCN-23	226.99
PCN-24	230.8
PCN-25	230.57
PCN-26	232.16
PCN-29	251.65
PCN-30	251.84
PCN-31	247.92
PCN-32	248.2
PCN-33	251.84
PCN-35	247.61
PCN-36	250.32
PCN-37	251.99
PCN-38	247.81
PCN-39	251.74
PCN-40	249.61
PCN-41	247.63
PCN-42	253.65
PCN-43	249.91
PCN-44	253.34
PCN-45	251.68
PCN-46	245.69
PCN-47	251.65
PCN-48	253.01
PCN-49	267.27
PCN-51	271.2
PCN-54	272.54
PCN-55	270.67
PCN-56	268.65
PCN-57	269.01
PCN-58	271
PCN-59	266.64
PCN-60	272.71
PCN-61	270.64
PCN-62	268.53
PCN-63	288.18
PCN-64	290.05
PCN-65	285.59
PCN-68	290.13
PCN-70	289.76
PCN-72	287.32
PCN-74	306.37
PCN-75	325.38
