Compound Id	Polarizability derived from the heat of formation
PBDF-068	35.937621
PBDF-069	35.881467
PBDF-070	35.526302
PBDF-071	36.154503
PBDF-072	35.993759
PBDF-073	35.389731
PBDF-074	35.369337
PBDF-075	35.045237
PBDF-076	35.657901
PBDF-077	35.406537
PBDF-078	35.598713
PBDF-079	36.241493
PBDF-080	35.994951
PBDF-081	36.183477
PBDF-082	36.14857
PBDF-083	36.444551
PBDF-084	35.82492
PBDF-085	35.82639
PBDF-086	35.78432
PBDF-087	38.978853
PBDF-088	39.618611
PBDF-089	39.309501
PBDF-090	38.807476
PBDF-091	39.457011
PBDF-092	39.363628
PBDF-093	38.946538
PBDF-094	39.636441
PBDF-095	39.440305
PBDF-096	38.94833
PBDF-097	39.142136
PBDF-098	39.072264
PBDF-099	38.689736
PBDF-100	39.385859
PBDF-101	39.198395
PBDF-102	38.763844
PBDF-103	39.115938
PBDF-104	39.014546
PBDF-105	39.321961
PBDF-106	39.277697
PBDF-107	38.88085
PBDF-108	39.638719
PBDF-109	39.43901
PBDF-110	39.557584
PBDF-111	38.980553
PBDF-112	39.509774
PBDF-113	39.510574
PBDF-114	39.878839
PBDF-115	42.89196
PBDF-116	42.823794
PBDF-117	42.37159
PBDF-118	43.198815
PBDF-119	42.952739
PBDF-120	42.497436
PBDF-121	43.076435
PBDF-122	42.922642
PBDF-123	42.65287
PBDF-124	42.906629
PBDF-125	42.744917
PBDF-126	42.600632
PBDF-127	42.364236
PBDF-128	42.972063
PBDF-129	42.809531
PBDF-130	43.23902
PBDF-131	46.566067
PBDF-132	46.36061
PBDF-133	46.106303
PBDF-134	46.454262
PBDF-135	49.918584
PBN-01	20.555027
PBN-02	20.914861
PBN-03	24.107987
PBN-04	24.327231
PBN-05	24.09463
PBN-06	24.002334
PBN-07	24.299553
PBN-08	24.21849
PBN-09	23.922635
PBN-10	24.400045
PBN-11	24.716133
PBN-12	24.679108
PBN-13	27.685627
PBN-14	27.679335
PBN-15	27.604542
PBN-16	27.997837
PBN-17	27.872571
PBN-18	27.458252
PBN-19	27.721694
PBN-20	28.165523
PBN-21	28.118072
PBN-22	27.762595
PBN-23	27.554124
PBN-24	27.810825
PBN-25	27.781582
PBN-26	28.300724
PBN-27	31.120023
PBN-28	31.133243
PBN-29	31.644425
PBN-30	31.568366
PBN-31	31.1163
PBN-32	31.179159
PBN-33	31.527502
PBN-34	31.497978
PBN-35	31.118672
PBN-36	31.311888
PBN-37	31.414077
PBN-38	31.119625
PBN-39	31.527816
PBN-40	31.405128
PBN-41	31.091733
PBN-42	31.572767
PBN-43	31.322625
PBN-44	31.754252
PBN-45	31.666046
PBN-46	31.189628
PBN-47	31.331577
PBN-48	32.0054
PBN-49	34.6405
PBN-50	35.044354
PBN-51	34.933945
PBN-52	35.067929
PBN-53	34.749762
PBN-54	35.318814
PBN-55	35.12361
PBN-56	34.858792
PBN-57	34.917977
PBN-58	35.045995
PBN-59	34.844994
PBN-60	35.126791
PBN-61	35.028356
PBN-62	34.833657
PBN-63	38.421839
PBN-64	38.615829
PBN-65	38.14572
PBN-66	38.756859
PBN-67	38.67025
PBN-68	38.59215
PBN-69	38.541702
PBN-70	38.727845
PBN-71	38.611098
PBN-72	38.394413
PBN-73	42.214939
PBN-74	42.208603
PBN-75	45.621596
PCB-000	20.616498
PCB-038	27.519165
PCB-049	29.448718
PCB-050	29.173416
PCB-057	29.515913
PCB-058	29.369187
