Compound Id	Total energy
PBDE-137	-3181.99772
PBDE-138	-3182.01814
PBDE-139	-3181.99341
PBDE-140	-3182.00694
PBDE-141	-3182.00021
PBDE-142	-3181.79715
PBDE-143	-3181.92184
PBDE-144	-3181.9954
PBDE-145	-3181.91158
PBDE-146	-3182.08956
PBDE-147	-3182.00265
PBDE-148	-3182.07871
PBDE-149	-3182.01787
PBDE-150	-3182.00167
PBDE-151	-3182.0047
PBDE-152	-3181.92013
PBDE-153	-3182.08837
PBDE-154	-3182.07807
PBDE-155	-3182.06252
PBDE-156	-3181.95098
PBDE-157	-3181.97534
PBDE-158	-3181.94487
PBDE-159	-3182.01683
PBDE-160	-3181.81247
PBDE-161	-3182.0104
PBDE-162	-3182.0451
PBDE-163	-3181.95492
PBDE-164	-3181.97345
PBDE-165	-3182.02064
PBDE-166	-3181.813
PBDE-167	-3182.04282
PBDE-168	-3182.03207
PBDE-169	-3182.01284
PBDE-170	-3396.30046
PBDE-171	-3396.29918
PBDE-172	-3396.37167
PBDE-173	-3396.19774
PBDE-174	-3396.30216
PBDE-175	-3396.37048
PBDE-176	-3396.29539
PBDE-177	-3396.3074
PBDE-178	-3396.37879
PBDE-179	-3396.30314
PBDE-180	-3396.37165
PBDE-181	-3396.26741
PBDE-182	-3396.36261
PBDE-183	-3396.37
PBDE-184	-3396.35625
PBDE-185	-3396.2697
PBDE-186	-3396.18728
PBDE-187	-3396.37912
PBDE-188	-3396.36472
PBDE-189	-3396.31912
PBDE-190	-3396.21198
PBDE-191	-3396.31508
PBDE-192	-3396.27743
PBDE-193	-3396.32526
PBDE-194	-3610.65152
PBDE-195	-3610.56979
PBDE-196	-3610.65156
PBDE-197	-3610.64755
PBDE-198	-3610.64092
PBDE-199	-3610.66059
PBDE-200	-3610.5672
PBDE-201	-3610.65649
PBDE-202	-3610.66407
PBDE-203	-3610.64148
PBDE-204	-3610.62856
PBDE-205	-3610.58004
PBDE-206	-3824.92091
PBDE-207	-3824.91691
PBDE-208	-3824.92606
PBDE-209	-4039.18642
PBDF-001	-2082.65027
PBDF-002	-2082.65937
PBDF-003	-2082.6548
PBDF-004	-2082.57252
PBDF-005	-2297.05252
PBDF-006	-2297.12011
PBDF-007	-2297.05011
