Compound Id	Total energy of the corresponding cation
PBDE-064	-2744.281
PBDE-065	-2744.0677
PBDE-067	-2744.09163
PBDE-068	-2744.12918
PBDE-070	-2744.25416
PBDE-071	-2744.29497
PBDE-072	-2744.1082
PBDE-073	-2744.14927
PBDE-074	-2744.21285
PBDE-076	-2744.2062
PBDE-078	-2744.09868
PBDE-079	-2744.11784
PBDE-080	-2744.09136
PBDE-081	-2744.10357
PBDE-083	-2958.4019
PBDE-084	-2958.40953
PBDE-085	-2958.49865
PBDE-086	-2958.40331
PBDE-087	-2958.45652
PBDE-088	-2958.43432
PBDE-089	-2958.48105
PBDE-090	-2958.52314
PBDE-091	-2958.54233
PBDE-092	-2958.44327
PBDE-093	-2958.40376
PBDE-094	-2958.44485
PBDE-095	-2958.4535
PBDE-096	-2958.44263
PBDE-097	-2958.48457
PBDE-098	-2958.49315
PBDE-100	-2958.58598
PBDE-101	-2958.51103
PBDE-102	-2958.53695
PBDE-103	-2958.52516
PBDE-104	-2958.53397
PBDE-105	-2958.47092
PBDE-106	-2958.30946
PBDE-107	-2958.55708
PBDE-108	-2958.35347
PBDE-109	-2958.36273
PBDE-110	-2958.58172
PBDE-111	-2958.4048
PBDE-112	-2958.38543
PBDE-113	-2958.42699
PBDE-114	-2958.43791
PBDE-116	-2958.25141
PBDE-117	-2958.54791
PBDE-118	-2958.50346
PBDE-119	-2958.58665
PBDE-120	-2958.39339
PBDE-121	-2958.44183
PBDE-122	-2958.5049
PBDE-123	-2958.50257
PBDE-124	-2958.5187
PBDE-125	-2958.55964
PBDE-126	-2958.39924
PBDE-127	-2958.41256
PBDE-128	-3172.72619
PBDE-129	-3172.69246
PBDE-130	-3172.74548
PBDE-131	-3172.71737
PBDE-132	-3172.75327
PBDE-133	-3172.71445
PBDE-134	-3172.67556
PBDE-135	-3172.71052
PBDE-136	-3172.71126
PBDE-137	-3172.76102
PBDE-138	-3172.77397
PBDE-139	-3172.81006
PBDE-140	-3172.81229
PBDE-141	-3172.72024
PBDE-142	-3172.64394
PBDE-143	-3172.7449
PBDE-144	-3172.74885
PBDE-145	-3172.75932
PBDE-146	-3172.80671
PBDE-147	-3172.8133
PBDE-148	-3172.80767
PBDE-149	-3172.82469
PBDE-150	-3172.81638
PBDE-151	-3172.71636
PBDE-152	-3172.70821
PBDE-153	-3172.81804
PBDE-154	-3172.86209
PBDE-155	-3172.88124
PBDE-156	-3172.72998
PBDE-157	-3172.7341
PBDE-158	-3172.80604
PBDE-159	-3172.61189
PBDE-160	-3172.56875
PBDE-161	-3172.65637
PBDE-162	-3172.82523
PBDE-163	-3172.84882
PBDE-164	-3172.8488
PBDE-165	-3172.67044
PBDE-166	-3172.71925
PBDE-167	-3172.76481
PBDE-168	-3172.85012
PBDE-169	-3172.66371
PBDE-170	-3386.98936
PBDE-171	-3387.03655
PBDE-172	-3387.01262
PBDE-173	-3386.92766
PBDE-174	-3387.01668
PBDE-175	-3387.03302
PBDE-176	-3387.03309
PBDE-177	-3387.0373
PBDE-178	-3386.98459
PBDE-179	-3386.97943
PBDE-180	-3387.03727
PBDE-181	-3387.02421
PBDE-182	-3387.07442
PBDE-183	-3387.08697
PBDE-184	-3387.10624
PBDE-185	-3386.96041
PBDE-186	-3386.97022
PBDE-187	-3387.09553
PBDE-188	-3387.08741
PBDE-189	-3386.9938
PBDE-190	-3387.01726
PBDE-191	-3387.06902
PBDE-192	-3386.86301
PBDE-193	-3387.1115
PBDE-194	-3601.25323
PBDE-195	-3601.25063
PBDE-196	-3601.29885
PBDE-197	-3601.33265
PBDE-198	-3601.24409
PBDE-199	-3601.30257
PBDE-200	-3601.24527
PBDE-201	-3601.31399
PBDE-202	-3601.25084
PBDE-203	-3601.30301
PBDE-204	-3601.32026
PBDE-205	-3601.28068
PBDE-206	-3815.5144
PBDE-207	-3815.54753
PBDE-208	-3815.5268
PBDE-209	-4029.76132
PBDF-001	-2073.82888
PBDF-002	-2073.78017
PBDF-003	-2073.83459
PBDF-004	-2073.68464
PBDF-005	-2288.06314
PBDF-006	-2288.19493
PBDF-007	-2288.0874
PBDF-008	-2288.04208
PBDF-009	-2288.21376
PBDF-010	-2288.16152
PBDF-011	-2287.99545
PBDF-012	-2288.10798
PBDF-013	-2288.06354
PBDF-014	-2288.07132
PBDF-015	-2288.12967
PBDF-016	-2288.06566
