Compound Id	Solvent accessible surface
PCDF-074	266.12
PCDF-075	259.11
PCDF-076	263.88
PCDF-077	261.51
PCDF-078	264.54
PCDF-079	265.47
PCDF-080	265.89
PCDF-081	265.76
PCDF-082	268.75
PCDF-084	267.54
PCDF-085	270.52
PCDF-086	264.73
PCDF-087	276.13
PCDF-088	277.14
PCDF-089	277.54
PCDF-090	270.11
PCDF-091	277.57
PCDF-092	280.5
PCDF-093	272.96
PCDF-094	278.39
PCDF-095	274.11
PCDF-096	270.97
PCDF-097	279.29
PCDF-098	282.26
PCDF-099	274.83
PCDF-100	279.91
PCDF-101	275.76
PCDF-102	272.56
PCDF-103	277.72
PCDF-104	273.11
PCDF-105	279.46
PCDF-106	282.39
PCDF-107	275.52
PCDF-108	280.2
PCDF-109	276.43
PCDF-110	280.63
PCDF-111	279.4
PCDF-112	281.05
PCDF-113	284.08
PCDF-115	292.78
PCDF-116	295.68
PCDF-117	288.65
PCDF-119	289.38
PCDF-120	286.22
PCDF-121	293.82
PCDF-122	289.45
PCDF-123	288.75
PCDF-124	287.31
PCDF-125	295.77
PCDF-126	291.38
PCDF-127	290.75
PCDF-128	295.75
PCDF-129	292.04
PCDF-130	297.54
PCDF-132	305.19
PCDF-133	304.53
PCDF-134	302.59
PCN-00	167.06
PCN-04	202.17
PCN-06	199.29
PCN-07	202.44
PCN-08	202.35
PCN-09	196.18
PCN-10	201.79
PCN-11	205.22
PCN-12	205.09
PCN-14	215.11
PCN-15	215.54
PCN-16	218.58
PCN-17	218.52
PCN-18	211.81
PCN-19	218.49
PCN-20	221.58
PCN-21	221.56
PCN-22	215.41
PCN-23	212.26
PCN-24	218.66
PCN-25	218.19
PCN-26	221.06
PCN-29	234.37
PCN-30	234.4
PCN-31	228.01
PCN-32	228.43
PCN-33	234.69
PCN-35	227.85
PCN-36	231.72
PCN-37	234.68
PCN-38	227.99
PCN-39	234.3
PCN-40	231.03
PCN-41	227.53
PCN-42	237.79
PCN-43	231.49
PCN-44	237.32
PCN-45	234.54
PCN-46	224.81
PCN-47	234.46
PCN-48	236.93
PCN-49	241.13
PCN-51	247.66
PCN-54	250.18
PCN-55	247.17
PCN-56	243.65
PCN-57	244.19
PCN-58	247.43
PCN-59	240.64
PCN-60	250.52
PCN-61	247.17
PCN-62	243.58
PCN-63	256.95
PCN-64	260.15
PCN-65	253.23
PCN-68	260.31
PCN-70	259.8
PCN-72	256.16
PCN-74	268.91
PCN-75	281.45
