Compound Id	Total energy in a solution represented by the Conductor-like Screening Model (COMSO)
PBN-57	-2404.586
PBN-58	-2404.65047
PBN-59	-2404.32479
PBN-60	-2404.8641
PBN-61	-2404.63387
PBN-62	-2404.56759
PBN-63	-2618.84809
PBN-64	-2618.91328
PBN-65	-2618.68776
PBN-66	-2619.15321
PBN-67	-2619.16459
PBN-68	-2618.94079
PBN-69	-2618.92075
PBN-70	-2618.96358
PBN-71	-2618.65654
PBN-72	-2618.76616
PBN-73	-2833.19081
PBN-74	-2832.8901
PBN-75	-3047.2916
PCB-000	-1604.51574
PCB-038	-2327.46882
PCB-049	-2568.79074
PCB-050	-2568.69674
PCB-057	-2568.65826
PCB-058	-2568.6907
PCB-059	-2568.62824
PCB-062	-2568.38508
PCB-068	-2568.82251
PCB-073	-2568.78651
PCB-089	-2809.50906
PCB-094	-2809.6278
PCB-096	-2809.5914
PCB-100	-2809.75436
PCB-104	-2809.7116
PCB-109	-2809.48759
PCB-111	-2809.70142
PCB-140	-3050.51609
PCB-142	-3050.16166
PCB-147	-3050.49185
PCB-150	-3050.59651
PCB-152	-3050.44594
PCB-159	-3050.4433
PCB-160	-3050.21148
PCB-161	-3050.52916
PCB-162	-3050.46249
PCB-164	-3050.4337
PCB-165	-3050.52634
PCB-166	-3050.2213
PCB-173	-3291.07997
PCB-184	-3291.45066
PCB-194	-3532.02649
PCB-209	-4013.60349
PCDD-03	-2641.32305
PCDD-04	-2641.43793
PCDD-05	-2641.37483
PCDD-06	-2641.39914
PCDD-07	-2641.47152
PCDD-08	-2641.47251
PCDD-09	-2641.39322
PCDD-13	-2882.17579
PCDD-15	-2882.28187
PCDD-16	-2882.35527
PCDD-17	-2882.35543
PCDD-18	-2882.27698
PCDD-19	-2882.39608
PCDD-20	-2882.46813
PCDD-21	-2882.47012
PCDD-22	-2882.39047
PCDD-23	-2882.32685
PCDD-24	-2882.4054
PCDD-25	-2882.34169
PCDD-26	-2882.41514
PCDD-28	-3123.1299
PCDD-29	-3123.20291
PCDD-30	-3123.2041
PCDD-31	-3123.1253
PCDD-32	-3123.17818
PCDD-33	-3123.25715
PCDD-34	-3123.25674
PCDD-35	-3123.1787
PCDD-36	-3123.16075
PCDD-37	-3123.27372
PCDD-38	-3123.20619
PCDD-39	-3123.22145
PCDD-40	-3123.26999
PCDD-41	-3123.15673
PCDD-43	-3123.31916
PCDD-44	-3123.33445
PCDD-45	-3123.38169
PCDD-46	-3123.25041
PCDD-47	-3123.27044
PCDD-49	-3363.89538
PCDD-50	-3363.97344
PCDD-51	-3364.00508
PCDD-52	-3364.11805
PCDD-53	-3364.04991
PCDD-54	-3364.06615
PCDD-55	-3364.11374
PCDD-56	-3364.00208
PCDD-57	-3364.05378
PCDD-58	-3364.16518
PCDD-59	-3364.09758
PCDD-60	-3364.11842
PCDD-61	-3364.1665
PCDD-62	-3364.05355
PCDD-63	-3604.76802
PCDD-64	-3604.87991
PCDD-65	-3604.81166
PCDD-67	-3604.84666
PCDD-68	-3604.89443
PCDD-69	-3604.89479
PCDD-70	-3604.8434
PCDD-71	-3604.94244
PCDD-72	-3604.94135
PCDD-74	-3845.65381
PCDE-004	-2377.64412
PCDE-006	-2377.7467
PCDE-011	-2377.83992
PCDE-016	-2618.57951
PCDE-018	-2618.70924
PCDE-019	-2618.57799
PCDE-020	-2618.66714
PCDE-026	-2618.79395
PCDE-027	-2618.71427
PCDE-034	-2618.79412
PCDE-036	-2618.87989
PCDE-040	-2859.49298
PCDE-043	-2859.59935
PCDE-044	-2859.61224
PCDE-045	-2859.47432
PCDE-046	-2859.53181
PCDE-050	-2859.57145
PCDE-051	-2859.63405
PCDE-052	-2859.74192
PCDE-053	-2859.66008
PCDE-054	-2859.53756
PCDE-057	-2859.68101
PCDE-058	-2859.70023
PCDE-059	-2859.59641
PCDE-069	-2859.69977
PCDE-072	-2859.82384
PCDE-073	-2859.75779
PCDE-076	-2859.54256
PCDE-078	-2859.62052
PCDE-080	-2859.90337
PCDE-083	-3100.50829
PCDE-084	-3100.39569
PCDE-086	-3100.32585
PCDE-088	-3100.31633
PCDE-092	-3100.62669
PCDE-093	-3100.34062
PCDE-094	-3100.54783
PCDE-095	-3100.51579
PCDE-096	-3100.4286
PCDE-098	-3100.51586
PCDE-103	-3100.61515
PCDE-104	-3100.52774
PCDE-106	-3100.40514
PCDE-107	-3100.56896
PCDE-111	-3100.69843
PCDE-112	-3100.44986
PCDE-113	-3100.63196
PCDE-121	-3100.73999
PCDE-122	-3100.4422
PCDE-124	-3100.56501
PCDE-125	-3100.50002
PCDE-127	-3100.64252
PCDE-129	-3341.2338
PCDE-131	-3341.23507
PCDE-133	-3341.49349
PCDE-134	-3341.25452
PCDE-135	-3341.42386
PCDE-136	-3341.31725
PCDE-141	-3341.35174
PCDE-142	-3341.04745
PCDE-143	-3341.27164
PCDE-144	-3341.35513
PCDE-145	-3341.26851
PCDE-148	-3341.5286
PCDE-150	-3341.41523
PCDE-151	-3341.37426
PCDE-152	-3341.28868
PCDE-155	-3341.51508
PCDE-158	-3341.33211
PCDE-159	-3341.42101
PCDE-160	-3341.15543
PCDE-161	-3341.47072
PCDE-162	-3341.43727
PCDE-164	-3341.37545
PCDE-165	-3341.48195
PCDE-168	-3341.48117
PCDE-169	-3341.38109
PCDE-171	-3582.10409
PCDE-172	-3582.21532
PCDE-173	-3581.95935
PCDE-175	-3582.2309
PCDE-176	-3582.15509
PCDE-178	-3582.24622
PCDE-179	-3582.17117
PCDE-182	-3582.2514
PCDE-183	-3582.21433
PCDE-184	-3582.25354
PCDE-185	-3582.07882
PCDE-186	-3581.99344
PCDE-188	-3582.27182
PCDE-191	-3582.21077
PCDE-192	-3582.18629
PCDE-193	-3582.22134
PCDE-196	-3822.97942
PCDE-197	-3822.99115
PCDE-198	-3822.95006
PCDE-200	-3822.8753
PCDE-201	-3823.00585
PCDE-202	-3823.01916
PCDE-204	-3822.97636
PCDE-205	-3822.92499
PCDE-207	-4063.70922
PCDE-208	-4063.72189
PCDF-001	-2109.37781
PCDF-002	-2109.40002
PCDF-003	-2109.41213
PCDF-004	-2109.30115
PCDF-005	-2350.27501
PCDF-006	-2350.40629
PCDF-007	-2350.30748
PCDF-008	-2350.3363
PCDF-009	-2350.44551
PCDF-010	-2350.43781
PCDF-011	-2350.28284
PCDF-012	-2350.30097
PCDF-013	-2350.32382
PCDF-014	-2350.35817
PCDF-015	-2350.46937
PCDF-017	-2350.21793
PCDF-018	-2350.37167
PCDF-019	-2350.48094
PCDF-020	-2350.25904
PCDF-021	-2591.14948
PCDF-022	-2591.17165
PCDF-023	-2591.2248
PCDF-024	-2591.33677
PCDF-025	-2591.32609
PCDF-026	-2591.17563
PCDF-027	-2591.18525
PCDF-028	-2591.35661
PCDF-029	-2591.46648
PCDF-030	-2591.45912
PCDF-031	-2591.30331
PCDF-032	-2591.2557
PCDF-033	-2591.36668
PCDF-034	-2591.35763
PCDF-035	-2591.20541
PCDF-036	-2591.24523
PCDF-037	-2591.35342
PCDF-038	-2591.33074
PCDF-039	-2591.08391
PCDF-040	-2591.25237
PCDF-041	-2591.36407
PCDF-042	-2591.35132
PCDF-043	-2591.27199
PCDF-044	-2591.38522
PCDF-045	-2591.37031
PCDF-046	-2591.26892
PCDF-047	-2591.16903
PCDF-048	-2591.28007
PCDF-049	-2831.91127
PCDF-050	-2832.09346
PCDF-051	-2832.20545
PCDF-052	-2832.19572
PCDF-053	-2832.04321
PCDF-054	-2832.1123
PCDF-055	-2832.22576
PCDF-056	-2832.21376
PCDF-057	-2832.0654
PCDF-058	-2832.13005
PCDF-059	-2832.23422
PCDF-060	-2832.09223
PCDF-061	-2832.21504
PCDF-062	-2832.19044
PCDF-063	-2832.06219
PCDF-064	-2832.1276
PCDF-065	-2832.23938
PCDF-066	-2832.23058
PCDF-067	-2832.07743
PCDF-068	-2832.26004
PCDF-069	-2832.36739
PCDF-070	-2832.22009
PCDF-071	-2832.34659
PCDF-072	-2832.31686
PCDF-073	-2832.15848
PCDF-074	-2832.26385
PCDF-075	-2832.11882
PCDF-076	-2832.24468
PCDF-077	-2832.10749
PCDF-078	-2832.02713
PCDF-079	-2832.14077
PCDF-080	-2832.12656
PCDF-081	-2832.15864
PCDF-082	-2832.26126
PCDF-084	-2832.1768
PCDF-085	-2832.2767
PCDF-086	-2832.07462
PCDF-087	-3072.84748
PCDF-088	-3072.96138
PCDF-089	-3072.95031
PCDF-090	-3072.79997
PCDF-091	-3072.99396
PCDF-092	-3073.09834
PCDF-093	-3072.95413
PCDF-094	-3073.08045
PCDF-095	-3073.05316
PCDF-096	-3072.92603
PCDF-097	-3073.01149
PCDF-098	-3073.11351
PCDF-099	-3072.97184
PCDF-100	-3073.09774
PCDF-101	-3073.07369
PCDF-102	-3072.94502
PCDF-103	-3072.98566
PCDF-104	-3072.96057
PCDF-105	-3073.02638
PCDF-106	-3073.13141
PCDF-107	-3072.98528
PCDF-108	-3073.11366
PCDF-109	-3073.08541
PCDF-110	-3073.11759
PCDF-111	-3073.01361
PCDF-112	-3072.92877
PCDF-113	-3073.02902
PCDF-115	-3313.74362
PCDF-116	-3313.84572
PCDF-117	-3313.70231
PCDF-119	-3313.80464
PCDF-120	-3313.67731
PCDF-121	-3313.84677
PCDF-122	-3313.81876
PCDF-123	-3313.80481
PCDF-124	-3313.78561
PCDF-125	-3313.86096
PCDF-126	-3313.83581
PCDF-127	-3313.81955
PCDF-128	-3313.87829
PCDF-129	-3313.84894
PCDF-130	-3313.77878
PCDF-132	-3554.56371
PCDF-133	-3554.54814
PCDF-134	-3554.53292
PCN-00	-1332.57523
PCN-04	-1814.7155
PCN-06	-1814.69936
PCN-07	-1814.74906
PCN-08	-1814.74576
PCN-09	-1814.53682
PCN-10	-1814.62159
PCN-11	-1814.78876
PCN-12	-1814.79167
PCN-14	-2055.57667
PCN-15	-2055.61704
PCN-16	-2055.66713
PCN-17	-2055.66761
PCN-18	-2055.45437
PCN-19	-2055.73786
PCN-20	-2055.7942
PCN-21	-2055.79025
PCN-22	-2055.5814
PCN-23	-2055.52953
PCN-24	-2055.75514
PCN-25	-2055.65905
PCN-26	-2055.7047
PCN-29	-2296.55647
PCN-30	-2296.55392
PCN-31	-2296.34122
PCN-32	-2296.40924
PCN-33	-2296.63358
PCN-35	-2296.40685
PCN-36	-2296.5235
PCN-37	-2296.6445
PCN-38	-2296.432
PCN-39	-2296.569
PCN-40	-2296.48496
PCN-41	-2296.36415
PCN-42	-2296.75993
PCN-43	-2296.55139
PCN-44	-2296.69201
PCN-45	-2296.61152
PCN-46	-2296.30255
PCN-47	-2296.64888
PCN-48	-2296.60792
PCN-49	-2537.14744
PCN-51	-2537.39666
PCN-54	-2537.44712
PCN-55	-2537.36155
PCN-56	-2537.24025
PCN-57	-2537.30201
PCN-58	-2537.42181
PCN-59	-2537.16945
PCN-60	-2537.51999
PCN-61	-2537.41676
PCN-62	-2537.30286
PCN-63	-2778.03511
PCN-64	-2778.15049
PCN-65	-2777.89882
PCN-68	-2778.16296
PCN-70	-2778.10702
PCN-72	-2778.03028
PCN-74	-3018.75223
PCN-75	-3259.4713
