Compound Id	ALOGP [ALogP]
7757	-1.668
7511	-1.092
7509	-0.804
29005	-0.516
10420	-0.228
7475	0.060
7463	0.348
11910	1.364
7872	-1.746
7875	-2.322
7913	-2.898
8568	-1.170
14846	-1.631
7800	-1.343
11843	-0.882
29012	-0.594
7538	-1.055
7536	-0.767
7706	-0.306
11680	-0.191
11706	-0.479
10653	0.097
7012	-0.134
11065	0.415
28981	-0.843
8525	0.271
7081	-0.810
6313	0.542
6335	0.021
441	-1.546
7838	-1.258
5949	-0.970
29029	-1.834
7772	-0.682
256	-0.394
512	-0.106
172	-0.183
15443	-0.690
66021	0.534
8674	-0.104
13863629	-0.347
13835351	-0.628
6773	-0.628
16736486	4.243
6621	-0.080
13860641	-0.443
21106525	-0.443
13854136	-0.108
13835151	-0.108
10991	-0.443
13860692	-0.108
1019	0.0
62517	-0.262
10903	-0.460
6177	1.316
7064	0.074
6341	0.494
259	-0.442
13249	-3.610
7701	-0.730
7888	-2.458
12013	-3.034
2863	-2.170
7866	-1.882
10033	-4.186
370	-1.594
12071	-4.762
10035	-5.050
4963	-1.095
6907	-0.776
553171	0.277
2041618	6.0
9411	1.360
7559	0.408
15965	-0.316
6897	0.262
6883	0.011
7211	1.320
21105897	-0.199
5439	0.269
7190	0.402
7469	-0.308
10001	0.368
11625	0.264
6586	-0.240
6675	1.180
472932	-0.428
7073	1.228
8554	-0.995
55130	-0.241
10433	0.580
11992	0.047
7671	0.748
10446	0.952
7657	0.869
22453	0.320
7065	0.996
11045	-0.518
7472	-0.317
11207996	-0.986
29016	0.215
7747	0.503
7627	-0.029
10571	0.746
11647	-1.572
66809	-0.052
13865424	0.450
7175	0.653
7157	0.653
21112023	0.226
11582	0.695
7172	1.320
16119	1.466
864	-0.358
79280	-1.127
28947	0.035
7042	-0.040
13837760	-0.921
76894	3.493
205483	-1.282
7737	-0.707
6322	0.347
7132	-0.254
8763	0.0
13848808	-0.449
10837	0.860
13869434	0.534
21159695	-0.924
6835	-0.750
21108576	-1.004
7533	-0.356
56559	-3.364
9053802	-2.212
29000	-0.164
7434	-1.261
6312	0.124
8398	-0.552
11898	-5.581
72522	-5.293
7928	-5.005
14348	-4.717
2581	-4.429
11891	-4.141
7917	-3.853
7915	-3.565
7901	-3.277
7892	-2.989
7882	-2.701
8574	-2.413
932	-2.125
7812	-1.549
7837	-1.837
6040	-1.261
258	-0.973
1004	-0.685
682	-0.108
13872989	0.259
8665	-0.512
6950	0.0
552744	0.561
70806	-0.192
11671339	4.461
10251740	-0.394
69914	4.461
13862665	0.638
21168813	0.388
175	-0.244
6630	0.534
13840647	0.534
13860491	0.534
13839012	-0.460
20545	-2.832
8012	-0.182
9564	-0.279
7044	1.165
11003	-0.420
10452	3.036
6314	0.962
4510484	0.406
66896	-2.770
10437074	0.744
21105878	-0.104
13839308	0.069
6753	-0.418
374462	-2.177
13869462	0.534
21106519	-1.212
13860775	-0.802
21106015	0.307
11809	0.019
12823	0.296
6649	-0.858
6035	-0.638
61739	-0.921
392447	0.121
7142	-0.7
66895	-1.618
66887	-1.330
9893	-0.466
63518	-1.042
59482	-0.754
10696	4.048
67414	2.993
7074	1.647
7670	0.952
10797	1.205
6176	1.302
7534	-0.246
10791	0.557
28986	-0.668
10788	-0.196
7621	0.354
10777	0.480
12972	-1.820
9976	-1.244
7514	-0.668
215929	-0.956
11025	-0.380
7016	-0.092
7871	-2.184
21153	-2.472
7802	-1.320
12218	-1.896
12632	-1.608
7760	-1.032
11095	-0.744
7607	-0.456
6321	-0.168
558020	0.236
7790	-0.446
6881	-0.178
12061	0.132
67460	-0.156
6790	-0.750
8319	-0.750
62964	3.312
62467	0.109
11193	0.981
11591	-0.432
10411	0.119
10181338	-0.292
59573	1.062
14998	2.353
13837190	-0.098
1020	0.0
8141	-0.770
8186	0.388
11600	0.093
10169	0.066
10343	1.502
447	-0.512
12643	-0.363
13846658	-0.460
11596	-0.041
28973	-1.127
27296	-0.839
11651	-0.262
466305	0.640
9218	-0.145
8183	0.420
7189	-0.714
4878	-0.921
13848793	-0.091
21108577	-0.041
123	-0.653
26824	7.633
7028	-0.718
7478	1.165
62489	-0.052
21429023	4.243
2275	-0.045
13835344	-0.306
11793	0.092
13871721	0.459
6164	1.108
65785	-0.907
6674	0.649
10616	0.420
526	0.468
11228	0.0
7003	1.782
21106520	0.642
13874733	0.642
6780	0.0
8098	0.0
70714	0.889
28969	-0.081
7241	0.035
6577	-0.114
9120	0.860
13853758	-0.177
11525	-0.040
4481813	-0.141
13876103	0.517
8058	-0.551
6593	-0.420
14672	0.982
13850082	2.848
63903	-0.174
17443	-0.052
62808	0.480
6855	-0.254
13638	-1.837
18717	0.809
15954	-0.307
7622	0.369
7310	0.269
63156	-0.062
12626	0.226
28994	-0.601
61765	-0.926
10772140	0.303
13860335	-0.449
10939	-0.255
3463	4.033
7679	-1.058
6296	1.949
5894	0.091
11586	0.671
1448	0.860
217	0.0
7459	-0.296
11024	-0.840
