Compound Id	KappaShapeIndices [Kier1]
7716	5.0
7564	4.0
6101	3.0
7466	7.0
11732	7.0
15803	9.091
7236	6.125
4437893	14.410
4489	6.125
12066	3.2
13835836	8.0
6720	9.091
11042	6.125
10940	6.125
10937	6.125
20570	7.111
19477	9.0
14169248	9.0
13648	7.111
15409	11.077
78	6.125
17868	8.592
4449	6.125
75951	10.0
72551	11.0
72793	10.0
11543	8.0
18	9.091
21105848	9.091
556589	10.083
880	8.1
7155	13.067
16359	11.077
8329	12.457
13842613	6.125
21132380	6.125
29001	7.0
11632	9.0
30516	10.0
26325090	10.0
21106145	10.083
10488	5.143
10292746	11.637
68832	8.0
23255	5.0
11699	9.0
11695	8.0
11739	8.0
11194	8.0
6165	6.0
10008	5.143
10790	7.0
62466	8.1
11595	10.083
6492	8.592
10451	18.05
2975965	13.959
8900	3.2
11230	5.0
99681	12.071
29015	4.167
8904	4.167
10018	4.167
12954	11.0
13867413	7.0
13054	9.091
24641	11.0
11056	7.0
11216	8.0
11210	8.0
11795	7.0
789	9.0
7131	7.111
13854242	10.083
1266019	14.0
558878	11.0
25890	12.0
68152	8.0
65936	6.125
11180	7.0
5830	7.111
6610	12.457
62485	8.1
10756	9.091
10181341	8.1
58234	7.639
5142	9.091
136966	7.111
64155	11.077
553578	11.0
18724	8.1
7688	5.143
220998	13.0
654	3.0
4366810	11.0
10422	10.0
558917	11.0
57726	6.509
6330	5.0
61707	6.0
10892	9.091
89258	14.063
18019	21.0
13860434	9.091
60886	14.410
13871718	8.1
1114	4.0
68224	18.05
68503	9.0
24533	6.125
8903	4.167
11265	9.0
120489	6.125
13869414	7.111
6301	11.0
19709	9.091
1664	5.143
2241	7.111
11107	8.0
10986	10.083
2441	7.639
137720	13.432
5593	5.76
4599	13.432
13836589	6.0
21106173	7.111
707	10.083
10384035	7.111
8855	6.694
5026296	7.639
10464	6.0
59483	10.083
17131	11.077
12161	9.0
26325086	7.111
7856	9.0
8562	7.0
7730	5.0
173	4.0
191058	10.083
9219586	15.523
65234	16.844
56117	9.0
21106366	8.1
25889	8.0
192748	14.063
13850142	9.091
390927	9.091
69340	9.091
81815	6.125
1577	4.167
71	9.091
6514	13.005
4445317	12.071
14556	9.091
20132	13.432
21782117	11.637
6774	9.091
11752	6.0
8960	2.0
6334	5.0
11460	8.1
10438331	10.516
10628694	6.694
6604	8.592
10756390	18.05
13803	8.0
63631	6.0
11788	5.143
455090	7.111
7223	6.125
11629	9.091
13856352	7.111
55443	10.083
453675	11.077
11465	9.091
120621	7.0
20119	7.0
55205	8.0
13816	6.0
26765	7.0
21181	8.0
10254	8.1
4962	7.111
592	6.0
7146	9.091
8521	21.0
29117	11.484
78467	9.091
28682	7.111
222538	8.1
7630	7.0
15427	8.1
11286	10.516
67465	10.083
10243171	9.091
11332993	9.091
392	6.125
206493	8.592
1361549	13.067
109838	7.0
28992	6.125
20843	6.125
13229	11.0
17784	9.0
12816	6.125
13104	11.484
5993	5.0
62589	5.143
7686	5.143
7624	7.0
7406	10.083
192642	7.0
70988	11.077
7018	6.0
3350	9.091
21361761	13.432
13849981	11.0
71089	5.143
10437135	7.111
65523	8.1
21106900	10.083
58563	8.1
86435	11.077
15413	11.0
10449	22.042
6842	9.242
7506	11.0
2656	7.639
13836520	6.125
9943	6.125
5978	5.0
17347	8.1
12445	8.0
3008	12.071
3277	14.410
9965	10.083
6270	13.0
13848341	10.0
26325182	12.457
105291	7.111
7791	4.167
71193	9.091
2925	15.39
70652	12.071
2424	10.516
21105859	8.1
502245	12.071
123860	10.0
73390	9.091
9088156	16.0
13848467	8.1
72556	9.091
122446	8.0
773	3.2
13835235	4.0
21106140	11.077
7480	6.125
108106	22.042
21106008	10.083
14299946	14.063
502855	12.071
7340	13.0
8158	7.0
13835376	8.0
127750	8.0
13839109	9.0
25552	8.1
13865630	12.0
256210	7.639
15702	14.063
589165	8.1
64699	9.0
5915	8.1
764	6.125
953	8.1
2157	11.077
3544	13.067
2038738	6.125
10710415	9.0
1348	4.167
13867714	8.592
59577	9.0
29107	6.0
15517	8.592
4103087	12.071
10996	11.077
