Compound Id	ChiPath [SP-3]
60886	7.849
13871718	2.691
1114	0.0
68224	6.828
68503	3.0
24533	2.302
8903	1.5
11265	2.184
120489	2.302
13869414	2.713
6301	2.592
19709	3.063
1664	1.894
2241	2.593
11107	1.385
10986	3.702
2441	5.230
137720	6.135
5593	3.216
4599	6.324
13836589	0.957
21106173	2.414
707	4.976
10384035	2.422
8855	3.466
5026296	5.230
10464	0.866
59483	2.871
17131	4.584
12161	3.0
26325086	2.452
7856	1.707
8562	1.207
7730	0.707
173	0.0
191058	3.641
9219586	8.310
65234	8.196
56117	1.854
21106366	2.529
25889	1.992
192748	5.151
13850142	3.241
390927	3.241
69340	2.941
81815	2.343
1577	1.644
71	3.582
6514	7.217
4445317	4.226
14556	3.199
20132	5.360
21782117	10.329
6774	3.686
11752	0.866
8960	0.0
6334	0.816
11460	3.099
10438331	5.195
10628694	3.477
6604	4.269
10756390	6.414
13803	2.561
63631	1.333
11788	1.894
455090	2.593
7223	2.302
11629	3.557
13856352	2.422
55443	3.191
453675	3.441
11465	3.199
120621	0.943
20119	1.135
55205	1.385
13816	1.394
26765	1.478
21181	1.747
10254	3.034
4962	2.813
592	1.333
7146	3.158
8521	3.932
29117	5.315
78467	2.940
28682	2.593
222538	3.099
7630	0.943
15427	2.691
11286	5.052
67465	3.081
10243171	2.940
11332993	2.850
392	2.305
206493	4.558
1361549	4.185
109838	1.207
28992	2.305
20843	2.540
13229	2.187
17784	2.210
12816	2.302
13104	4.982
5993	0.816
62589	1.894
7686	1.894
7624	0.943
7406	3.348
192642	1.782
70988	3.468
7018	1.394
3350	3.377
21361761	5.703
13849981	2.592
71089	1.894
10437135	2.422
65523	3.099
21106900	3.870
58563	3.003
86435	3.696
15413	2.561
10449	5.743
6842	5.344
7506	2.260
2656	4.180
13836520	1.624
9943	2.302
5978	0.0
17347	2.830
12445	1.021
3008	4.550
3277	6.327
9965	3.288
6270	3.121
13848341	2.546
26325182	6.080
105291	2.678
7791	1.5
71193	3.622
2925	6.196
70652	3.938
2424	5.877
21105859	3.121
502245	4.145
123860	1.957
73390	3.199
9088156	3.048
13848467	2.691
72556	2.941
122446	2.091
773	1.25
13835235	0.5
21106140	3.994
7480	2.144
108106	9.0
21106008	3.875
14299946	3.828
502855	4.145
7340	2.898
8158	1.732
13835376	1.457
127750	1.457
13839109	1.635
25552	3.115
13865630	2.715
256210	3.802
15702	4.851
589165	2.529
64699	2.2
5915	2.529
764	2.305
953	3.003
2157	3.598
3544	4.491
2038738	2.302
10710415	2.199
1348	1.644
13867714	3.966
59577	2.497
29107	1.333
15517	4.884
4103087	4.621
10996	3.888
194092	3.445
7092	2.830
13835224	0.816
1078	1.321
499714	2.190
11557190	4.786
970	5.394
24972	2.860
24535	3.063
8902	1.5
10437836	3.677
10437239	3.102
14627	3.933
25472	4.550
8470	3.979
3210	3.654
76154	4.145
13836591	0.957
455353	1.707
6658	3.224
26325085	3.664
124	2.940
13662	3.003
62265	4.546
13836399	1.457
16778	1.207
7705	1.135
11694	1.563
123207	2.305
67594	5.315
992	3.587
11930	2.103
13644	2.593
60329	0.957
7727	0.707
7728	0.707
7021	1.394
10948	1.394
1143	0.0
376	2.063
10801109	4.095
8030	5.158
8093	5.616
13658	3.430
21106586	2.693
21105699	3.966
13865426	1.655
71628	2.121
13837329	4.625
13837319	5.863
8241	5.363
11422351	3.819
1609	0.957
83866	2.540
67270	3.161
20198	5.453
361	4.087
7199	3.412
14916	6.310
10733068	8.121
16736498	9.302
6528	6.863
2297441	4.079
6033	3.241
13839553	0.707
10025	2.313
6524	5.735
8243	6.363
13860	2.593
1015	3.216
204209	5.542
61266	9.508
13874867	1.571
71430	2.805
13837303	4.825
