Compound Id	BCUT [BCUTp-1l]
13837787	3.5494
13839151	5.0657
13865680	5.0611
11604	4.83
12060	4.7317
14678	4.7415
11489	5.5205
2991	5.3852
21106365	7.2489
23101	4.8488
55123	3.0712
12012	3.0613
11125	3.0417
7782	3.0024
7734	2.9238
7577	2.7666
13630	6.1055
7278	4.1964
6781	3.7310
13839128	5.0657
7202	3.6634
235	3.7729
11584	4.4540
13571291	3.5158
6807	5.2761
13839174	5.2185
13839105	4.83
13846663	4.7855
8657	4.69
11589	4.1013
9579	3.9425
11755	3.0810
7761	3.0810
10492	3.0810
11784	5.8028
11785	5.8445
6311	3.82
21106524	3.9523
89076	4.7421
14227	4.5581
19476	3.1141
2185	6.5091
62484	4.5256
6838	6.5965
10257	3.7248
8799	7.2480
10498	3.6837
9349	3.9073
13839123	4.9872
11576	4.1602
8071	4.2868
21105795	3.8245
8374	4.6318
11761	6.6255
7956	3.6687
6794	5.6683
924	5.9027
12637	3.0746
6775	4.2721
5889	5.4009
21106091	4.8103
3951	3.8121
763	1.7985
5882	3.6453
7140	4.1209
238	4.0423
9994	4.2672
61001	3.5545
2003	8.4737
21168826	3.8737
20124	6.9129
8816	7.3897
8788	7.8146
11672	4.1340
29008	5.83
6550	4.6090
6688	3.7396
61538	5.1443
10246	4.9872
79969	4.1160
15093	3.9126
7176	4.3714
6840	6.8754
7616	3.6067
61111	3.7504
4446445	3.5490
4444608	3.4939
394562	3.4017
30595	4.5139
8899	6.3198
13876539	3.6348
62310	4.6513
7234	5.2801
16804	5.6159
21105998	5.3760
12244	5.2229
61411	5.3015
6333	3.4917
6706	4.2957
8060	4.81
8341	4.9170
10441	4.0047
11833	4.2464
6406	4.1265
13835126	4.4970
65701	4.6047
6023	5.2141
5678	7.1131
10248	5.3015
69177	5.4587
10244	5.5373
9911	5.1443
1005	3.4074
8552	3.6824
7803	3.7021
171	3.0930
122090	4.9485
8070	4.1995
13846749	4.5286
13859497	3.8664
10652594	2.2135
11841	5.5516
11749	4.3263
8569	5.0083
12220	5.0653
7823	4.8792
11849	4.6942
3168	4.5595
455420	4.3163
10709	4.1662
13837797	4.8919
71876	4.4360
18688	4.5077
62249	4.3505
55084	4.2326
7694	4.1540
7482	4.1147
11716	4.0165
7515	3.9575
7076	4.4016
7757	4.1908
7511	4.1835
7509	4.1737
29005	4.1540
10420	4.1147
7475	4.0361
7463	3.8789
11910	3.7889
7872	3.7193
7875	3.7211
7913	3.7216
8568	3.7119
14846	4.0312
7800	4.0263
11843	3.7021
29012	3.6824
7538	4.0165
7536	3.9968
7706	3.6432
11680	3.8789
11706	3.9575
10653	3.7217
7012	3.6317
11065	3.4745
28981	3.9068
8525	3.5646
7081	3.7889
6313	3.4481
6335	3.4074
441	3.4381
7838	3.4548
5949	3.4352
29029	3.4431
7772	3.3959
256	3.3173
512	3.1278
172	2.8040
15443	3.8312
66021	5.6361
8674	4.7197
13863629	3.4905
13835351	3.3107
6773	3.3975
16736486	7.2602
6621	4.26
13860641	5.5838
21106525	5.4816
13854136	5.7162
13835151	5.4858
10991	5.5084
13860692	5.5644
1019	4.5950
62517	4.7709
10903	4.9887
6177	4.0361
7064	3.9575
6341	3.7217
259	3.5646
13249	3.7217
7701	3.6432
7888	3.7205
12013	3.7214
2863	3.7193
7866	3.7168
10033	3.7217
370	3.7119
12071	3.7217
10035	3.7217
4963	4.4109
6907	4.6072
553171	4.0511
2041618	4.6689
9411	2.9112
7559	3.2140
15965	4.5925
6897	4.5139
6883	4.3567
7211	3.6302
21105897	4.5727
5439	3.4808
7190	4.0816
7469	3.8003
10001	3.7217
11625	4.2891
6586	4.3701
6675	4.7177
472932	3.7192
7073	4.3505
8554	5.3554
55130	4.1933
10433	4.0361
11992	4.0361
7671	3.8789
10446	3.8789
7657	4.1933
22453	4.3505
7065	4.1933
11045	3.9968
7472	3.8003
11207996	3.6802
29016	3.7217
7747	3.7217
7627	3.7217
10571	4.0361
11647	3.9001
66809	4.5664
13865424	3.8344
7175	4.3960
7157	4.4353
21112023	3.9671
11582	3.6834
7172	3.6679
16119	5.3801
