Compound Id	XLogP
13865426	0.710
13884973	0.487
10710415	0.94
8543	2.098
13835604	-1.594
6093	1.857
59447	-0.312
21106560	2.292
20843	0.998
15965	3.768
70682	4.986
13658	1.992
11862	3.848
7710	2.774
7809	3.49
7765	3.132
69177	2.914
21111822	3.333
6794	3.452
7681	3.010
26516	5.201
17131	2.747
10772140	0.157
7190	2.989
63054	1.669
18801	0.157
68156	-0.201
21106520	1.512
16119	2.591
10244	2.914
924	2.606
13862559	3.084
6788	6.261
7131	2.869
7466	0.304
13861343	1.604
73412	2.794
8904	0.004
13874733	1.723
24535	2.433
25552	1.714
10437215	0.841
12225	0.535
13839151	2.479
13848808	2.031
8140	2.025
11087	3.641
10909	6.584
10918	6.584
15489	6.333
2441	2.127
12499	1.628
7480	0.404
10939	1.213
7018	-0.406
11784	1.496
13839128	2.479
8868	2.646
7518	3.326
21106019	2.543
7528	0.148
24533	0.859
1020	1.4
2039535	0.483
13839110	2.69
21105998	3.556
13865680	2.725
11604	2.936
8374	4.337
21106586	0.924
11756	0.876
8733	-0.917
13835459	-0.772
71089	1.001
7688	0.501
8902	0.934
10937	1.835
6897	3.41
773	-0.109
17443	0.060
6883	2.987
11785	1.496
15495	3.381
1141	-0.878
7240	2.258
503239	0.068
13860641	2.658
6974	2.267
21106571	3.18
10908	6.584
3463	3.550
16388	1.481
6828	7.292
7161	1.756
592	-0.591
8141	0.351
7679	0.920
4444456	2.099
83866	0.517
66996	0.985
21105897	2.454
15427	3.691
5830	3.189
13840690	3.883
13839105	2.69
11667	2.448
13835772	2.156
61538	2.802
238	2.666
13864445	3.084
21108548	3.389
13047	2.217
21106163	3.18
967	2.313
13876103	2.484
2018165	1.884
14256731	-0.039
6311	0.577
11699	1.085
12643	1.079
83850	0.517
30595	3.310
13839082	2.367
13865424	3.403
13853758	3.377
13860335	2.409
4366810	2.162
10422	1.382
11695	0.727
13229	1.881
24099	-0.559
11576	3.312
7175	3.31
7157	3.31
12060	3.505
14678	4.074
11021	2.732
21105871	2.367
466305	2.889
13837686	1.929
61411	3.125
917	1.485
21106519	4.007
65	2.025
13029	2.121
13875356	3.664
19766	2.217
12044	7.615
12682	6.907
10181341	3.08
748	-0.357
71628	0.56
7568	0.268
13839553	-0.850
9363	1.744
6296	1.982
9574	1.992
971	2.044
13846663	4.050
21106091	4.619
10246	3.013
70715	1.323
13871718	3.758
2654	1.379
9547	2.203
92731	3.521
62632	7.681
78998	7.112
11884	5.974
16177	5.405
15853	4.836
67360	4.267
11866	2.56
15846	3.698
7566	0.284
29026	3.129
11846	1.991
7770	1.422
7717	0.853
6102	0.031
21109330	0.546
10948	-0.39
13835293	-0.158
13835224	-0.748
13839441	-0.134
13835235	-1.208
62808	0.428
7236	1.163
11589	3.558
79969	4.696
21106366	3.345
62310	2.812
7420	5.232
28982	2.936
19709	2.272
21168831	4.663
55443	4.896
453675	5.465
60121	1.812
69340	4.327
10992	2.732
6633	2.025
16804	3.237
21159695	3.438
455090	0.563
57726	2.379
7234	2.367
6630	2.201
71437	4.006
13063	6.830
558878	2.701
2005981	-0.801
25886	0.955
71430	0.494
7736	0.822
447	1.389
21106525	2.869
18707	2.363
559096	2.120
13868660	3.526
707	3.834
7140	2.989
8070	2.989
387	1.131
10018	0.115
61001	3.623
13854136	2.089
1664	0.370
20570	1.499
13854248	1.862
7001	2.121
11366	2.121
21106540	3.180
21106570	3.276
15855	1.756
7790	-0.159
13835209	-0.492
8903	0.469
62489	0.956
8899	0.723
13634	2.081
13630	1.834
13869434	2.412
553578	2.701
66565	2.088
10437135	0.448
66021	0.485
7221	2.292
10857	2.025
7383	5.001
13030	2.121
6339	3.928
6736	6.261
10851	6.584
10850	6.584
23977588	0.839
434	2.129
24043	0.601
12069	2.670
191367	2.101
11799	1.532
7615	0.963
6338	0.605
11265	1.491
6135	0.348
72056	3.638
34095	2.5
18685	1.931
62628	1.362
67653	4.310
11875	0.793
21106032	2.456
7021	-0.65
1348	0.13
66896	8.305
62534	4.589
62408	4.378
7389	4.266
13848467	1.854
72556	2.212
13835151	2.3
10991	2.869
13860692	2.3
13869462	2.412
38364	3.422
12045	7.615
2003	4.156
17784	1.448
12637	4.33
13839416	0.224
11694	0.196
29008	0.330
2606	0.802
21106524	3.403
12823	1.872
5889	1.977
81815	0.381
13840647	2.412
13875212	3.664
9579	1.992
21105859	1.332
19475	0.178
9874	3.373
13647	2.076
9350	1.792
21168826	3.403
10801842	1.957
65785	2.939
13860491	2.623
6780	3.028
10841	6.584
5593	1.693
25889	1.031
25890	2.994
10227261	-0.91
220998	3.563
12954	2.425
9454	1.984
9360	1.792
13851576	4.221
21105848	1.469
12047	7.615
16736498	0.839
913	0.637
6478	6.244
6745	3.942
8912	-0.760
12229	0.639
6898	2.977
10849	6.584
11038	3.864
89076	1.658
21105870	3.808
199342	6.362
19477	1.498
6287	0.579
13811	1.326
14169248	2.488
1019	0.468
10437074	0.565
21105878	1.908
21168813	3.254
235	3.080
8186	3.254
11596	2.012
13860775	1.322
6674	2.678
11083	2.025
2206	0.433
13872122	5.570
8098	3.065
10328	2.467
6737	4.768
6789	4.979
15861	6.907
7600	2.483
4445317	4.103
11632	1.287
7961	1.337
13885245	3.824
8674	1.908
7132	2.931
13856352	3.122
8071	2.34
11783	1.834
10980	2.467
21106172	2.121
27488	3.422
10813	6.584
7202	3.137
30516	1.856
26325090	1.152
21112023	2.257
13876539	3.494
21106018	2.041
68676	2.546
551	4.274
11776	4.098
66895	6.029
66887	5.460
9893	3.753
63518	4.891
59482	4.322
6881	3.184
13839308	3.191
10586285	3.177
218253	6.122
8341	3.920
20198	1.209
7689	1.881
63310	-0.591
7299	7.861
10829	6.584
191	0.006
12957	0.506
84036	0.929
68152	1.025
24041	1.644
19953955	0.362
13835630	-2.064
14556	1.381
21106140	3.003
13863618	2.124
13837787	2.578
1361549	6.337
10831	6.584
23886	5.374
33421	6.007
992	1.692
70714	0.903
13875432	1.929
12640	0.5
6480	2.674
15755	4.653
14995	4.442
14994	4.02
67470	4.231
15476	4.231
15756	4.231
1906	1.079
6592	7.029
21943	1.075
10106	1.653
19956441	0.931
11930	-0.366
10384035	0.943
65936	-0.260
14227	2.394
11584	2.788
13867714	2.738
6706	1.933
6916	2.741
19957731	2.638
10205670	0.020
120489	0.52
13875219	1.929
7302	5.106
70660	0.563
16387	0.424
502245	1.6
5708	0.571
16159	2.272
13648	1.29
9349	1.725
63889	0.735
13835126	2.394
10437210	0.767
768	-0.34
34863	5.259
23730	0.148
23621376	0.004
11332993	2.576
21106146	3.217
12231	0.029
13837760	1.299
10008	0.870
10972	2.467
2079	2.079
13869451	1.862
4759	1.530
33617	1.487
11961	2.054
15619	6.907
6739	3.709
953	1.003
331	1.71
15789876	-1.275
7224	2.777
11600	1.554
21106144	3.006
13863774	3.217
10243171	2.576
7138	2.894
4878	0.870
6604	3.009
25677	5.144
6840	4.632
4590	2.021
12816	1.051
21111781	2.214
123207	1.073
776	2.45
15475	4.653
15477	4.442
15478	4.864
15524	4.020
2297441	2.063
158870	4.116
157093	4.116
83374	4.116
457144	4.327
135925	4.116
457145	4.116
8807	6.460
8182	1.481
19476	0.340
13871489	-0.75
28969	2.784
13863629	1.057
7278	3.401
13644	0.902
21106014	2.754
13869480	1.322
42330	1.002
13869339	1.862
13875441	2.267
30881	1.428
14620	1.07
6852	4.439
6735	5.106
30572	-3.349
392447	3.904
67465	2.899
4962	1.453
21106013	2.779
577	-0.648
26260	6.907
4932499	7.230
4575338	0.796
12586	4.593
7964	0.890
6193	1.248
86394	-0.136
13860817	1.958
21111772	2.054
15620	6.907
11708	4.064
6079	2.129
13859497	1.486
9943	1.051
28973	2.739
62517	1.812
456015	1.256
63906	2.881
1446	0.536
12133	0.61
15621	6.907
11632871	-0.592
13856009	0.902
79280	2.739
27296	2.17
11651	1.812
8657	1.389
8665	1.389
4575	2.079
13842573	2.267
8876	5.938
63908	0.195
10181339	3.649
86435	2.150
21106020	2.779
15488	6.333
84188	4.538
136000	4.116
135983	4.116
136001	4.116
136002	4.327
136003	4.327
84235	4.116
10438331	3.896
82755	4.212
82712	4.212
157094	4.212
103011	4.212
102798	4.212
82762	4.212
13849665	2.806
24326358	3.743
5894	-0.275
15702	2.938
221226	0.618
5976	-1.629
68437	6.907
26010	6.007
30600	5.374
33455	6.007
33934	5.163
33932	6.007
5807	-2.120
34866	5.259
34665	5.259
34664	5.259
37904	6.103
34864	5.259
34188	6.103
