Compound Id	KappaShapeIndices [Kier1]
6897	9.091
773	3.2
17443	6.125
6883	8.1
11785	5.143
15495	12.071
1141	6.125
7240	6.125
503239	7.111
13860641	7.111
6974	6.125
21106571	8.1
10908	8.592
3463	12.055
16388	16.0
6828	8.592
7161	9.091
592	6.0
8141	4.167
7679	5.143
4444456	5.0
83866	6.125
66996	5.143
21105897	10.083
15427	8.1
5830	7.111
13840690	6.125
13839105	7.111
11667	7.111
13835772	6.125
61538	8.1
238	7.111
13864445	7.111
21108548	6.125
13047	9.091
21106163	8.1
967	10.083
13876103	10.083
2018165	5.0
14256731	14.0
6311	5.0
11699	9.0
12643	5.143
83850	6.125
30595	9.091
13839082	6.125
13865424	7.111
13853758	8.1
13860335	6.125
4366810	11.0
10422	10.0
11695	8.0
13229	11.0
24099	6.0
11576	9.091
7175	9.091
7157	9.091
12060	8.1
14678	9.091
11021	7.111
21105871	6.125
466305	12.071
13837686	6.125
61411	9.091
917	8.592
21106519	9.091
65	7.111
13029	8.1
13875356	6.125
19766	9.091
12044	9.551
12682	9.551
10181341	8.1
748	2.0
71628	9.0
7568	4.0
13839553	5.0
9363	5.143
6296	8.1
9574	8.1
971	5.143
13846663	9.091
21106091	10.083
10246	8.1
70715	5.143
13871718	8.1
2654	15.059
9547	8.1
92731	9.0
62632	17.0
78998	16.0
11884	14.0
16177	13.0
15853	12.0
67360	11.0
11866	8.0
15846	10.0
7566	4.0
29026	9.0
11846	7.0
7770	6.0
7717	5.0
6102	3.0
21109330	8.0
10948	6.0
13835293	7.0
13835224	5.0
13839441	7.0
13835235	4.0
62808	5.143
7236	6.125
11589	9.091
79969	11.077
21106366	8.1
62310	11.077
7420	8.1
28982	7.111
19709	9.091
21168831	7.111
55443	10.083
453675	11.077
60121	8.1
69340	9.091
10992	7.111
6633	7.111
16804	10.083
21159695	8.1
455090	7.111
57726	6.509
7234	6.125
6630	7.111
71437	6.509
13063	8.592
558878	11.0
2005981	4.0
25886	9.0
71430	7.111
7736	3.2
447	7.111
21106525	7.111
18707	7.111
559096	10.88
13868660	6.125
707	10.083
7140	8.1
8070	8.1
387	6.0
10018	4.167
61001	11.077
13854136	6.125
1664	5.143
20570	7.111
13854248	6.125
7001	8.1
11366	8.1
21106540	8.1
21106570	9.091
15855	9.091
7790	4.167
13835209	6.0
8903	4.167
62489	6.125
8899	3.2
13634	6.125
13630	5.143
13869434	7.111
553578	11.0
66565	6.125
10437135	7.111
66021	5.143
7221	6.125
10857	7.111
7383	7.111
13030	8.1
6339	6.0
6736	7.639
10851	8.592
10850	8.592
23977588	13.959
434	8.1
24043	7.0
12069	9.0
191367	8.0
11799	7.0
7615	6.0
6338	5.0
11265	9.0
6135	4.0
72056	14.0
34095	12.0
18685	11.0
62628	10.0
67653	10.0
11875	9.0
21106032	6.0
7021	6.0
1348	4.167
66896	17.053
62534	8.1
62408	8.1
7389	7.111
13848467	8.1
72556	9.091
13835151	6.125
10991	7.111
13860692	6.125
13869462	7.111
38364	7.111
12045	9.551
2003	11.796
17784	9.0
12637	12.0
13839416	8.0
11694	8.0
29008	3.2
2606	7.0
21106524	7.111
12823	7.111
5889	5.143
81815	6.125
13840647	7.111
13875212	6.125
9579	8.1
21105859	8.1
19475	6.0
9874	9.091
13647	7.111
9350	6.125
21168826	7.111
10801842	10.0
65785	12.071
13860491	7.111
6780	6.694
10841	8.592
5593	5.76
25889	8.0
25890	12.0
10227261	16.0
220998	13.0
12954	11.0
9454	9.091
9360	6.125
13851576	6.125
21105848	9.091
12047	9.551
16736498	13.959
913	7.111
6478	7.408
6745	10.083
8912	10.083
12229	5.143
6898	10.083
10849	8.592
11038	6.125
89076	12.457
21105870	8.1
199342	13.067
19477	9.0
6287	11.0
13811	12.0
14169248	9.0
1019	3.2
10437074	5.143
21105878	8.1
21168813	8.1
235	6.125
8186	8.1
11596	10.083
13860775	7.111
6674	8.1
11083	7.111
2206	11.077
13872122	8.1
8098	6.694
10328	6.125
6737	7.639
6789	7.639
15861	9.551
7600	12.0
4445317	12.071
11632	9.0
7961	6.0
13885245	10.083
8674	8.1
7132	7.111
13856352	7.111
8071	8.1
11783	5.143
10980	8.1
21106172	8.1
27488	7.111
10813	8.592
7202	9.091
30516	10.0
26325090	10.0
21112023	8.1
13876539	7.111
21106018	7.111
68676	10.083
551	8.32
11776	7.111
66895	13.067
66887	12.071
9893	9.091
63518	11.077
59482	10.083
6881	8.1
13839308	7.111
10586285	11.484
218253	9.551
8341	7.639
20198	12.071
7689	5.143
63310	8.1
7299	9.551
10829	8.592
191	10.0
12957	7.0
84036	8.0
68152	8.0
24041	9.0
19953955	7.0
13835630	10.0
14556	9.091
21106140	11.077
13863618	7.111
13837787	8.1
1361549	13.067
10831	8.592
23886	10.516
33421	10.516
992	10.083
70714	5.143
13875432	6.125
12640	4.167
6480	6.694
15755	8.592
14995	8.592
14994	8.592
67470	8.592
15476	8.592
15756	8.592
1906	9.091
6592	8.32
21943	8.0
10106	14.0
19956441	8.0
11930	8.0
10384035	7.111
65936	6.125
14227	8.1
11584	9.091
13867714	8.592
6706	9.091
6916	12.071
19957731	11.0
10205670	5.0
120489	6.125
13875219	6.125
7302	9.551
70660	12.0
16387	13.067
502245	12.071
5708	7.0
16159	7.0
13648	7.111
9349	6.125
63889	6.125
13835126	8.1
10437210	8.1
768	6.694
34863	11.484
23730	6.0
23621376	6.0
11332993	9.091
21106146	8.1
12231	6.125
13837760	6.125
10008	5.143
10972	8.1
2079	14.063
13869451	6.125
4759	14.063
33617	14.063
11961	8.1
15619	9.551
6739	7.639
953	8.1
331	8.1
15789876	20.0
7224	6.125
11600	6.125
21106144	8.1
13863774	8.1
10243171	9.091
7138	7.111
4878	6.125
6604	8.592
25677	12.457
6840	9.242
4590	11.077
12816	6.125
21111781	8.1
123207	6.125
776	5.76
15475	8.592
15477	8.592
15478	8.592
15524	8.592
2297441	13.067
158870	9.551
157093	9.551
83374	9.551
457144	9.551
135925	9.551
457145	9.551
8807	7.408
8182	10.083
19476	7.0
13871489	14.0
28969	8.1
13863629	5.143
7278	9.091
13644	7.111
21106014	7.111
13869480	7.111
42330	12.071
13869339	6.125
13875441	6.125
30881	14.063
14620	13.067
6852	8.592
6735	7.639
30572	10.0
392447	9.091
67465	10.083
4962	7.111
21106013	8.1
577	6.125
26260	9.551
4932499	10.516
4575338	13.44
12586	14.0
7964	13.0
6193	14.0
86394	10.083
13860817	7.111
21111772	8.1
15620	9.551
11708	6.125
6079	8.1
13859497	7.639
9943	6.125
28973	10.083
62517	8.1
456015	6.125
63906	7.111
1446	9.091
12133	12.071
15621	9.551
11632871	14.063
13856009	7.111
79280	10.083
27296	9.091
11651	8.1
8657	7.111
8665	7.111
4575	14.063
13842573	6.125
8876	6.694
63908	7.111
10181339	9.091
86435	11.077
21106020	8.1
15488	9.551
84188	9.551
136000	9.551
135983	9.551
136001	9.551
136002	9.551
136003	9.551
84235	9.551
10438331	10.516
82755	10.516
82712	10.516
157094	10.516
103011	10.516
102798	10.516
82762	10.516
13849665	21.0
24326358	11.077
5894	5.0
15702	14.063
221226	8.1
5976	7.111
68437	9.551
26010	10.516
30600	10.516
33455	10.516
33934	10.516
33932	10.516
5807	13.432
34866	11.484
34665	11.484
34664	11.484
37904	11.484
34864	11.484
34188	11.484
34865	11.484
11974	8.1
10771217	6.0
33416	13.067
15409	11.077
21106036	9.091
120548	8.1
11591	9.091
11778	7.111
44152	12.071
11954	8.1
8855	6.694
11769	6.125
18941	15.059
29282	15.059
6586	9.551
2915	8.32
13328	11.796
8960	2.0
10772050	7.0
7225	6.125
70652	12.071
7685	5.143
7208	10.083
21111817	7.111
20124	7.639
7406	10.083
10498	5.0
70988	11.077
9564	7.111
2923	8.1
21106470	6.694
10432	6.125
56793	12.457
454495	12.457
40191	12.457
56791	12.457
35581	12.457
56774	13.432
82765	13.432
7042	11.077
2185	10.516
4760	14.063
12874	14.063
13853953	8.1
6988	7.111
13869414	7.111
13860720	7.111
11294	8.592
457140	9.551
27793	10.516
82754	10.516
457138	10.516
102897	10.516
457139	10.516
102947	10.516
97173	10.516
102720	10.516
102801	10.516
102833	10.516
102721	10.516
102856	10.516
102933	10.516
103066	10.516
97172	10.516
64016	15.39
4450907	13.44
120621	7.0
12445	8.0
20119	7.0
7030	4.167
13835932	8.0
13257	6.125
2937774	10.083
62484	9.091
1015	5.76
87265	7.111
12699	10.173
21429023	13.005
10892	9.091
376	11.0
13837303	14.063
78	6.125
13837329	12.071
11595	10.083
4745	15.059
4768	13.067
20848	13.067
65701	8.1
8273	9.551
12705	13.067
8183	10.083
11563	8.1
59577	9.0
61707	6.0
11610	9.091
7397	8.1
6675	8.1
11588	8.1
2283071	10.516
8319	7.639
11003	9.551
13104	11.484
6334	5.0
206561	9.091
64699	9.0
21106008	10.083
5091	20.0
55205	8.0
13816	6.0
11244	6.0
247721	11.077
71	9.091
2169	12.071
13303	12.071
13302	12.071
4489	6.125
13835706	15.0
26765	7.0
192642	7.0
122446	8.0
21181	8.0
11752	6.0
2275	3.2
10464	6.0
6330	5.0
11795	7.0
173	4.0
3918	14.410
6790	7.639
106355	10.516
102741	11.484
97055	11.484
97198	11.484
5993	5.0
693	3.0
28682	7.111
191058	10.083
5596	6.125
18	9.091
6807	10.516
13856959	12.457
553649	10.516
13848341	10.0
10864	8.1
5027	11.077
2271976	15.523
10169	13.959
8860	9.242
10986	10.083
5915	8.1
7146	9.091
6838	12.055
34874	12.457
36972	12.457
56788	12.457
533188	12.457
35579	12.457
16182	12.457
46262	12.457
35580	12.457
82818	12.457
56790	12.457
56795	12.457
33458	12.457
82777	12.457
35584	12.457
56785	12.457
56792	12.457
34189	12.457
34859	14.410
84346	14.410
56760	14.410
56755	14.410
33666	14.410
8030	12.457
8060	13.432
13867413	7.0
7310	10.083
6781	9.091
21106365	9.242
13865630	12.0
26325085	15.0
26325087	15.0
26325088	15.0
7241	6.125
12061	8.1
61765	8.1
15473	10.516
17099	10.516
17098	10.516
33933	10.516
15474	10.516
34868	11.484
37905	11.484
34869	11.484
37918	11.484
37915	11.484
34867	11.484
25605	11.484
26011	11.484
34870	11.484
34666	11.484
21924	11.484
36973	13.432
37744	13.432
46894	13.432
45444	13.432
56769	13.432
56780	13.432
34847	13.432
39406	13.432
35081	13.432
56781	13.432
56771	13.432
3584	19.753
6842	9.242
4624	16.372
10101	8.0
10025	12.0
5004	14.0
28994	4.0
9218	9.091
13835351	11.077
6773	11.077
102834	11.484
102722	11.484
154865	11.484
96948	11.484
102743	11.484
