Compound Id	WienerNumbers [WPATH]
12069	114.0
191367	79.0
11799	52.0
7615	32.0
6338	18.0
11265	90.0
6135	9.0
72056	455.0
34095	286.0
18685	220.0
62628	165.0
67653	165.0
11875	120.0
21106032	35.0
7021	31.0
1348	26.0
66896	988.0
62534	127.0
62408	121.0
7389	94.0
13848467	133.0
72556	182.0
13835151	62.0
10991	88.0
13860692	61.0
13869462	84.0
38364	82.0
12045	246.0
2003	448.0
17784	88.0
12637	286.0
13839416	84.0
11694	75.0
29008	15.0
2606	42.0
21106524	86.0
12823	90.0
5889	42.0
81815	62.0
13840647	82.0
13875212	60.0
9579	120.0
21105859	125.0
19475	31.0
9874	156.0
13647	88.0
9350	62.0
21168826	88.0
10801842	130.0
65785	358.0
13860491	84.0
6780	109.0
10841	178.0
5593	79.0
25889	67.0
25890	246.0
10227261	564.0
220998	314.0
12954	188.0
9454	166.0
9360	61.0
13851576	64.0
21105848	150.0
12047	252.0
16736498	552.0
913	88.0
6478	166.0
6745	197.0
8912	216.0
12229	42.0
6898	209.0
10849	180.0
11038	62.0
89076	512.0
21105870	133.0
199342	402.0
19477	104.0
6287	166.0
13811	205.0
14169248	102.0
1019	15.0
10437074	42.0
21105878	125.0
21168813	117.0
235	64.0
8186	120.0
11596	215.0
13860775	86.0
6674	114.0
11083	84.0
2206	220.0
13872122	133.0
8098	109.0
10328	60.0
6737	140.0
6789	144.0
15861	224.0
7600	240.0
4445317	301.0
11632	102.0
7961	28.0
13885245	221.0
8674	121.0
7132	88.0
13856352	94.0
8071	114.0
11783	42.0
10980	120.0
21106172	110.0
27488	82.0
10813	175.0
7202	162.0
30516	141.0
26325090	165.0
21112023	120.0
13876539	94.0
21106018	84.0
68676	198.0
551	219.0
11776	84.0
66895	456.0
66887	363.0
9893	164.0
63518	284.0
59482	218.0
6881	121.0
13839308	94.0
10586285	341.0
218253	240.0
8341	144.0
20198	264.0
7689	42.0
63310	109.0
7299	264.0
10829	176.0
191	151.0
12957	50.0
84036	72.0
68152	63.0
24041	110.0
19953955	56.0
13835630	138.0
14556	164.0
21106140	256.0
13863618	86.0
13837787	114.0
1361549	428.0
10831	176.0
23886	287.0
33421	286.0
992	188.0
70714	42.0
13875432	61.0
12640	26.0
6480	106.0
15755	179.0
14995	176.0
14994	176.0
67470	181.0
15476	180.0
15756	185.0
1906	166.0
6592	219.0
21943	76.0
10106	343.0
19956441	84.0
11930	65.0
10384035	94.0
65936	64.0
14227	117.0
11584	160.0
13867714	198.0
6706	148.0
6916	350.0
19957731	220.0
10205670	18.0
120489	64.0
13875219	62.0
7302	264.0
70660	227.0
16387	443.0
502245	336.0
5708	48.0
16159	46.0
13648	88.0
9349	62.0
63889	62.0
13835126	120.0
10437210	117.0
768	105.0
34863	338.0
23730	31.0
23621376	35.0
11332993	162.0
21106146	117.0
12231	60.0
13837760	60.0
10008	42.0
10972	117.0
2079	418.0
13869451	61.0
4759	458.0
33617	452.0
11961	110.0
15619	226.0
6739	140.0
953	120.0
331	114.0
15789876	1085.0
7224	64.0
11600	63.0
21106144	114.0
13863774	120.0
10243171	166.0
7138	88.0
4878	61.0
6604	181.0
25677	394.0
6840	279.0
4590	280.0
12816	64.0
21111781	117.0
123207	62.0
776	79.0
15475	178.0
15477	175.0
15478	182.0
15524	186.0
2297441	384.0
158870	220.0
157093	226.0
83374	226.0
457144	220.0
135925	216.0
457145	222.0
8807	166.0
8182	197.0
19476	50.0
13871489	331.0
28969	126.0
13863629	43.0
7278	168.0
13644	88.0
21106014	86.0
13869480	88.0
42330	276.0
13869339	62.0
13875441	61.0
30881	465.0
14620	384.0
6852	190.0
6735	140.0
30572	136.0
392447	174.0
67465	202.0
4962	86.0
21106013	117.0
577	61.0
26260	220.0
4932499	271.0
4575338	712.0
12586	343.0
7964	220.0
6193	266.0
86394	177.0
13860817	84.0
21111772	111.0
15620	216.0
11708	62.0
6079	120.0
13859497	147.0
9943	64.0
28973	232.0
62517	124.0
456015	64.0
63906	90.0
1446	150.0
12133	318.0
15621	222.0
11632871	512.0
13856009	88.0
79280	227.0
27296	174.0
11651	127.0
8657	88.0
8665	90.0
4575	398.0
13842573	62.0
8876	107.0
63908	90.0
10181339	174.0
86435	284.0
21106020	120.0
15488	246.0
84188	218.0
136000	220.0
135983	226.0
136001	224.0
136002	218.0
136003	224.0
84235	230.0
10438331	274.0
82755	271.0
82712	266.0
157094	276.0
103011	271.0
102798	261.0
82762	271.0
13849665	1102.0
24326358	252.0
5894	18.0
15702	457.0
221226	127.0
5976	84.0
68437	218.0
26010	291.0
30600	294.0
33455	298.0
33934	301.0
33932	293.0
5807	496.0
34866	344.0
34665	352.0
34664	346.0
37904	342.0
34864	346.0
34188	348.0
34865	354.0
11974	111.0
10771217	29.0
33416	420.0
15409	290.0
21106036	150.0
120548	120.0
11591	162.0
11778	84.0
44152	276.0
11954	109.0
8855	109.0
11769	61.0
18941	546.0
29282	548.0
6586	226.0
2915	219.0
13328	450.0
8960	1.0
10772050	42.0
7225	64.0
70652	364.0
7685	42.0
7208	206.0
21111817	86.0
20124	144.0
7406	217.0
10498	20.0
70988	280.0
9564	84.0
2923	112.0
21106470	109.0
10432	62.0
56793	400.0
454495	401.0
40191	407.0
56791	410.0
35581	403.0
56774	462.0
82765	470.0
7042	240.0
2185	343.0
4760	458.0
12874	452.0
13853953	114.0
6988	84.0
13869414	90.0
13860720	84.0
11294	176.0
457140	220.0
27793	263.0
82754	267.0
457138	274.0
102897	273.0
457139	266.0
102947	264.0
97173	271.0
102720	270.0
102801	263.0
102833	271.0
102721	270.0
102856	265.0
102933	275.0
103066	270.0
97172	281.0
64016	716.0
4450907	712.0
120621	48.0
12445	66.0
20119	52.0
7030	26.0
13835932	68.0
13257	62.0
2937774	211.0
62484	160.0
1015	79.0
87265	90.0
12699	326.0
21429023	459.0
10892	150.0
376	204.0
13837303	446.0
78	64.0
13837329	295.0
11595	206.0
4745	618.0
4768	386.0
20848	380.0
65701	120.0
8273	228.0
12705	384.0
8183	197.0
11563	117.0
59577	94.0
61707	29.0
11610	168.0
7397	126.0
6675	114.0
11588	120.0
2283071	271.0
8319	140.0
11003	264.0
13104	364.0
6334	18.0
206561	160.0
64699	92.0
21106008	198.0
5091	1313.0
55205	79.0
13816	31.0
11244	29.0
247721	296.0
71	152.0
2169	319.0
13303	318.0
13302	312.0
4489	62.0
13835706	424.0
26765	50.0
192642	46.0
122446	63.0
21181	76.0
11752	32.0
2275	16.0
10464	32.0
6330	18.0
11795	52.0
173	9.0
3918	568.0
6790	144.0
106355	267.0
102741	320.0
97055	326.0
97198	320.0
5993	18.0
693	4.0
28682	88.0
191058	197.0
5596	60.0
18	146.0
6807	303.0
13856959	496.0
553649	343.0
13848341	141.0
10864	114.0
