ID,InchiCode
[Bmim][BF4]_20,"InChI=1S/C8H15N2.BF4/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)5/h6-8H,3-5H2,1-2H3;/q+1;-1"
[Bmim][BF4]_21,"InChI=1S/C8H15N2.BF4/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)5/h6-8H,3-5H2,1-2H3;/q+1;-1"
[Bmim][BF4]_22,"InChI=1S/C8H15N2.BF4/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)5/h6-8H,3-5H2,1-2H3;/q+1;-1"
[Bmim][BF4]_23,"InChI=1S/C8H15N2.BF4/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)5/h6-8H,3-5H2,1-2H3;/q+1;-1"
[Bmim][BF4]_24,"InChI=1S/C8H15N2.BF4/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)5/h6-8H,3-5H2,1-2H3;/q+1;-1"
[Bmim][BF4]_25,"InChI=1S/C8H15N2.BF4/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)5/h6-8H,3-5H2,1-2H3;/q+1;-1"
[Bmim][BF4]_26,"InChI=1S/C8H15N2.BF4/c1-3-4-5-10-7-6-9(2)8-10;2-1(3,4)5/h6-8H,3-5H2,1-2H3;/q+1;-1"
[Pemim][BF4]_1,"InChI=1S/C9H17N2.BF4/c1-3-4-5-6-11-8-7-10(2)9-11;2-1(3,4)5/h7-9H,3-6H2,1-2H3;/q+1;-1"
[Pemim][BF4]_2,"InChI=1S/C9H17N2.BF4/c1-3-4-5-6-11-8-7-10(2)9-11;2-1(3,4)5/h7-9H,3-6H2,1-2H3;/q+1;-1"
[Pemim][BF4]_3,"InChI=1S/C9H17N2.BF4/c1-3-4-5-6-11-8-7-10(2)9-11;2-1(3,4)5/h7-9H,3-6H2,1-2H3;/q+1;-1"
[Pemim][BF4]_4,"InChI=1S/C9H17N2.BF4/c1-3-4-5-6-11-8-7-10(2)9-11;2-1(3,4)5/h7-9H,3-6H2,1-2H3;/q+1;-1"
[Pemim][BF4]_5,"InChI=1S/C9H17N2.BF4/c1-3-4-5-6-11-8-7-10(2)9-11;2-1(3,4)5/h7-9H,3-6H2,1-2H3;/q+1;-1"
[Pemim][BF4]_6,"InChI=1S/C9H17N2.BF4/c1-3-4-5-6-11-8-7-10(2)9-11;2-1(3,4)5/h7-9H,3-6H2,1-2H3;/q+1;-1"
[Pemim][BF4]_7,"InChI=1S/C9H17N2.BF4/c1-3-4-5-6-11-8-7-10(2)9-11;2-1(3,4)5/h7-9H,3-6H2,1-2H3;/q+1;-1"
[Pemim][BF4]_8,"InChI=1S/C9H17N2.BF4/c1-3-4-5-6-11-8-7-10(2)9-11;2-1(3,4)5/h7-9H,3-6H2,1-2H3;/q+1;-1"
[Pemim][BF4]_9,"InChI=1S/C9H17N2.BF4/c1-3-4-5-6-11-8-7-10(2)9-11;2-1(3,4)5/h7-9H,3-6H2,1-2H3;/q+1;-1"
[Hmim][BF4]_1,"InChI=1S/C10H19N2.BF4/c1-3-4-5-6-7-12-9-8-11(2)10-12;2-1(3,4)5/h8-10H,3-7H2,1-2H3;/q+1;-1"
[Hmim][BF4]_2,"InChI=1S/C10H19N2.BF4/c1-3-4-5-6-7-12-9-8-11(2)10-12;2-1(3,4)5/h8-10H,3-7H2,1-2H3;/q+1;-1"
[Hmim][BF4]_3,"InChI=1S/C10H19N2.BF4/c1-3-4-5-6-7-12-9-8-11(2)10-12;2-1(3,4)5/h8-10H,3-7H2,1-2H3;/q+1;-1"
