Compound Id	MannholdLogP
13835459	1.68
9581	2.01
13875196	2.01
73412	1.68
13492	2.890
15747	3.0
7236	1.9
10410	2.56
1348	1.68
558878	2.45
5978	1.350
13487	2.780
6119	1.24
10404	2.67
13839199	2.010
9228	1.9
71089	1.790
6342	1.24
9574	1.9
83866	1.9
83850	1.9
9454	2.01
7419	2.56
1108	2.23
7128	2.45
8356	2.56
62530	2.23
7385	2.45
7170	2.780
8903	1.68
13842613	2.12
16159	1.570
7183	2.56
236	2.12
553578	2.45
7736	1.790
7242	2.12
7219	2.34
7521	2.34
7672	2.010
12010	2.010
24533	1.9
789	1.570
7088	2.56
1019	1.57
13835932	1.46
65750	2.45
15461	2.67
11830	1.9
6122	1.68
1095	1.790
7641	2.34
63903	2.23
10497	1.790
8904	1.68
7688	1.790
13874733	2.010
10437135	1.79
11660	2.45
1020	1.9
21106520	2.010
18724	2.340
11042	2.12
31029	1.68
21106560	2.12
21132380	2.12
8531	2.56
15855	2.45
6100	1.570
13837281	1.24
21105905	2.12
66809	1.9
7448	2.56
6179	1.13
7659	2.45
24535	2.23
15702	1.9
25552	2.120
11871	1.9
15409	2.450
20843	1.9
10940	2.12
10251740	1.680
11077	2.12
24972	2.01
9326	1.9
13885245	2.34
6524	2.78
28969	2.120
6967	2.34
8900	1.350
12229	1.790
9360	1.9
10253	2.56
8902	1.68
9350	1.9
7786	1.68
6999	2.56
15965	2.34
6088	1.46
10937	2.12
21106036	1.57
6977	2.45
10364	2.34
62489	1.9
10384035	1.79
11409	2.45
8243	3.0
7391	2.23
21108577	2.12
13257	1.9
70682	2.120
4228778	2.560
13658	2.120
28992	1.9
6528	3.22
7739	1.790
21168808	1.9
8335	2.56
8374	2.450
21111820	1.9
6897	2.23
13863629	1.790
12228	2.010
21112023	2.120
6665	1.46
247721	2.450
10437215	1.9
11731	1.46
13865438	2.23
120489	1.680
2039535	1.79
13837319	2.78
7278	2.23
13875160	2.12
8899	1.57
7238	2.12
21106135	2.23
773	1.57
2916	1.35
12225	1.68
10197150	1.46
55091	1.13
26325085	2.45
26325087	2.45
26325088	2.45
11862	1.9
8241	2.56
3210	3.0
8950	2.45
7676	2.010
66996	1.570
10437074	1.570
66896	3.33
30595	2.23
7710	1.57
7809	1.790
63908	1.79
221226	1.9
21105959	2.23
66021	1.570
17443	1.680
84971	1.460
388391	1.460
10236	2.45
13837303	2.340
13648	2.01
2849146	1.680
222538	1.680
73390	1.79
10437335	1.79
11576	2.23
11589	2.23
7175	2.23
79969	2.450
11784	1.790
7765	1.68
6883	2.120
7241	1.9
13875230	2.12
7689	1.790
2038738	1.680
11785	1.790
9218	2.01
7224	2.12
11600	1.9
7551	1.46
558875	1.46
21106366	2.340
78	1.9
7225	1.9
10181339	2.23
13839308	2.23
65523	1.680
7157	2.23
2937774	1.9
502855	2.12
14556	2.01
30572	1.460
58234	2.45
67460	2.45
9349	1.9
8883	2.56
65936	1.680
13875281	2.12
4445317	2.78
10534	2.23
6898	2.34
13644	2.01
12061	2.340
29036	1.24
199342	2.89
66895	2.89
62534	2.120
62408	2.120
13837329	2.12
4489	1.9
15495	2.34
66887	2.78
7389	2.01
9893	2.45
63518	2.670
12060	2.340
62310	2.23
7420	2.340
13856009	2.01
59482	2.56
12816	1.9
14678	2.45
21171407	1.68
7984	1.570
28982	2.23
206561	1.79
19709	2.23
21168831	2.23
21105897	2.12
13860335	2.12
6881	2.340
55443	2.56
453675	2.670
971	2.010
9579	1.9
21105878	2.120
21168813	2.340
60121	2.120
15427	2.340
1141	1.46
63310	1.680
11021	2.23
305	1.35
13846663	2.45
79280	2.34
21106091	2.56
13876539	2.23
5830	2.23
69340	2.45
63889	1.680
2606	1.13
10992	2.23
8674	2.120
9943	1.9
7132	2.23
235	2.12
13839082	2.12
13839110	2.23
13840690	2.12
13871718	2.340
21105871	2.12
21105998	2.45
7131	2.23
13856352	2.23
13866817	1.9
24722	3.0
7221	2.12
7223	2.12
9903	2.45
13839105	2.23
10246	2.340
18336	2.010
14866	2.780
466305	2.34
13865680	2.23
11604	2.23
13634	2.12
76394	1.79
440	1.46
28682	1.79
447	2.01
11667	2.01
13835772	2.12
6774	2.01
21168826	2.23
8071	1.9
13839128	2.23
194092	2.23
27296	2.23
28973	2.34
8186	2.340
13839123	2.23
11154	1.35
5979	1.02
7240	2.12
13857694	1.9
7220	2.34
7745	1.46
13839151	2.23
64699	1.13
12259	2.67
62517	2.120
13848467	2.120
13848808	2.01
9911	2.340
72556	2.23
15753	2.34
67465	2.34
7129	2.45
13837686	1.9
13839174	2.23
61538	2.340
12244	2.340
10248	2.340
61411	2.45
69177	2.45
13865424	2.23
917	2.34
7248	2.45
21106144	1.9
21106524	2.23
13863774	1.9
11651	2.120
16119	2.340
11610	2.23
11332993	2.23
10243171	2.23
10801842	1.9
11661	2.45
7138	1.79
12674	2.780
13837988	1.9
6775	2.120
11672	2.120
21106146	1.9
6108	1.35
21106008	2.12
8657	2.01
13875258	2.12
70715	1.570
70714	1.570
11596	2.12
10244	2.45
70988	2.23
86435	2.23
65785	2.34
70652	2.34
7673	2.010
6745	2.34
3544	2.670
8868	2.23
8097	2.56
11773	2.120
13875392	2.12
6916	2.34
21105859	2.120
13630	1.790
7443	1.79
8665	2.01
6633	1.79
16804	2.56
7406	2.12
6907	2.23
10892	2.01
10181338	2.01
299166	1.9
136966	1.79
120548	1.9
73479	1.9
11783	1.790
4611	2.34
13846749	2.12
13875432	1.9
12823	2.01
7176	2.01
221082	2.45
12231	1.9
21106519	2.45
13875219	1.9
8935	2.34
4514586	1.350
10181341	2.120
21106018	2.01
13835344	2.23
7685	1.790
238	2.01
21159695	2.340
13853758	2.340
13835151	2.12
13875320	2.12
14227	2.120
5709	1.79
12821	2.01
913	1.79
8070	2.120
7140	2.120
7190	2.120
7310	2.12
21106140	2.450
12478	2.01
1266393	1.570
455090	1.79
503239	1.79
10991	2.23
191058	2.12
10986	2.12
57726	2.45
21106525	2.23
13860692	2.12
13876103	2.34
7234	2.12
6621	2.120
9564	2.01
21111822	2.12
13869462	2.23
10254	2.120
11460	2.120
7397	2.120
6642	2.780
11465	2.23
11422	2.23
3918	2.78
6794	2.45
21106014	2.01
5889	2.010
13835126	2.120
21111781	2.120
924	2.23
10857	1.79
8140	1.79
65	1.79
13860491	2.23
13863618	2.01
13860641	2.23
13869434	2.23
13854136	2.12
6781	1.79
13838404	1.24
13837760	1.9
6630	2.23
7383	2.23
123207	1.680
10008	1.790
1664	1.790
4878	1.9
21106020	1.680
61765	2.120
13862559	1.79
7662	1.79
21106148	1.79
10411	2.01
20570	2.01
13860775	2.01
2157	2.010
21105795	2.01
2241	2.01
10616	1.68
62466	2.120
62485	2.120
62472	1.790
11586	1.790
7518	1.9
4962	2.01
7681	2.010
21106013	1.680
10972	1.9
10980	1.9
6674	1.9
6035	2.23
21106900	2.12
2005981	1.24
81815	1.02
11584	2.01
7189	2.120
11591	2.01
13840647	2.23
13029	1.680
21106172	1.680
21106145	1.9
64155	2.23
13851576	2.12
13837787	1.680
68676	1.9
6635	1.240
11582	1.79
13853953	1.680
6988	1.79
11083	1.79
13854242	2.12
13869480	2.01
11585	2.01
11488212	2.01
13864445	1.79
86394	1.68
9965	2.12
2206	1.790
42330	1.9
4575	2.12
2079	2.12
4590	2.23
21108548	1.9
13854248	1.9
6974	1.9
6646	1.460
11629	2.01
21106019	2.01
509179	2.560
89076	2.78
10664	1.680
13869414	2.01
7279	2.12
62964	2.56
18219	1.350
13869451	1.9
880	2.120
75956	2.45
6023	2.120
456015	1.680
13869339	1.9
13875441	1.9
206493	1.9
15093	2.01
4599	2.230
1577	1.24
7239	2.12
434	1.9
6079	1.9
7202	1.79
764	1.9
10400	2.78
13662	1.460
955	1.680
13030	1.680
7001	1.680
71437	2.45
4759	1.9
33617	1.9
13872122	2.340
13842573	1.9
17347	1.9
21106581	1.9
10586285	2.01
11595	2.12
62060	2.560
5976	1.350
63906	2.01
13835351	2.010
6773	2.010
30881	1.9
2923	1.9
21105870	2.340
6658	1.79
11422351	1.9
7208	1.9
71193	1.79
67270	1.79
6033	1.79
76154	1.9
3548	2.67
642951	1.680
13860	2.01
40130	1.9
13860434	2.01
21111817	2.01
5596	1.9
5915	1.9
13047	1.57
25472	2.12
62467	1.9
14620	1.79
6828	2.780
21105848	2.01
11080	1.9
7211	1.46
7092	1.680
28947	1.790
11366	1.680
18	1.79
1446	1.79
71	1.79
7146	1.79
13860817	1.79
11625	2.01
12133	1.680
205483	2.01
1253	2.01
4745	2.450
392	1.9
11778	1.79
7172	1.46
13868640	1.9
18707	1.79
123	2.01
502245	2.12
13860720	1.79
21106571	1.680
21106163	1.680
44152	1.9
10257	1.46
13875356	1.9
19766	1.57
124	2.01
204209	2.890
7142	1.9
13853943	1.680
58563	1.9
10864	1.680
21106540	1.680
132	1.9
331	1.9
6550	2.01
78467	2.01
7315	2.560
11087	2.010
6339	1.24
13875212	1.9
21108576	2.120
26516	2.23
4768	1.79
20848	1.79
4963	1.9
13859497	2.01
12640	1.68
6106	1.35
776	2.23
7145	1.680
6480	2.340
1448	1.35
38364	1.79
10343	1.46
559096	2.890
3534	2.89
8098	2.340
21361761	2.67
1361549	2.89
11961	1.680
7302	2.670
967	1.46
556589	2.34
13846959	1.680
10837	1.35
7299	2.890
2169	1.680
526	1.79
21106518	2.120
27488	1.79
10437210	1.680
11954	1.680
21111772	1.680
27749	2.01
7199	2.23
15517	2.12
589165	1.9
17868	2.34
5027	1.570
8183	1.68
5882	1.68
192748	1.46
9120	1.35
67594	2.670
13856959	2.78
15489	2.670
6780	2.340
4744	2.450
62484	2.01
768	1.460
10437836	1.570
2991	2.78
13848793	2.23
7150	1.790
361	1.68
8182	1.9
992	1.9
21106470	2.120
2121	2.34
392447	2.23
577	1.46
6788	2.67
10437239	1.240
953	1.9
13868660	1.9
6675	1.9
11588	1.9
4437893	3.0
1906	2.01
1015	1.570
10870	1.35
10975	1.35
906	2.56
105291	1.13
7042	1.570
21106570	1.57
12044	2.890
2185	2.56
13063	2.780
6736	2.67
8528	1.680
68568	1.9
8876	2.56
5775	4.320
10909	2.780
10918	2.780
8855	2.120
256210	2.23
49179	3.66
5557	2.780
24326358	1.790
21486195	3.55
10328	1.9
12047	2.890
10849	2.780
8470	2.010
10851	2.780
11769	1.9
13677	2.780
13846658	2.670
12045	2.890
65763	1.68
10432	1.9
5142	1.57
13867714	2.34
21105699	2.34
10850	2.780
1151	1.350
6852	2.56
4514549	1.350
48085	3.55
14627	2.23
87265	2.01
65701	2.120
18941	2.01
10831	2.780
10813	2.780
10908	2.780
551	2.670
16359	1.570
7044	1.570
28552	1.680
29282	2.01
10829	2.780
8060	2.67
15619	2.890
6737	2.45
96749	1.46
29117	2.45
6688	1.02
4760	1.9
12874	1.9
10841	2.780
26325182	1.9
18177	2.010
8262	2.23
8273	2.23
