Compound Id	FragmentComplexity
21105998	11.01
7131	9.01
13856352	9.01
13866817	8.02
24722	134.06
7221	8.01
7223	8.01
9903	28.0
13839105	9.01
10246	10.01
18336	13.04
14866	12.0
466305	14.03
13865680	9.01
11604	9.01
13634	8.01
76394	9.03
440	11.06
28682	9.03
447	9.02
11667	9.02
13835772	8.01
6774	11.03
21168826	9.01
8071	10.03
13839128	9.01
194092	11.02
27296	11.02
28973	12.02
8186	10.01
13839123	9.01
11154	2.02
5979	7.06
7240	8.01
13857694	8.02
7220	8.0
7745	7.04
13839151	9.01
64699	8.06
12259	11.0
62517	10.02
13848467	10.02
13848808	11.03
9911	10.01
72556	11.02
15753	12.02
67465	12.02
7129	9.0
13837686	8.02
13839174	9.01
61538	10.01
12244	10.01
10248	10.01
61411	11.01
69177	11.01
13865424	9.01
917	37.02
7248	9.0
21106144	10.03
21106524	9.01
13863774	10.03
11651	10.02
16119	10.01
11610	11.02
11332993	11.02
10243171	11.02
10801842	9.03
11661	9.0
7138	9.03
12674	37.0
13837988	8.02
6775	10.02
11672	10.02
21106146	10.03
6108	2.02
21106008	12.03
8657	9.02
13875258	8.01
70715	7.03
70714	7.03
11596	12.03
10244	11.01
70988	13.03
86435	13.03
65785	14.03
70652	14.03
7673	7.01
6745	12.02
3544	15.02
8868	28.01
8097	31.0
11773	10.02
13875392	8.01
6916	14.03
21105859	10.02
13630	7.02
7443	9.03
8665	9.02
6633	9.03
16804	12.01
7406	12.03
6907	13.03
10892	11.03
10181338	11.03
299166	10.03
136966	9.03
120548	10.03
73479	10.03
11783	7.02
4611	12.02
13846749	12.03
13875432	8.02
12823	9.02
7176	11.03
221082	9.0
12231	8.02
21106519	11.01
13875219	8.02
8935	64.02
4514586	0.01
10181341	10.02
21106018	9.02
13835344	11.02
7685	7.02
238	9.02
21159695	10.01
13853758	10.01
13835151	8.01
13875320	8.01
14227	10.02
5709	9.03
12821	9.02
913	9.03
8070	10.02
7140	10.02
7190	10.02
7310	12.03
21106140	13.02
12478	9.02
1266393	6.03
455090	9.03
503239	9.03
10991	9.01
191058	12.03
10986	12.03
57726	59.01
21106525	9.01
13860692	8.01
13876103	12.02
7234	8.01
6621	31.02
9564	9.02
21111822	8.01
13869462	9.01
10254	10.02
11460	10.02
7397	10.02
6642	12.0
11465	11.02
11422	11.02
3918	55.03
6794	11.01
21106014	9.02
5889	7.01
13835126	10.02
21111781	10.02
924	9.01
10857	9.03
8140	9.03
65	9.03
13860491	9.01
13863618	9.02
13860641	9.01
13869434	9.01
13854136	8.01
6781	11.04
13838404	3.03
13837760	8.02
6630	9.01
7383	9.01
123207	8.03
10008	7.02
1664	7.02
4878	8.02
21106020	10.04
61765	10.02
13862559	9.03
7662	9.03
21106148	11.04
10411	11.03
20570	9.02
13860775	9.02
2157	13.04
21105795	9.02
2241	9.02
10616	12.05
62466	10.02
62485	10.02
62472	13.05
11586	13.05
7518	8.02
4962	9.02
7681	7.01
21106013	10.04
10972	10.03
10980	10.03
6674	10.03
6035	11.02
21106900	12.03
2005981	3.03
81815	8.06
11584	11.03
7189	10.02
11591	11.03
13840647	9.01
13029	10.04
21106172	10.04
21106145	12.04
64155	13.03
13851576	8.01
13837787	10.04
68676	12.04
6635	9.06
11582	11.04
13853953	10.04
6988	9.03
11083	9.03
13854242	12.03
13869480	9.02
11585	11.03
11488212	11.03
13864445	9.03
86394	12.05
9965	12.03
2206	13.05
42330	14.05
4575	16.05
2079	16.05
4590	13.03
21108548	8.02
13854248	8.02
6974	8.02
6646	54.05
11629	11.03
21106019	9.02
509179	67.06
89076	49.02
10664	10.04
13869414	9.02
7279	12.03
62964	18.04
18219	4.03
13869451	8.02
880	10.02
75956	58.05
6023	10.02
456015	8.03
13869339	8.02
13875441	8.02
206493	37.04
15093	11.03
4599	52.05
1577	6.04
7239	8.01
434	10.03
6079	10.03
7202	11.04
764	8.02
10400	43.01
13662	10.05
955	10.04
13030	10.04
7001	10.04
71437	59.01
4759	16.06
33617	16.06
13872122	10.01
13842573	8.02
17347	10.03
21106581	12.04
10586285	46.05
11595	12.03
62060	404.05
5976	9.05
63906	9.02
13835351	13.04
6773	13.04
30881	16.06
2923	10.03
21105870	10.01
6658	11.04
11422351	12.04
7208	12.04
71193	11.04
67270	11.04
6033	11.04
76154	12.04
3548	17.03
642951	14.06
13860	9.02
40130	74.05
13860434	11.03
21111817	9.02
5596	8.02
5915	10.03
13047	11.05
25472	14.04
62467	10.03
14620	15.06
6828	37.0
21105848	11.03
11080	8.02
7211	12.06
7092	10.04
28947	13.05
11366	10.04
18	11.04
1446	11.04
71	11.04
7146	11.04
13860817	9.03
11625	11.03
12133	14.06
205483	11.03
1253	11.03
4745	17.04
392	8.02
11778	9.03
