Compound Id	ALOGP [AMR]
6774	17.196
21168826	11.796
8071	12.835
13839128	13.569
194092	16.796
27296	17.706
28973	20.618
8186	16.273
13839123	13.569
11154	24.415
5979	41.878
7240	10.147
13857694	11.231
7220	10.147
7745	23.981
13839151	13.569
64699	35.475
12259	27.511
62517	14.174
13848467	13.608
13848808	14.553
9911	19.071
72556	16.520
15753	23.870
67465	23.870
7129	14.429
13837686	8.180
13839174	13.569
61538	19.071
12244	19.071
10248	19.071
61411	24.573
69177	24.573
13865424	11.796
917	22.528
7248	15.649
21106144	9.392
21106524	11.796
13863774	9.392
11651	14.174
16119	19.071
11610	17.889
11332993	18.368
10243171	18.368
10801842	47.905
11661	15.649
7138	3.89
12674	20.441
13837988	11.231
6775	12.397
11672	12.397
21106146	9.392
6108	22.366
21106008	20.926
8657	9.880
13875258	14.101
70715	8.801
70714	8.599
11596	18.829
10244	24.573
70988	23.378
86435	23.950
65785	25.273
70652	26.861
7673	8.599
6745	19.651
3544	35.596
8868	1.619
8097	15.554
11773	12.397
13875392	14.101
6916	25.290
21105859	14.593
13630	8.599
7443	4.008
8665	9.880
6633	13.796
16804	30.075
7406	19.084
6907	22.379
10892	14.535
10181338	14.535
299166	12.715
136966	16.43
120548	16.236
73479	9.510
11783	8.599
4611	19.546
13846749	18.847
13875432	8.180
12823	12.892
7176	14.553
221082	16.051
12231	32.942
21106519	20.809
13875219	8.180
8935	24.256
4514586	0.0
10181341	11.769
21106018	13.682
13835344	18.086
7685	8.919
238	7.219
21159695	17.898
13853758	18.490
13835151	9.724
13875320	14.101
14227	16.386
5709	7.219
12821	8.763
913	7.219
8070	12.721
7140	12.721
7190	12.721
7310	18.783
21106140	29.533
12478	8.763
1266393	32.793
455090	14.291
503239	14.291
10991	14.573
191058	17.990
10986	17.990
57726	42.468
21106525	14.573
13860692	9.724
13876103	24.782
7234	8.997
6621	11.004
9564	10.631
21111822	14.194
13869462	15.226
10254	12.944
11460	13.138
7397	11.991
6642	33.013
11465	17.432
11422	18.835
3918	45.825
6794	22.879
21106014	11.910
5889	4.222
13835126	16.386
21111781	13.610
924	14.291
10857	13.796
8140	13.796
65	13.796
13860491	15.226
13863618	8.859
13860641	14.573
13869434	15.226
13854136	9.724
6781	11.206
13838404	29.790
13837760	5.129
6630	15.226
7383	17.763
123207	10.544
10008	4.222
1664	4.222
4878	5.129
21106020	9.506
61765	12.473
13862559	16.847
7662	16.847
21106148	11.206
10411	18.482
20570	14.291
13860775	11.538
2157	18.935
21105795	8.859
2241	7.442
10616	11.109
62466	12.944
62485	12.944
62472	15.878
11586	15.878
7518	14.215
4962	9.841
7681	8.692
21106013	9.506
10972	15.818
10980	15.818
6674	15.818
6035	18.359
21106900	20.651
2005981	17.934
81815	3.89
11584	20.588
7189	13.335
11591	13.513
13840647	15.226
13029	19.411
21106172	19.411
21106145	14.660
64155	26.280
13851576	13.311
13837787	5.450
68676	23.220
6635	50.696
11582	10.089
13853953	9.506
6988	13.796
11083	13.796
13854242	20.504
13869480	11.538
11585	16.211
11488212	14.666
13864445	16.847
86394	38.299
9965	19.199
2206	43.147
42330	46.472
4575	54.594
2079	56.382
4590	24.476
21108548	14.819
13854248	9.838
6974	11.164
6646	32.441
11629	16.174
21106019	11.910
509179	56.837
89076	74.214
10664	6.455
13869414	11.538
7279	21.336
62964	44.708
18219	34.774
13869451	9.838
880	12.866
75956	45.793
6023	18.507
456015	13.490
13869339	9.838
13875441	11.164
206493	13.66
15093	17.384
4599	32.797
1577	4.222
7239	13.490
434	12.835
6079	12.835
7202	14.218
764	5.129
10400	7.551
13662	5.835
955	6.455
13030	19.411
7001	19.411
71437	48.503
4759	44.306
33617	43.407
13872122	21.088
13842573	11.164
17347	14.338
21106581	14.660
10586285	13.876
11595	21.511
62060	61.353
5976	24.375
63906	14.893
13835351	20.385
6773	20.385
30881	42.013
2923	17.430
21105870	17.595
6658	16.644
11422351	22.146
7208	14.439
71193	16.838
67270	16.644
6033	16.644
76154	22.535
3548	45.887
642951	21.494
13860	14.862
40130	51.277
13860434	16.174
21111817	14.893
5596	6.787
5915	9.943
13047	25.027
25472	32.454
62467	13.057
14620	39.102
6828	0.0
21105848	16.174
11080	6.787
7211	7.78
7092	11.142
28947	16.756
11366	19.411
18	12.349
1446	12.349
71	12.349
7146	12.349
13860817	15.453
11625	21.465
12133	33.897
205483	17.360
1253	13.107
4745	42.817
392	6.787
11778	15.453
7172	7.78
13868640	17.198
18707	16.779
123	8.859
502245	24.854
13860720	15.453
21106571	22.462
21106163	22.462
44152	47.698
10257	7.78
13875356	17.198
19766	25.027
124	14.333
204209	21.842
7142	9.784
13853943	8.112
58563	10.006
10864	12.489
21106540	22.462
132	9.784
331	9.784
6550	12.383
78467	14.555
7315	7.643
11087	13.946
6339	42.030
13875212	17.198
21108576	14.993
26516	23.110
4768	42.983
20848	42.083
4963	10.006
13859497	13.766
12640	5.733
6106	32.392
776	3.3
7145	8.112
6480	5.502
1448	10.345
38364	19.830
10343	15.847
559096	59.381
3534	47.625
8098	0.0
21361761	17.431
1361549	34.891
11961	21.069
7302	1.619
967	30.643
556589	23.853
13846959	7.108
10837	10.345
7299	4.601
2169	37.778
526	10.184
21106518	14.993
27488	19.830
10437210	8.230
11954	21.069
21111772	21.069
27749	34.267
7199	49.649
15517	18.484
589165	17.934
17868	0.0
5027	32.573
8183	11.109
5882	11.109
192748	19.768
9120	10.345
67594	12.753
13856959	11.004
15489	5.616
6780	0.0
4744	43.967
62484	25.935
768	14.042
10437836	28.680
2991	5.346
13848793	6.292
7150	19.682
361	14.913
8182	14.439
992	14.439
21106470	0.0
2121	31.340
392447	17.463
577	14.165
6788	5.502
10437239	16.779
953	11.441
13868660	19.562
6675	21.166
11588	21.166
4437893	21.247
1906	15.430
1015	3.3
10870	10.345
10975	10.345
906	0.0
105291	12.485
7042	13.674
21106570	28.078
12044	5.502
2185	0.0
13063	10.351
6736	5.502
8528	8.444
68568	11.664
8876	0.0
5775	115.175
10909	11.004
10918	11.004
8855	0.0
256210	1.945
49179	111.456
5557	49.425
24326358	36.489
21486195	99.235
10328	16.511
12047	5.502
10849	11.004
8470	26.952
10851	11.004
11769	16.511
13677	10.351
13846658	2.565
12045	5.502
65763	15.799
10432	16.511
5142	15.364
13867714	0.0
21105699	0.0
10850	11.004
1151	8.429
6852	7.316
4514549	0.0
48085	105.646
14627	1.945
87265	20.240
65701	24.717
18941	54.775
10831	11.004
10813	11.004
10908	11.004
551	1.619
16359	16.725
7044	16.725
28552	42.549
29282	53.645
10829	11.004
8060	13.569
15619	16.506
6737	5.616
96749	37.346
29117	8.642
6688	14.235
4760	50.481
12874	49.581
10841	11.004
26325182	32.896
18177	20.085
8262	4.008
8273	4.008
17339596	58.149
3277	17.446
15621	16.506
26260	16.506
5162	57.433
12682	16.506
5593	3.3
8329	10.692
6789	5.616
11776	25.797
15488	5.616
707	54.081
83191	91.090
5774	96.113
92494	99.025
92468	101.936
11489	5.899
6586	7.219
15620	16.506
15861	16.506
12705	45.276
12730	54.937
472932	14.679
6950	0.0
3350	12.349
218253	5.616
4333	16.954
63968	1.945
6706	18.383
68437	16.506
11038	22.545
2068	29.578
5236	29.176
6855	10.770
13090	9.165
13303	40.071
13302	40.982
133166	87.018
8067	33.694
6840	6.220
8030	10.841
3008	32.567
6739	2.565
2283071	22.008
8807	10.319
5791	81.938
11286	16.273
21106059	76.893
13839012	2.565
7151	23.653
10903	2.565
6835	4.222
5145918	63.209
15475	11.231
15755	11.231
14995	11.231
14994	11.231
67470	11.231
15476	11.231
15477	11.231
15478	11.231
15524	11.231
15756	11.231
8058	8.856
15473	11.231
17099	11.231
17098	11.231
33933	11.231
15474	11.231
11003	3.3
