Compound Id	Octanol/water partition coefficient as logP
862	0.73
864	1.42
866	1.09
867	1.76
868	1.41
870	1.79
872	1.25
873	1.81
874	1.19
878	1.04
879	-1.22
884	1.34
885	0.96
886	1.29
887	1.65
889	1.38
890	1.38
892	0.66
893	1.36
894	1.31
895	1.25
896	0.78
897	1.32
898	1.2
901	1.24
902	-0.15
903	-0.66
905	1.16
906	1.32
908	1.21
911	1.47
912	1.56
913	1.22
914	0.81
916	0.25
917	0.03
919	0.23
920	0.2
923	1.16
926	0.83
928	1.05
930	1.23
932	0.84
933	0.83
934	0.94
935	1.31
936	1.13
937	1.1
938	1.48
940	1.21
942	0.65
943	1.19
944	0.18
945	0.73
946	0.82
948	1.21
949	0.94
950	0.8
951	0.51
952	0.89
953	1.28
954	0.91
956	0.75
958	0.45
959	0.82
960	0.84
962	0.41
963	0.89
966	0.95
967	0.73
968	-0.53
969	0.88
970	0.88
971	0.76
972	-0.59
973	-2.65
975	0.25
977	0.61
978	0.4
979	-0.34
980	0.16
981	0.37
982	0.71
984	-1.02
987	-2.32
988	0.05
989	0.8
990	0.18
991	0.18
992	0.47
993	0.29
994	-0.87
995	-0.01
996	0.03
997	0.59
998	-1.38
999	0.25
1000	0.35
1002	-2.29
1003	0.99
1004	-2.41
1005	-0.82
1006	-0.15
1008	-1.66
1009	-0.67
1010	-0.02
1011	-0.23
1012	-0.66
1014	-0.54
1016	-1.36
1018	-0.85
1019	-2.65
1020	-0.31
1021	-0.72
1022	-1.96
1023	-1.8
1024	-1.4
1025	-0.77
1026	-1.09
