Compound Id	D73
358	2.146231
359	2.947703
360	2.807355
361	2.732159
362	2.86991
363	2.729574
364	2.494919
365	2.375814
366	2.921928
367	2.521928
368	2.125
369	1.991076
370	1.582799
371	2.75
372	1.763842
373	2.521641
374	2.196792
375	2.270942
376	2.947703
377	2.725481
378	1.870951
379	1.929309
380	2.056326
381	2.292481
382	1.763842
383	1.668296
384	2.093069
385	1.505978
386	1.854286
387	2.056326
388	1.582799
389	3.085055
390	2.807355
391	2.75
392	2.222192
393	2.584963
394	2.251629
395	2.25
396	2.521641
397	2.321928
398	2.550341
399	2.222192
400	2.321928
401	2.281036
402	2.034941
403	1.986295
404	1.991076
405	1.582799
406	1.923795
407	1.929309
408	2.01574
409	1.505978
410	2.641604
411	2.584963
412	1.521928
413	2.807355
414	3.121928
415	3.235926
416	3
417	2.950212
418	2.921928
419	3.084962
420	2.751629
421	2.954003
422	2.838909
423	2.621928
424	2.494919
425	2.75
426	2.75
427	2.64644
428	2.75
429	2.25
430	2.270942
431	2.125
432	1.668296
433	2.584963
434	3.095795
435	1.815855
436	2.481715
437	1.870951
438	2.521928
439	2.75
440	2.947703
441	2.321928
442	2.345852
443	1.763842
444	2.418296
445	2.503258
446	2.807355
447	2.521641
448	1.991076
449	2.056326
450	2.739572
451	2.196792
452	2.321928
453	2.584963
454	2.689246
455	2.40401
456	1.436641
457	1.65678
458	1.71472
459	2.26571
460	1.991076
461	1.870951
462	2.521928
463	1.668296
464	2.281036
465	1.763842
466	2.375814
467	2.521928
468	2.921928
469	2.921928
470	2.780639
471	2.614369
472	2.75
473	1.763842
474	2.235926
475	1.668296
476	2.947703
477	2.947703
478	2.460964
479	3.095795
480	2.696199
481	2.535858
482	2.947703
483	3.026987
484	2.751629
485	2.5
486	3.121928
487	2.389758
488	2.818376
489	2.739573
490	2.521641
491	2.248529
492	2.119085
493	2.524733
494	2.392277
495	2.524733
496	2.271738
497	2.947703
498	3.022055
499	3.095795
500	3
501	3
502	2.725481
503	3.084962
504	3
505	3.084962
506	2.657321
507	2.644463
508	2.98709
509	2.98709
510	2.98709
511	2.98709
512	2.98709
513	2.98709
514	2.98709
515	2.98709
516	2.91044
517	2.885104
518	2.66898
519	2.524733
520	2.699513
521	2.521641
522	2.521641
523	2.807355
524	2.521641
525	2.353534
526	2.173557
527	1.653997
528	2.321928
529	1.606343
530	1.816642
531	2.646439
532	3.169925
533	1.878477
534	2.725481
535	2
536	1.704733
537	2.450826
538	1.758843
539	2.550341
540	3
541	1.944717
542	2.584963
543	1.918296
544	2.01574
545	2.091917
546	2.26082
547	1.668296
548	2.807355
549	2.584963
550	2.75
551	2.058814
552	2.188787
553	1.947339
554	1.65678
555	1.550341
556	2.164498
557	2.270942
558	1.763842
559	2.292481
560	1.582799
561	2.049452
562	2.196792
563	1.668296
564	2.823465
565	2.675085
566	2.434269
567	2.319628
568	2.481715
569	2.056326
570	1.929309
571	1.543383
572	2.641604
573	1.71472
574	2.405639
575	2.125
576	1.624382
577	2.646439
578	1.815855
579	1.870951
580	1.991076
581	2.914016
