Compound Id	Valence path, order 0
1018	13.1371
1019	9.36504
1020	9.34392
1021	14.0794
1022	13.3919
1023	10.4854
1024	15.9044
1025	9.1707
1026	7.75979
1027	15.3706
1028	12.3692
1029	11.6697
1030	10.2415
1031	11.9288
1032	12.5794
1033	15.6521
1034	10.9572
1035	8.57311
1036	11.1448
1037	11.3807
1038	7.44526
1039	7.12065
1040	13.1878
1041	13.3409
1042	14.2897
1043	10.9997
1044	12.4288
1045	12.6699
1046	10.4746
1047	9.74221
1048	11.9581
1049	13.1128
1050	11.2478
1051	14.2631
1052	11.8106
1053	10.9997
1054	18.0932
1055	9.08751
1056	12.9035
1057	9.94313
1058	9.94313
1059	12.0562
1060	12.0562
1061	13.1128
1062	13.5734
1063	11.7996
1064	13.5719
1065	8.21399
1066	12.572
1067	12.8708
1068	11.2182
1069	13.5196
1070	17.5435
1071	8.49152
1072	16.9453
1073	16.1278
1074	13.1128
1075	14.1693
1076	12.0878
1077	7.27119
1078	9.78827
1079	13.6574
1080	12.5967
1081	11.724
1082	15.0961
1083	12.8402
1084	11.1355
1085	14.6246
1086	9.03168
1087	6.48791
1088	17.5435
1089	14.4483
1090	22.5334
1091	14.775
1092	17.2459
1093	14.9542
1094	18.1511
1095	8.28435
1096	15.0401
1097	13.9344
1098	15.0646
1099	10.9741
1100	9.09
1101	6.59561
1102	8.18161
1103	14.6993
1104	12.4505
1105	10.9675
1106	14.8038
1107	17.1422
1108	13.109
1109	15.1837
